DateTime,AddedIPs,RemovedIPs
1588727177,4,5
1588730784,0,3
1588734390,8,1
1588737999,2,0
1588741592,1,1
1588745160,2,1
1588748751,1,2
1588752356,1,2
1588755966,2,7
1588759552,2,3
1588763168,5,2
1588766766,1,0
1588770364,1,0
1588773956,0,4
1588777573,0,6
1588781162,4,2
1588784755,3,5
1588788373,8,5
1588791963,4,0
1588799166,2,0
1588802766,0,12
1588806359,8,1
1588809959,2,2
1588813596,0,4
1588817175,6,1
1588820789,4,1
1588824388,2,0
1588827969,2,0
1588831576,1,1
1588835184,0,2
1588838746,1,1
1588842369,1,3
1588845963,3,1
1588849567,1,1
1588853177,2,3
1588856749,1,1
1588860359,1,7
1588863956,5,2
1588867569,2,5
1588871158,5,1
1588874750,5,0
1588878352,0,1
1588881964,1,2
1588885558,2,0
1588889160,1,5
1588892760,4,2
1588896360,2,0
1588900000,4,2
1588903577,1,4
1588907309,4,2
1588910945,1,1
1588914552,0,2
1588918166,1,0
1588921773,2,1
1588925362,0,6
1588928889,7,5
1588932466,3,1
1588936078,6,3
1588939681,2,1
1588943273,0,4
1588946875,1,2
1588950471,4,4
1588954084,3,3
1588957681,0,1
1588961271,2,3
1588964863,1,5
1588968427,2,3
1588972050,6,4
1588975666,3,2
1588979228,2,2
1588982827,2,2
1588986596,6,0
1588993800,0,3
1588997419,4,2
1589001012,1,0
1589004600,1,4
1589008209,3,4
1589011822,4,2
1589015395,1,1
1589018992,0,1
1589022604,1,1
1589026210,2,0
1589029823,1,1
1589033412,2,1
1589040524,0,2
1589044091,0,4
1589047698,4,2
1589051283,3,5
1589054879,2,2
1589058495,3,4
1589062091,4,4
1589065685,4,4
1589069308,2,1
1589072986,6,0
1589076561,0,1
1589080206,1,2
1589083824,2,0
1589087430,0,1
1589091011,0,2
1589094620,0,3
1589098208,3,1
1589101786,1,0
1589105414,2,4
1589109019,1,0
1589112613,4,1
1589116206,1,3
1589119803,3,0
1589123404,0,2
1589127001,1,1
1589130622,1,0
1589134099,2,0
1589137701,0,2
1589141287,1,2
1589144882,1,3
1589152079,2,0
1589155673,1,3
1589159396,3,1
1589162989,2,0
1589166610,1,3
1589170211,2,1
1589173800,2,1
1589181006,2,0
1589184589,0,2
1589188201,2,1
1589191822,2,2
1589195422,0,2
1589199022,1,1
1589202605,1,4
1589206226,5,0
1589209809,1,1
1589213423,1,0
1589217024,0,2
1589220523,1,0
1589224085,0,1
1589227682,1,3
1589231277,3,5
1589234888,4,4
1589238480,1,4
1589242108,5,3
1589245780,5,2
1589249379,1,3
1589253014,2,0
1589256627,3,2
1589260210,2,1
1589263794,2,3
1589267384,2,2
1589270994,2,4
1589278215,4,6
1589281794,3,3
1589285401,2,4
1589289004,4,0
1589292611,4,5
1589296212,3,2
1589299786,4,0
1589303303,1,2
1589306880,0,3
1589310475,2,2
1589314072,2,4
1589317641,5,3
1589321196,3,3
1589324808,2,0
1589328386,1,3
1589332176,4,2
1589335776,2,1
1589343008,3,1
1589346589,0,3
1589350216,0,5
1589353764,5,0
1589357377,1,2
1589360991,3,0
1589364562,1,4
1589368201,4,0
1589371793,1,2
1589375387,0,1
1589378992,2,0
1589382590,1,3
1589386210,2,0
1589393287,0,2
1589396862,1,1
1589400461,2,5
1589404067,4,1
1589407667,3,8
1589411246,5,3
1589414848,1,0
1589418518,1,0
1589422133,1,0
1589425709,0,1
1589429369,0,1
1589432989,3,0
1589436537,0,1
1589440137,1,1
1589443742,1,0
1589447332,1,1
1589450921,1,2
1589454528,1,0
1589458151,1,1
1589465337,1,0
1589468962,0,1
1589472472,1,1
1589476063,1,0
1589479662,0,1
1589483244,0,3
1589486777,2,0
1589493983,1,0
1589497583,1,1
1589504916,1,0
1589512100,0,1
1589519339,1,0
1589533725,0,1
1589537335,1,1
1589540931,1,0
1589544532,1,0
1589548134,0,3
1589551709,1,0
1589555281,3,1
1589558857,0,2
1589566033,1,5
1589569547,4,0
1589573170,0,3
1589576746,2,0
1589580353,1,8
1589583941,5,2
1589587553,4,2
1589591323,6,1
1589594904,6,0
1589598515,1,3
1589602156,2,3
1589605723,2,2
1589609338,1,2
1589612934,4,3
1589616535,0,2
1589620130,1,2
1589623720,1,0
1589627317,1,0
1589630920,4,3
1589634502,3,1
1589638117,1,2
1589641715,1,6
1589645250,6,2
1589648802,1,1
1589652460,1,2
1589656026,0,4
1589659630,2,2
1589663242,3,1
1589666865,2,4
1589670447,3,5
1589674067,3,1
1589677702,2,0
1589681312,2,0
1589684941,1,0
1589688568,0,2
1589692126,1,1
1589695742,1,1
1589699338,1,1
1589702950,1,0
1589706524,1,0
1589713741,0,1
1589717361,0,3
1589720930,2,2
1589724573,3,1
1589728166,4,0
1589731789,2,0
1589735385,0,2
1589738959,0,3
1589742470,1,4
1589746031,1,2
1589749630,2,2
1589753229,3,1
1589756851,0,1
1589760467,2,0
1589764091,2,2
1589767733,3,2
1589771316,2,2
1589774937,0,1
1589778529,2,1
1589782160,1,4
1589785810,0,3
1589789367,8,1
1589792923,2,0
1589796567,1,2
