DateTime,AddedIPs,RemovedIPs
1587456192,1,0
1587459811,0,1
1587474189,1,0
1587492203,0,2
1587502993,2,0
1587546210,0,1
1587549798,1,0
1587567801,0,1
1587582213,0,1
1587589400,0,1
1587596602,2,0
1587600195,1,0
1587632592,0,1
1587639794,1,0
1587661392,0,1
1587664994,1,1
1587672194,1,0
1587718999,0,3
1587722596,1,0
1587726192,1,0
1587755006,0,1
1587765802,1,0
1587772996,1,0
1587791004,0,1
1587794600,1,0
1587819813,0,1
1587823407,0,1
1587827006,1,0
1587830607,1,0
1587848601,0,1
1587855814,1,0
1587877406,0,2
1587881000,2,0
1587884603,0,1
1587888203,1,1
1587916996,1,0
1587924199,0,1
1587931402,1,0
1587953001,0,2
1587960206,1,1
1587963810,0,2
1587967403,1,0
1587971021,2,0
1587974602,1,0
1587978201,0,1
1587985402,1,0
1587989018,1,0
1588014203,0,1
1588028601,1,0
1588050220,0,1
1588053796,1,2
1588057404,2,0
1588068190,0,1
1588071795,1,1
1588075386,1,0
1588086212,0,1
1588093401,1,0
1588097004,0,3
1588100598,3,0
1588136614,0,1
1588143798,1,0
1588151005,0,1
1588154598,0,1
1588158212,1,0
1588168993,1,0
1588172601,0,1
1588176197,0,1
1588183404,2,1
1588190590,1,0
1588226600,0,1
1588230186,1,1
1588237397,1,0
1588244600,0,1
1588251792,1,1
1588255398,1,0
1588259002,1,2
1588269796,1,0
1588291398,0,1
1588298586,0,1
1588305790,0,1
1588309401,3,0
1588323804,0,1
1588330994,1,0
1588384999,0,1
1588388593,1,0
1588395795,0,2
1588399392,2,0
1588410196,0,1
1588413786,1,1
1588417395,1,0
1588453391,0,1
1588456987,1,0
1588464201,0,1
1588467802,1,0
1588492992,0,1
1588496592,1,0
1588511001,0,1
1588514598,0,1
1588525394,2,3
1588539801,0,1
1588546997,1,0
1588561397,0,1
1588564986,1,0
1588568603,0,1
1588572198,1,0
1588579396,0,1
1588586607,0,1
1588590193,2,0
1588604582,0,1
1588608193,1,0
1588611788,0,2
1588615389,2,0
1588637008,0,2
1588640613,1,0
1588669411,0,2
1588676635,0,1
1588680224,3,0
1588687413,0,2
1588691026,2,0
1588698207,0,1
1588709006,1,0
1588838600,0,1
1588845815,0,1
1588853023,1,0
1588860200,0,1
1588871007,1,0
1588896203,1,0
1588928676,0,1
1588932247,0,1
1588939462,0,1
1588946662,1,0
1588950273,0,1
1588953865,2,0
1588968220,0,1
1588975441,1,0
1588979020,1,0
1588989926,0,1
1588993528,0,1
