DateTime,AddedIPs,RemovedIPs
1583867311,1,0
1583878099,1,0
1583885316,0,1
1583888911,6,1
1583892499,2,0
1583896097,0,1
1583899713,0,28
1583903365,0,1
1583932099,0,1
1583935709,1,0
1583939320,1,0
1583946508,0,1
1583950112,0,1
1583975316,15,0
1583986109,0,11
1583989713,0,1
1584022146,0,1
1584025720,1,0
1584036528,0,1
1584050928,1,0
1584061718,16,0
1584068906,1,0
1584072501,0,17
1584079703,1,1
1584094116,1,0
1584104904,0,1
1584112125,1,0
1584122908,0,1
1584148108,9,1
1584155316,1,0
1584158913,0,9
1584191303,0,1
1584198493,1,0
1584209304,0,1
1584223707,1,0
1584234505,11,0
1584241703,2,1
1584245321,1,14
1584248912,1,1
1584252506,0,2
1584256127,1,0
1584259742,0,1
1584263305,0,1
1584266916,1,0
1584277714,1,0
1584281299,1,1
1584284926,2,1
1584288514,0,1
1584295702,1,1
1584302905,0,1
1584306500,1,0
1584310125,0,1
1584313730,1,1
1584317333,1,1
1584320909,23,0
1584324500,6,1
1584328094,1,0
1584331711,3,19
1584335310,2,2
1584338891,3,1
1584342507,3,3
1584346126,0,3
1584349676,6,3
1584353301,3,2
1584356900,3,1
1584360504,1,0
1584364107,2,6
1584367710,1,3
1584371284,1,3
1584374907,6,2
1584378495,3,1
1584385695,0,1
1584389306,2,1
1584392908,1,2
1584396481,1,6
1584400123,2,1
1584403756,22,1
1584407305,6,3
1584410893,3,2
1584414500,8,9
1584418108,2,3
1584421697,1,3
1584425313,7,8
1584428915,0,1
1584432514,1,7
1584436108,3,7
1584439726,6,0
1584443319,0,2
1584446921,2,1
1584450547,4,2
1584454111,5,3
1584457730,5,1
1584461319,4,3
1584464929,5,4
1584468526,4,2
1584472125,3,3
1584475724,4,4
1584479338,8,10
1584482916,1,4
1584486516,2,4
1584490151,3,1
1584493731,28,6
1584497329,7,8
1584500921,4,4
1584504534,4,13
1584508154,1,3
1584511726,3,3
1584515297,2,7
1584518935,4,1
1584522515,7,3
1584526116,2,3
1584529712,1,0
1584533328,1,1
1584536916,1,1
1584540525,1,3
1584544108,1,1
1584547729,3,2
1584551314,1,1
1584554923,3,1
1584558506,3,4
1584562121,1,1
1584565729,2,3
1584569294,1,7
1584572915,1,1
1584576589,16,4
1584580117,1,1
1584583697,1,4
1584587306,1,21
1584590934,1,2
1584594528,1,1
1584598124,2,1
1584601734,0,1
1584605288,1,0
1584608934,1,1
1584612513,0,1
1584623320,1,1
1584626887,2,1
1584630526,1,1
1584634114,1,1
1584637730,4,1
1584641316,1,1
1584648505,0,3
1584652112,1,1
1584655738,0,1
1584662927,1,0
1584666502,20,1
1584673709,0,2
1584677322,1,17
1584680879,0,1
1584698910,1,0
1584702513,2,0
1584706116,1,0
1584709706,0,1
1584713311,2,2
1584716905,0,1
1584720529,1,0
1584724114,0,1
1584731334,1,1
1584738517,1,0
1584742103,0,1
1584756517,0,1
1584763721,2,0
1584767312,0,1
1584774545,0,2
1584778138,1,0
1584817720,0,2
1584821325,1,0
1584914920,0,1
1584918532,1,0
1584990532,0,1
1584994135,1,0
1585028140,1,0
1585048101,0,1
1585145334,1,0
1585152535,0,1
1585156142,1,0
1585217360,0,1
1585228146,1,0
1585300143,0,1
1585307339,1,0
1585343323,0,1
1585346927,1,0
1585487354,0,1
1585490935,1,0
1585635066,0,1
1585653070,1,0
1585692673,0,1
1585696263,1,0
1585761327,0,1
1585764930,1,0
1585772131,0,1
1585775732,1,0
1585797323,0,1
1585800921,1,0
1585811736,0,1
1585815294,1,0
1585826119,0,1
1585829731,1,0
1585844134,0,1
1585854855,1,0
1585905292,0,1
1585919715,1,0
1585944900,0,1
1585948125,1,0
1586027320,0,1
1586030934,1,0
1586041719,0,1
1586048928,1,0
1586200139,0,1
1586203712,1,0
1586243327,0,1
1586275723,0,3
1586282921,1,0
1586344115,0,1
1586365732,0,4
1586372913,1,0
1586387323,0,1
1586390922,1,0
1586423316,0,1
1586441330,1,0
1586488116,0,1
1586495329,1,0
1586509730,0,1
1586516915,1,0
1586520516,1,0
1586545725,0,1
1586549313,1,0
1586592523,0,1
1586596105,1,0
1586606914,0,1
1586614120,1,0
1586646523,0,1
1586653717,1,0
1586668110,1,0
1586704106,0,1
1586707715,1,0
1586783300,0,1
1586790523,1,0
1586815725,0,1
1586819316,1,0
1586826525,1,0
1586837326,0,1
1586855340,0,1
1586866134,1,0
1586884137,0,1
1586887714,1,0
1586938099,0,1
1586952530,1,0
1587046114,0,1
1587049710,3,0
1587053305,2,0
1587060501,0,3
1587064105,0,1
1587074932,0,1
1587082106,1,0
1587175743,3,0
1587190110,0,1
1587193709,1,0
1587226119,0,1
1587229708,1,0
1587247736,0,1
1587251316,1,0
1587262120,0,1
1587276528,1,0
1587294547,1,0
1587362919,1,0
1587370127,0,1
1587373697,1,0
1587384538,1,0
1587395321,0,1
1587438527,1,1
1587449310,1,1
1587460142,0,1
1587474518,1,0
1587571732,0,1
1587575321,1,0
1587586134,0,1
1587596935,1,0
1587607715,0,1
1587629337,1,0
1587679723,0,1
1587686913,1,0
1587863316,0,1
1587866940,1,0
1587910102,0,1
1587913728,1,0
1587967734,0,1
1587971356,1,0
1587982103,0,1
1587985721,1,0
1588014516,0,1
1588018139,1,0
1588190921,0,1
1588194524,1,0
1588291720,0,1
1588295312,1,0
1588342132,0,1
1588352923,0,1
1588579725,1,0
1588590517,0,1
1589120001,0,1
1589271162,1,0
1589285575,0,1
1589443956,0,1
1589576917,0,1
1589674256,0,1
1589688743,1,0
1589886763,1,0
1589897576,0,3
1589998361,1,0
1590002015,1,0
1590005562,1,0
1590009387,1,0
1590012686,1,1
1590016284,1,1
1590019965,1,1
1590023571,1,1
1590027161,1,1
1590030752,0,1
1590034383,0,1
1590037977,0,1
1590041601,0,1
1590197006,1,0
1590222369,1,0
1590225975,1,0
1590229649,1,0
1590233201,1,0
1590236889,1,1
1590240375,1,1
1590244095,1,1
1590247813,1,1
1590251265,1,1
1590254905,1,1
1590258538,1,1
1590269338,1,1
1590272928,0,1
1590276558,1,0
1590280236,1,1
1590283333,1,1
1590290583,1,1
1590294174,1,1
1590297941,1,1
1590301452,0,1
1590305007,1,1
1590308685,1,0
1590312201,1,1
1590315793,1,1
1590319421,0,1
1590323077,1,1
1590326635,1,1
1590330307,1,0
1590333784,1,1
1590341037,0,1
1590344708,1,1
1590348292,1,0
1590355491,1,1
1590359095,1,1
1590362725,1,1
1590366349,1,1
1590369936,1,1
1590373530,1,1
1590377151,1,1
1590380731,0,1
1590384354,1,0
1590387976,1,1
1590391588,0,1
1590395170,1,1
1590402370,1,0
1590405974,1,1
1590409768,0,1
1590413168,1,0
1590416826,1,1
1590420449,1,1
1590424028,1,1
1590427625,1,1
1590431402,1,1
1590438524,0,1
1590442061,0,1
1590445716,1,0
1590449230,1,0
1590453047,0,1
1590456640,1,1
1590460535,1,0
1590464149,1,1
1590467875,0,1
1590471519,1,1
1590478786,1,0
1590482884,0,1
1590490101,0,1
1590496383,1,0
1590499909,1,0
1590504625,1,1
1590507191,1,1
1590510680,1,1
1590514434,2,1
1590517888,0,1
1590521489,2,1
1590525126,1,0
1590528827,0,1
1590532448,1,1
1590536513,1,1
1590539707,1,0
1590543160,0,1
1590547160,1,1
1590550553,1,1
1590554158,1,0
1590557770,0,1
1590561334,1,1
1590564776,1,0
1590568730,1,1
1590572101,1,1
1590575733,1,1
1590583115,1,1
1590586533,1,1
1590590252,0,1
1590594045,1,0
1590597427,1,1
1590601118,0,1
1590605106,1,0
1590608344,0,1
1590611981,1,1
1590615937,1,0
1590619177,1,1
1590623023,2,1
1590627001,1,1
1590630326,1,1
1590634111,1,1
1590637774,1,1
1590641359,1,1
1590645006,1,1
1590648587,1,1
1590651968,1,1
1590655808,0,1
1590659384,1,1
1590670184,1,0
1590673768,0,1
1590677374,1,1
1590681053,1,1
1590684608,1,1
1590688280,1,1
1590691851,1,1
1590695424,1,1
1590702589,1,1
1590706181,1,1
1590709787,1,1
1590713425,1,1
1590717240,1,1
1590720651,0,1
1590728085,1,0
1590731928,1,1
1590734905,1,1
1590738886,0,1
1590742006,1,1
1590745942,1,1
1590749984,1,0
1590752716,1,1
1590756403,0,1
1590760045,1,0
1590764192,1,1
1590770811,0,1
1590774401,1,0
1590779100,0,1
1590781833,1,1
1590786139,1,0
1590789024,0,1
1590793003,0,1
1590800790,1,0
1590803744,1,0
1590807551,1,1
1590811228,1,1
1590814597,1,1
1590818423,0,1
1590822363,0,1
1590825572,1,0
1590829193,1,1
1590832843,1,0
1590836435,1,1
1590839868,1,1
1590843631,1,1
1590847207,0,1
1590850803,1,0
1590854372,1,1
1590858031,0,1
1590861861,0,1
1590865248,1,0
1590868837,1,0
1590872425,1,1
1590876048,1,1
1590879410,1,1
1590883231,1,1
1590887176,0,1
1590890774,1,1
1590894115,1,1
1590898048,1,0
1590901555,1,1
1590904951,1,1
1590908726,1,1
1590912168,0,1
1590915941,1,1
1590919349,1,0
