DateTime,AddedIPs,RemovedIPs
1589901610,823,200
1589903538,558,160
1589905447,672,83
1589907378,640,112
1589909287,761,76
1589911229,869,199
1589913145,753,95
1589915070,1034,93
1589916989,645,151
1589918898,663,141
1589920812,676,159
1589922747,621,130
1589924659,777,124
1589926573,602,23
1589928506,214,0
1589930434,1,2
1589932333,4,2
1589934271,2,0
1589936212,1,0
1589938131,2,2
1589940974,5,0
1589942908,3,0
1589944810,1,2
1589946733,1,4
1589948668,1,2
1589950574,5,1
1589957536,4,1
1589959515,0,5
1589961384,1,3
1589963295,2,2
1589965259,1,4
1589967164,1,0
1589970093,1,3
1589973396,5,5
1589975574,1,23
1589977729,3,12
1589981382,2,829
1589983493,0,835
1589985459,1,783
1589987362,2,374
1589989982,1,767
1589992150,0,774
1589994567,2,814
1589996504,3,835
1589998636,3,929
1590000524,3,1020
1590002924,7,922
1590005090,2,763
1590007230,5,692
1590009175,4,661
1590011068,3,801
1590013000,2,626
1590014891,264,213
1590016827,266,2
1590018728,6,3
1590020649,2,3
1590022580,7,1
1590024486,1,1
1590026430,7,4
1590028344,1,5
1590030537,4,2
1590032434,7,1
1590034600,2,1
1590036485,3,5
1590038446,5,3
1590040341,1,2
1590042260,2,4
1590044167,5,31
1590046119,0,2
1590049217,6,5
1590051161,3,3
1590053051,4,3
1590056449,7,16
1590058344,7,5
1590060491,2,9
1590062447,7,3
1590064347,4,3
1590066525,4,3
1590068417,4,4
1590070361,4,2
1590072268,3,3
1590074437,3,5
1590076342,4,2
1590078264,6,1
1590080166,4,4
1590082113,3,3
1590085223,4,6
1590087375,8,3
1590089291,3,1
1590091235,5,4
1590093140,3,6
1590095057,5,8
1590096991,10,2
1590098904,4,3
1590100824,5,2
1590102757,2,74
1590104669,1,437
1590106574,5,11
1590108504,4,8
1590110420,2,3
1590112334,2,3
1590114283,0,4
1590116171,10,2
1590118091,0,7
1590120968,10,5
1590122894,4,10
1590124854,27,4
1590126741,14,1
1590128651,2,3
1590130566,2,7
1590132500,146,1
1590135370,359,4
1590137291,4,4
1590139239,5,7
1590141177,4,8
