DateTime,AddedIPs,RemovedIPs
1589922750,136,27
1589924662,157,20
1589926576,144,17
1589928509,156,24
1589930437,116,20
1589932336,130,16
1589934274,121,23
1589936215,31,34
1589938135,37,29
1589940142,20,10
1589941993,19,27
1589944122,20,46
1589946011,16,476
1589947945,19,409
1589949891,31,12
1589951807,28,21
1589953690,26,34
1589955628,29,18
1589957540,863,19
1589959543,87,29
1589961386,118,16
1589963298,106,14
1589965310,96,22
1589967166,83,15
1589969108,87,20
1589971118,88,14
1589972996,51,109
1589975162,58,239
1589977134,38,12
1589981442,81,33
1589984625,72,30
1589986741,66,22
1589989161,68,21
1589991547,57,310
1589993794,50,1448
1589995835,51,1276
1589997956,55,1333
1590001099,110,101
1590003048,73,940
1590005260,76,956
1590007382,96,25
1590009254,77,33
1590011200,75,40
1590013111,79,41
1590015129,211,452
1590017053,499,306
1590018980,870,33
1590020888,197,33
1590024749,616,53
1590026676,509,86
1590028591,423,196
1590030661,140,217
1590032589,151,217
1590034606,124,185
1590036489,132,186
1590038662,163,188
1590040569,127,176
1590042489,104,271
1590045381,167,1050
1590047288,172,157
1590049284,142,145
1590051166,141,151
1590053055,143,120
1590056564,261,252
1590058583,136,100
1590060494,471,73
1590062631,555,58
1590064579,131,64
1590066529,132,51
1590068490,165,76
1590070364,88,61
1590072271,136,64
1590074441,169,76
1590076394,135,68
1590078267,121,62
1590080169,141,68
1590082116,123,59
1590084261,157,63
1590086187,125,64
1590088096,139,72
1590090380,166,106
1590092215,116,58
1590094101,154,91
1590096073,377,79
1590097938,150,71
1590099861,125,70
1590101770,145,122
1590103716,139,582
1590105682,148,732
1590107539,116,284
1590109535,140,174
1590111386,146,111
1590113304,123,161
1590115312,172,1063
1590117142,121,102
1590119058,158,136
1590120971,132,116
1590122896,147,119
1590124933,163,134
1590126744,148,120
1590128653,151,121
1590130569,151,111
1590132503,140,121
1590135716,237,246
1590137533,148,129
1590139454,140,136
1590141449,134,130
1590143323,87,131
1590146179,115,231
1590148091,122,818
1590150068,47,147
1590151931,47,159
1590153865,34,136
1590155771,32,151
1590157689,51,101
1590159661,40,151
1590161539,29,144
1590164510,64,219
1590166336,28,143
1590168259,34,132
1590170175,25,144
1590172107,20,151
1590174118,20,163
1590175952,29,138
1590177784,24,124
1590179770,20,152
1590181709,30,144
1590183611,37,478
1590185556,28,136
1590187456,37,162
1590189379,38,135
1590191301,21,173
1590193210,27,124
1590195132,26,155
1590197065,30,152
1590198972,33,151
1590200896,18,141
1590202926,36,171
1590204740,20,136
1590206901,18,178
1590208828,26,156
1590210749,18,149
1590212651,26,177
1590214571,23,142
1590216505,24,176
1590218432,23,135
1590220331,28,149
1590222296,943,163
1590224171,26,159
1590226097,36,151
1590228214,37,142
1590230172,22,103
1590232112,27,81
1590234011,29,133
1590236198,37,60
1590238375,25,64
1590240262,27,37
1590242180,25,36
1590244110,17,50
1590246128,15,43
1590247958,17,25
1590250121,23,45
1590252017,26,45
1590253940,34,32
1590255870,16,38
1590257778,32,21
1590259708,30,27
1590261630,23,26
1590263537,22,29
1590265472,18,23
1590267386,25,30
1590269311,34,45
1590271325,26,30
1590273159,19,28
1590275315,29,53
1590277215,25,26
1590279138,27,23
1590281056,18,25
1590282971,20,38
1590284966,45,39
1590286830,31,20
1590288763,30,23
1590290679,26,30
1590292593,26,20
1590294505,35,27
1590296542,36,19
1590298595,22,31
1590300502,19,16
1590302415,1518,28
1590304391,17,19
1590306258,39,29
1590308175,4974,24
1590310105,15,24
1590312014,47,34
1590313940,19,33
1590315876,16,30
1590317773,39,18
1590319694,19,24
1590321693,17,34
1590323547,9,22
1590325462,12,25
1590327411,62,23
1590329309,609,29
1590331218,101,15
1590333396,11,19
1590335301,2,22
1590337345,16,24
1590339152,9,21
1590341061,20,22
1590342975,12,728
1590344893,8,26
1590346887,20,34
1590348840,20,16
1590351053,28,25
1590353142,12,26
1590355219,27,32
1590357140,53,24
1590359069,12,20
1590360976,10,27
1590362895,16,26
1590366036,34,38
1590367930,13,16
1590369861,25,22
1590372103,13,46
1590373934,18,35
1590376130,19,29
1590378017,12,32
1590380241,17,32
1590382087,10,31
1590384009,22,29
1590385943,14,28
1590387849,8,18
1590389781,13,18
1590391691,10,24
1590394588,1095,4915
1590396737,19,13
1590398651,13,40
1590400583,5,14
1590402493,26,20
1590405373,31,43
1590407318,18,19
1590409239,8,14
1590411137,31,8
1590413057,23,10
1590414984,12,400
1590416905,14,408
1590419782,51,12
1590421692,28,3
1590423612,11,17
1590425546,13,11
1590427451,19,19
1590430578,28,17
1590432495,12,11
1590434410,20,17
1590436343,16,17
1590438251,15,25
1590440178,8,11
1590442090,21,22
1590444974,27,14
1590446887,21,11
1590448867,71,11
1590450744,65,22
1590452653,11,18
1590454570,23,16
1590456490,12,18
1590458453,10,10
1590460353,18,20
1590462262,16,18
1590464174,7,10
1590466103,13,16
1590468018,5,9
1590469930,16,10
1590471868,16,17
1590473778,10,8
1590475936,13,14
1590477852,13,9
1590479812,12,1218
1590481687,16,20
1590484571,47,24
1590486524,11,11
1590488436,60,8
1590490348,16,37
1590492261,13,16
1590494196,20,19
1590496093,19,16
1590498980,23,48
1590500891,14,11
1590502865,26,15
1590504755,16,18
1590506661,19,19
1590508611,17,29
1590510498,12,11
1590513376,1910,27
1590515296,1704,12
1590517245,792,16
1590519139,1790,16
1590521063,68,22
1590522986,16,16
1590524899,9,10
1590526700,26,12
1590528733,7,16
1590530747,17,20
1590532625,20,19
1590534508,16,15
1590536446,14,28
1590538338,12,8
1590540255,11,15
