DateTime,Entries,UniqueIPs
1589922750,10952,10952
1589924662,11089,11089
1589926576,11216,11216
1589928509,11348,11348
1589930437,11444,11444
1589932336,11558,11558
1589934274,11656,11656
1589936215,11653,11653
1589938135,11661,11661
1589940142,11671,11671
1589941993,11663,11663
1589944122,11637,11637
1589946011,11177,11177
1589947945,10787,10787
1589949891,10806,10806
1589951807,10813,10813
1589953690,10805,10805
1589955628,10816,10816
1589957540,11660,11660
1589959543,11718,11718
1589961386,11820,11820
1589963298,11912,11912
1589965310,11986,11986
1589967166,12054,12054
1589969108,12121,12121
1589971118,12195,12195
1589972996,12137,12137
1589975162,11956,11956
1589977134,11982,11982
1589981442,12030,12030
1589984625,12072,12072
1589986741,12116,12116
1589989161,12163,12163
1589991547,11910,11910
1589993794,10512,10512
1589995835,9287,9287
1589997956,8009,8009
1590001099,8018,8018
1590003048,7151,7151
1590005260,6271,6271
1590007382,6342,6342
1590009254,6386,6386
1590011200,6421,6421
1590013111,6459,6459
1590015129,6218,6218
1590017053,6411,6411
1590018980,7248,7248
1590020888,7412,7412
1590024749,7975,7975
1590026676,8398,8398
1590028591,8625,8625
1590030661,8548,8548
1590032589,8482,8482
1590034606,8421,8421
1590036489,8367,8367
1590038662,8342,8342
1590040569,8293,8293
1590042489,8126,8126
1590045381,7243,7243
1590047288,7258,7258
1590049284,7255,7255
1590051166,7245,7245
1590053055,7268,7268
1590056564,7277,7277
1590058583,7313,7313
1590060494,7711,7711
1590062631,8208,8208
1590064579,8275,8275
1590066529,8356,8356
1590068490,8445,8445
1590070364,8472,8472
1590072271,8544,8544
1590074441,8637,8637
1590076394,8704,8704
1590078267,8763,8763
1590080169,8836,8836
1590082116,8900,8900
1590084261,8994,8994
1590086187,9055,9055
1590088096,9122,9122
1590090380,9182,9182
1590092215,9240,9240
1590094101,9303,9303
1590096073,9601,9601
1590097938,9680,9680
1590099861,9735,9735
1590101770,9758,9758
1590103716,9315,9315
1590105682,8731,8731
1590107539,8563,8563
1590109535,8529,8529
1590111386,8564,8564
1590113304,8526,8526
1590115312,7635,7635
1590117142,7654,7654
1590119058,7676,7676
1590120971,7692,7692
1590122896,7720,7720
1590124933,7749,7749
1590126744,7777,7777
1590128653,7807,7807
1590130569,7847,7847
1590132503,7866,7866
1590135716,7857,7857
1590137533,7876,7876
1590139454,7880,7880
1590141449,7884,7884
1590143323,7840,7840
1590146179,7724,7724
1590148091,7028,7028
1590150068,6928,6928
1590151931,6816,6816
1590153865,6714,6714
1590155771,6595,6595
1590157689,6545,6545
1590159661,6434,6434
1590161539,6319,6319
1590164510,6164,6164
1590166336,6049,6049
1590168259,5951,5951
1590170175,5832,5832
1590172107,5701,5701
1590174118,5558,5558
1590175952,5449,5449
1590177784,5349,5349
1590179770,5217,5217
1590181709,5103,5103
1590183611,4662,4662
1590185556,4554,4554
1590187456,4429,4429
1590189379,4332,4332
1590191301,4180,4180
1590193210,4083,4083
1590195132,3954,3954
1590197065,3832,3832
1590198972,3714,3714
1590200896,3591,3591
1590202926,3456,3456
1590204740,3340,3340
1590206901,3180,3180
1590208828,3050,3050
1590210749,2919,2919
1590212651,2768,2768
1590214571,2649,2649
1590216505,2497,2497
1590218432,2385,2385
1590220331,2264,2264
1590222296,3044,3044
1590224171,2911,2911
1590226097,2796,2796
1590228214,2691,2691
1590230172,2610,2610
1590232112,2556,2556
1590234011,2452,2452
1590236198,2429,2429
1590238375,2390,2390
1590240262,2380,2380
1590242180,2369,2369
1590244110,2336,2336
1590246128,2308,2308
1590247958,2300,2300
1590250121,2278,2278
1590252017,2259,2259
1590253940,2261,2261
1590255870,2239,2239
1590257778,2250,2250
1590259708,2253,2253
1590261630,2250,2250
1590263537,2243,2243
1590265472,2238,2238
1590267386,2233,2233
1590269311,2222,2222
1590271325,2218,2218
1590273159,2209,2209
1590275315,2185,2185
1590277215,2184,2184
1590279138,2188,2188
1590281056,2181,2181
1590282971,2163,2163
1590284966,2169,2169
1590286830,2180,2180
1590288763,2187,2187
1590290679,2183,2183
1590292593,2189,2189
1590294505,2197,2197
1590296542,2214,2214
1590298595,2205,2205
1590300502,2208,2208
1590302415,3698,3698
1590304391,3696,3696
1590306258,3706,3706
1590308175,8656,8656
1590310105,8647,8647
1590312014,8660,8660
1590313940,8646,8646
1590315876,8632,8632
1590317773,8653,8653
1590319694,8648,8648
1590321693,8631,8631
1590323547,8618,8618
1590325462,8605,8605
1590327411,8644,8644
1590329309,9224,9224
1590331218,9310,9310
1590333396,9302,9302
1590335301,9282,9282
1590337345,9274,9274
1590339152,9262,9262
1590341061,9260,9260
1590342975,8544,8544
1590344893,8526,8526
1590346887,8512,8512
1590348840,8516,8516
1590351053,8519,8519
1590353142,8505,8505
1590355219,8500,8500
1590357140,8529,8529
1590359069,8521,8521
1590360976,8504,8504
1590362895,8494,8494
1590366036,8490,8490
1590367930,8487,8487
1590369861,8490,8490
1590372103,8457,8457
1590373934,8440,8440
1590376130,8430,8430
1590378017,8410,8410
1590380241,8395,8395
1590382087,8374,8374
1590384009,8367,8367
1590385943,8353,8353
1590387849,8343,8343
1590389781,8338,8338
1590391691,8324,8324
1590394588,4504,4504
1590396737,4510,4510
1590398651,4483,4483
1590400583,4474,4474
1590402493,4480,4480
1590405373,4468,4468
1590407318,4467,4467
1590409239,4461,4461
1590411137,4484,4484
1590413057,4497,4497
1590414984,4109,4109
