DateTime,AddedIPs,RemovedIPs
1589916023,366,34
1589917940,899,20
1589919876,130,23
1589921784,150,22
1589923700,165,31
1589925710,143,26
1589927541,141,20
1589929715,153,30
1589931677,137,22
1589933556,110,21
1589935454,77,37
1589937383,34,33
1589939544,51,20
1589941463,22,23
1589943376,27,40
1589945295,20,37
1589948408,35,890
1589950366,31,10
1589952512,33,29
1589954508,35,35
1589956350,200,25
1589958519,729,27
1589960410,109,33
1589962332,117,16
1589964293,118,27
1589966207,94,24
1589968128,94,19
1589970098,92,20
1589973551,110,175
1589975752,64,190
1589977911,38,20
1589980263,56,22
1589982245,55,17
1589984636,56,24
1589986779,69,27
1589989209,71,26
1589991570,63,322
1589993803,55,1441
1589995856,55,1280
1589997992,58,1353
1590001100,113,84
1590003074,81,941
1590005308,78,958
1590007386,98,29
1590009262,80,36
1590011222,79,42
1590013134,80,40
1590015130,213,455
1590017053,507,306
1590018981,873,37
1590020889,247,32
1590023823,270,57
1590025690,427,48
1590027660,781,163
1590029558,159,216
1590031454,127,199
1590033370,145,202
1590035304,130,183
1590038174,197,273
1590040113,155,163
1590042068,115,188
1590043933,115,1100
1590046123,151,152
1590048138,170,169
1590049943,135,143
1590051957,152,149
1590054055,161,144
1590055951,136,145
1590057859,153,117
1590060082,348,91
1590061936,663,68
1590063855,145,48
1590065818,150,71
1590067690,134,67
1590070867,192,109
1590072734,138,76
1590074660,149,66
1590077773,211,102
1590079705,155,74
1590081920,153,69
1590083769,133,58
1590085752,141,63
1590088594,197,133
1590090748,156,81
1590092666,139,77
1590094569,144,88
1590096494,388,83
1590098527,154,78
1590100335,125,72
1590103253,221,222
1590105134,156,1092
1590107065,128,360
1590108975,129,235
1590110894,150,110
1590112924,146,151
1590114741,135,1060
1590116656,141,133
1590118596,146,125
1590120521,149,124
1590122465,160,121
1590124337,139,123
1590126257,173,145
1590128187,134,118
1590130094,170,118
1590132084,144,129
1590133951,131,156
1590135856,153,137
1590137782,155,144
1590139715,145,136
1590141970,139,147
1590143850,93,134
1590145800,76,129
1590147669,124,858
1590149559,44,143
1590151461,63,172
1590153373,29,116
1590155355,52,192
1590157311,53,110
1590159143,35,130
1590161066,35,155
1590162973,38,145
1590164894,40,139
1590167010,45,173
1590168972,30,144
1590170893,26,140
1590172821,32,162
1590174975,26,164
1590176896,32,153
1590178825,20,138
1590180729,30,157
1590182650,41,479
1590184581,33,158
1590186494,30,136
1590188536,47,165
1590190338,31,140
1590192503,28,165
1590194414,31,148
1590196353,39,151
1590198255,41,172
1590200176,21,132
1590202104,24,178
1590204012,33,138
1590205943,20,169
1590207868,26,158
1590209772,17,149
1590211692,32,157
1590214807,47,263
1590216735,26,171
1590218670,27,149
1590220570,336,139
1590222493,634,162
1590225367,48,236
1590227313,39,173
1590229477,38,116
1590231395,28,95
1590233298,22,99
1590235239,39,98
1590237194,25,51
1590239330,26,46
1590241222,33,47
1590243144,27,43
1590245051,15,60
1590246978,18,27
1590248890,22,40
1590250820,27,37
1590252732,33,51
1590254661,30,43
1590256589,30,31
1590258534,34,26
1590260493,37,29
1590262350,22,29
1590264289,27,34
1590266175,23,22
1590268109,35,37
1590270019,28,45
1590272174,27,38
1590274091,29,44
1590276022,26,46
1590277935,36,24
1590279870,25,29
1590281771,13,37
1590283745,34,39
1590286830,62,52
1590288763,35,26
1590290679,30,33
1590292593,33,21
1590294506,42,27
1590296556,36,21
1590298596,23,40
1590300503,20,16
1590302415,1518,34
1590304391,19,22
1590306258,40,27
1590308175,4974,25
1590310105,18,28
1590312015,52,35
1590313940,20,35
1590315876,18,33
1590317774,39,25
1590319694,23,25
1590321714,20,43
1590323548,13,20
1590325462,13,24
1590327411,64,24
1590329310,610,36
1590331218,100,16
1590333398,19,21
1590335301,11,24
1590337347,26,26
1590339153,13,26
1590341062,24,26
1590342976,14,733
1590344893,15,33
1590347820,35,48
1590349692,16,27
1590351661,35,29
1590353536,22,30
1590355468,70,32
1590357411,69,26
1590359542,18,24
1590362670,28,47
1590364572,22,32
1590366747,25,26
1590368695,23,15
1590370912,20,42
1590372755,28,41
1590374666,18,29
1590376785,19,39
1590378748,25,37
1590380672,23,38
1590382587,19,30
1590384508,19,31
1590387619,19,38
1590389531,18,20
1590391449,10,21
1590393383,1077,3807
1590395325,27,1116
1590398171,726,52
1590400092,868,12
1590402033,671,20
1590403938,906,28
1590405861,765,22
1590407791,935,17
1590409695,663,13
1590411587,855,7
1590413608,719,10
1590415499,724,545
1590417405,85,252
1590419303,40,7
1590421225,16,3
1590423135,15,8
1590425061,8,5
1590426997,18,11
1590429153,11,12
1590431061,16,4
1590432975,18,15
1590434971,12,15
1590438019,22,25
1590439939,11,11
1590441850,16,53
1590443787,15,7
1590445696,16,12
1590447653,12,5
1590449534,121,9
1590451475,13,13
1590453372,14,10
1590455314,17,12
1590457216,8,9
1590459134,4,21
1590461067,17,8
1590462973,13,9
1590464896,14,13
1590466828,9,10
1590468758,16,10
1590470659,10,12
1590472585,10,6
1590474515,12,34
1590476528,43,5
1590478437,20,10
1590480524,12,628
1590482423,34,13
1590484338,14,664
1590486279,9,886
1590488437,61,821
1590490349,19,984
1590492262,14,844
1590494197,19,1025
1590496093,17,728
1590498981,28,1210
1590500898,15,984
1590502866,31,451
1590504756,20,22
1590506662,22,19
1590508611,20,43
1590510498,13,17
1590513376,1920,32
1590515296,1712,13
1590517246,798,23
1590519140,1789,21
1590521063,75,23
1590522987,17,16
1590524900,9,15
1590526701,30,16
1590528734,11,19
1590530749,21,21
1590532626,21,20
1590534511,17,16
1590536460,18,31
1590538338,18,11
1590540255,11,23
1590542183,30,36
1590544090,15,9
1590546025,20,18
1590547949,15,18
1590549857,15,15
1590551783,10,19
1590553692,15,9
1590555813,21,19
1590557795,9,18
1590559711,18,8
1590561620,53,19
1590563532,13,20
1590565469,12,55
1590567513,21,17
1590569326,9,16
1590571228,20,25
1590573149,15,21
1590575083,10,62
1590577026,9,14
1590578906,15,13
1590582012,32,22
1590583931,12,14
1590585866,13,13
1590587782,10,13
1590589698,19,22
1590592821,21,23
1590594732,13,18
1590596661,12,14
1590598566,14,875
1590600486,8,1685
1590603625,35,1836
1590605539,26,1808
1590607455,27,80
1590609385,18,21
1590611291,25,9
1590614227,27,34
1590616106,24,19
1590618014,18,19
1590619935,21,29
1590621860,21,18
1590623787,24,27
1590625697,14,17
1590628829,28,90
1590630731,26,19
1590632663,29,25
1590634574,15,20
1590636515,35,24
1590638479,30,15
1590640404,27,23
1590642301,22,26
1590644172,18,9
1590646107,26,18
1590648007,18,61
1590649928,18,18
1590651870,59,12
1590653782,15,20
1590655696,30,17
1590657639,25,23
1590659533,19,20
1590661459,22,16
1590663386,11,11
1590665556,28,24
1590667500,13,19
1590669407,25,18
1590671306,16,17
1590673227,21,11
1590675139,11,22
1590677078,22,19
1590679277,18,16
1590681142,24,14
1590683093,20,16
1590684988,14,16
1590686895,16,11
1590688878,13,22
1590690746,15,25
1590692679,15,27
1590694573,22,28
1590696506,25,14
1590698411,11,24
1590700331,20,14
1590702267,23,19
1590704178,27,16
1590706098,20,22
1590708032,21,15
1590709938,16,30
1590711865,17,16
1590713774,17,84
1590715691,13,15
1590717668,21,39
1590719538,24,949
1590721473,16,13
1590723374,14,36
1590725629,24,34
1590727463,145,26
1590729375,26,15
1590731537,36,33
1590733468,21,14
1590735371,946,21
1590737290,19,19
1590739331,101,56
1590741134,10,25
1590744027,45,43
1590745938,21,21
1590747869,23,23
1590749777,20,13
1590751706,21,25
1590753666,27,17
1590755529,18,25
1590757386,8,16
1590759403,15,19
1590761555,23,16
1590763472,1724,10
1590765377,2819,13
