DateTime,Entries,UniqueIPs
1589916023,9953,9953
1589917940,10832,10832
1589919876,10939,10939
1589921784,11067,11067
1589923700,11201,11201
1589925710,11318,11318
1589927541,11439,11439
1589929715,11562,11562
1589931677,11677,11677
1589933556,11766,11766
1589935454,11806,11806
1589937383,11807,11807
1589939544,11838,11838
1589941463,11837,11837
1589943376,11824,11824
1589945295,11807,11807
1589948408,10952,10952
1589950366,10973,10973
1589952512,10977,10977
1589954508,10977,10977
1589956350,11152,11152
1589958519,11854,11854
1589960410,11930,11930
1589962332,12031,12031
1589964293,12122,12122
1589966207,12192,12192
1589968128,12267,12267
1589970098,12339,12339
1589973551,12274,12274
1589975752,12148,12148
1589977911,12166,12166
1589980263,12200,12200
1589982245,12238,12238
1589984636,12270,12270
1589986779,12312,12312
1589989209,12357,12357
1589991570,12098,12098
1589993803,10712,10712
1589995856,9487,9487
1589997992,8192,8192
1590001100,8221,8221
1590003074,7361,7361
1590005308,6481,6481
1590007386,6550,6550
1590009262,6594,6594
1590011222,6631,6631
1590013134,6671,6671
1590015130,6429,6429
1590017053,6630,6630
1590018981,7466,7466
1590020889,7681,7681
1590023823,7894,7894
1590025690,8273,8273
1590027660,8891,8891
1590029558,8834,8834
1590031454,8762,8762
1590033370,8705,8705
1590035304,8652,8652
1590038174,8576,8576
1590040113,8568,8568
1590042068,8495,8495
1590043933,7510,7510
1590046123,7509,7509
1590048138,7510,7510
1590049943,7502,7502
1590051957,7505,7505
1590054055,7522,7522
1590055951,7513,7513
1590057859,7549,7549
1590060082,7806,7806
1590061936,8401,8401
1590063855,8498,8498
1590065818,8577,8577
1590067690,8644,8644
1590070867,8727,8727
1590072734,8789,8789
1590074660,8872,8872
1590077773,8981,8981
1590079705,9062,9062
1590081920,9146,9146
1590083769,9221,9221
1590085752,9299,9299
1590088594,9363,9363
1590090748,9438,9438
1590092666,9500,9500
1590094569,9556,9556
1590096494,9861,9861
1590098527,9937,9937
1590100335,9990,9990
1590103253,9989,9989
1590105134,9053,9053
1590107065,8821,8821
1590108975,8715,8715
1590110894,8755,8755
1590112924,8750,8750
1590114741,7825,7825
1590116656,7833,7833
1590118596,7854,7854
1590120521,7879,7879
1590122465,7918,7918
1590124337,7934,7934
1590126257,7962,7962
1590128187,7978,7978
1590130094,8030,8030
1590132084,8045,8045
1590133951,8020,8020
1590135856,8036,8036
1590137782,8047,8047
1590139715,8056,8056
1590141970,8048,8048
1590143850,8007,8007
1590145800,7954,7954
1590147669,7220,7220
1590149559,7121,7121
1590151461,7012,7012
1590153373,6925,6925
1590155355,6785,6785
1590157311,6728,6728
1590159143,6633,6633
1590161066,6513,6513
1590162973,6406,6406
1590164894,6307,6307
1590167010,6179,6179
1590168972,6065,6065
1590170893,5951,5951
1590172821,5821,5821
1590174975,5683,5683
1590176896,5562,5562
1590178825,5444,5444
1590180729,5317,5317
1590182650,4879,4879
1590184581,4754,4754
1590186494,4648,4648
1590188536,4530,4530
1590190338,4421,4421
1590192503,4284,4284
