DateTime,Entries,UniqueIPs
1589922753,7852,7852
1589924665,7852,7852
1589926579,7851,7851
1589928513,7868,7868
1589930492,7879,7879
1589932341,7910,7910
1589934279,7907,7907
1589936235,7904,7904
1589938140,7910,7910
1589940233,7914,7914
1589942188,7936,7936
1589944135,7938,7938
1589946015,7916,7916
1589947947,7882,7882
1589949894,7872,7872
1589951811,7878,7878
1589953694,7885,7885
1589955632,7867,7867
1589957543,7875,7875
1589959547,7884,7884
1589961390,7886,7886
1589963303,7886,7886
1589965399,7897,7897
1589967387,7886,7886
1589969635,7866,7866
1589971584,7860,7860
1589973699,7846,7846
1589977262,4087,4087
1589980484,4071,4071
1589982382,3650,3650
1589984841,3632,3632
1589986873,3623,3623
1589989323,3625,3625
1589991648,3625,3625
1589993899,3583,3583
1589995941,3593,3593
1589999994,3591,3591
1590002031,3594,3594
1590003998,3587,3587
1590006352,3575,3575
1590008226,3563,3563
1590011397,3597,3597
1590013533,3581,3581
1590015384,3750,3750
1590017288,3768,3768
1590020178,3768,3768
1590022091,3759,3759
1590024079,3749,3749
1590025933,3753,3753
1590028098,3739,3739
1590031289,3729,3729
1590033181,3718,3718
1590035060,3692,3692
1590037000,3675,3675
1590038899,3670,3670
1590042072,3633,3633
1590043965,3613,3613
1590046127,3597,3597
1590048209,3581,3581
1590050177,3562,3562
1590051989,3543,3543
1590054071,3543,3543
1590055952,1759,1759
1590057860,1413,1413
1590060118,1402,1402
1590061937,1401,1401
1590063856,1410,1410
1590065826,1414,1414
1590067691,1429,1429
1590069677,1428,1428
1590071552,1389,1389
1590073477,1365,1365
1590075395,1347,1347
1590077303,1324,1324
1590079267,1316,1316
1590081163,1295,1295
1590083095,1287,1287
1590085271,1353,1353
1590087377,1388,1388
1590089292,1427,1427
1590091288,1453,1453
1590093141,1468,1468
1590095059,1557,1557
1590096993,1546,1546
1590098906,1552,1552
1590100887,1565,1565
1590102758,1464,1464
1590104672,1342,1342
1590106576,1354,1354
1590108508,1357,1357
1590110463,1363,1363
1590112335,1360,1360
1590114286,1361,1361
1590116174,1360,1360
1590118094,1358,1358
1590120972,1359,1359
1590122898,1356,1356
1590124937,1357,1357
1590126745,1351,1351
1590128654,1379,1379
1590130572,1390,1390
1590132506,1604,1604
1590134564,1614,1614
1590136573,1627,1627
1590138507,1646,1646
1590140482,1646,1646
1590142722,1636,1636
1590144742,1634,1634
1590146715,1632,1632
1590148584,1630,1630
1590150493,1619,1619
1590153375,1616,1616
1590155357,1625,1625
1590157316,1628,1628
1590159147,1626,1626
1590161068,1622,1622
1590162976,1620,1620
1590164896,1615,1615
1590167069,1613,1613
1590168975,1608,1608
1590170896,1609,1609
1590172824,1574,1574
1590174979,1555,1555
1590176926,1546,1546
1590178828,1545,1545
1590180732,1484,1484
1590182653,1490,1490
1590184584,1485,1485
1590186497,1465,1465
1590188581,1464,1464
1590190583,1450,1450
1590192512,1446,1446
1590194416,1442,1442
1590196354,1445,1445
1590198257,1446,1446
1590200178,1469,1469
1590202107,1475,1475
1590204015,1492,1492
1590205947,1500,1500
1590207871,1504,1504
1590209775,1517,1517
1590211695,1519,1519
1590213713,1522,1522
1590215540,1462,1462
1590217592,1451,1451
1590219640,1231,1231
1590221543,1224,1224
1590223476,1216,1216
1590225369,1246,1246
1590227315,1271,1271
1590229480,1242,1242
1590231397,1218,1218
1590233302,1208,1208
1590235324,1247,1247
1590237216,1253,1253
1590239388,1244,1244
1590241225,1234,1234
1590243147,1236,1236
1590245056,1237,1237
1590246981,1449,1449
1590248893,1448,1448
1590250823,1446,1446
1590252736,1445,1445
1590254664,1447,1447
1590256595,1449,1449
1590258567,1450,1450
1590260558,1450,1450
1590262573,1441,1441
1590264509,1428,1428
1590266411,1418,1418
