DateTime,Entries,UniqueIPs
1589920819,3807,3807
1589922754,3793,3793
1589924666,3782,3782
1589926580,3795,3795
1589928514,3791,3791
1589930495,3812,3812
1589932341,3868,3868
1589934280,3892,3892
1589936244,3900,3900
1589938141,3917,3917
1589940282,3914,3914
1589942189,3918,3918
1589944136,3922,3922
1589946015,3939,3939
1589947948,3931,3931
1589949895,3945,3945
1589951812,3986,3986
1589953714,3970,3970
1589955633,3959,3959
1589957544,3954,3954
1589959548,3993,3993
1589961391,4012,4012
1589963304,4022,4022
1589965429,4024,4024
1589967388,4082,4082
1589969636,4119,4119
1589971632,4136,4136
1589973726,4166,4166
1589977272,4194,4194
1589980529,4239,4239
1589982415,4269,4269
1589984851,4326,4326
1589988252,4397,4397
1589990132,4438,4438
1589992382,4470,4470
1589994835,4533,4533
1589996778,4565,4565
1589998937,4598,4598
1590001268,4613,4613
1590003306,4644,4644
1590005658,4700,4700
1590007803,4748,4748
1590011421,4857,4857
1590013539,4911,4911
1590015384,5814,5814
1590017289,5863,5863
1590020179,5885,5885
1590022092,5938,5938
1590024084,6016,6016
1590025934,6085,6085
1590028100,6150,6150
1590030137,6196,6196
1590032015,6219,6219
1590034133,6285,6285
1590036272,6356,6356
1590038177,6402,6402
1590040116,6442,6442
1590042090,6502,6502
1590043966,6515,6515
1590046133,6560,6560
1590048260,6615,6615
1590050177,6690,6690
1590052010,6754,6754
1590054098,6760,6760
1590055953,6775,6775
1590057861,6813,6813
1590060166,6855,6855
1590062178,6885,6885
1590064091,6929,6929
1590066177,6905,6905
1590068496,6923,6923
1590070370,6895,6895
1590072276,6874,6874
1590074485,6864,6864
1590076399,6861,6861
1590078272,6847,6847
1590080174,6855,6855
1590082129,6867,6867
1590084370,6865,6865
1590086191,6876,6876
1590088119,6922,6922
1590090386,6975,6975
1590092219,6951,6951
1590094105,6914,6914
1590096077,6855,6855
1590097943,6772,6772
1590099866,6706,6706
1590101784,6628,6628
1590103720,5795,5795
1590105768,5605,5605
1590107783,5585,5585
1590109949,5460,5460
1590111856,5382,5382
1590113793,5262,5262
1590115704,5216,5216
1590117644,5161,5161
1590119534,5078,5078
1590121470,4994,4994
1590123386,4887,4887
1590125305,4738,4738
1590128190,4568,4568
1590130113,4566,4566
1590132109,4530,4530
1590133961,5299,5299
1590135859,5217,5217
1590137787,5126,5126
1590139717,5045,5045
1590142030,5006,5006
1590143872,4955,4955
1590145816,4911,4911
1590147725,4933,4933
1590149562,4905,4905
1590151464,4879,4879
1590153376,4852,4852
1590155358,4825,4825
1590157317,4806,4806
1590159148,4769,4769
1590161069,4744,4744
1590162977,4707,4707
1590164897,4696,4696
1590167070,4675,4675
1590168976,4639,4639
1590170897,4657,4657
1590172825,4632,4632
1590174980,4606,4606
1590176937,4554,4554
1590178829,4567,4567
1590180733,4607,4607
1590182653,4628,4628
1590184585,4675,4675
1590186498,4728,4728
1590188605,4786,4786
1590190583,4812,4812
1590192512,4850,4850
1590194417,4880,4880
1590196355,4913,4913
