DateTime,AddedIPs,RemovedIPs
1588934172,2,0
1588938014,0,1
1588939935,0,1
1588941867,0,2
1588943779,1,1
1588947630,1,0
1588949544,0,2
1588951490,0,1
1588955422,0,1
1588957401,0,1
1588963462,1,0
1588965426,1,0
1588976896,1,0
1588979097,1,1
1588981044,0,1
1588982897,0,1
1588984822,0,1
1588986745,2,1
1588992507,2,0
1588994414,2,1
1588996342,0,2
1588998266,1,0
1589000214,2,1
1589004223,1,0
1589008117,1,1
1589010029,0,1
1589011948,2,0
1589017936,0,1
1589019868,0,2
1589023734,1,0
1589029718,1,1
1589031619,2,0
1589035461,0,1
1589037383,1,0
1589045061,1,0
1589046979,1,0
1589050996,0,2
1589052971,1,0
1589058731,1,0
1589064494,0,2
1589072182,0,1
1589078288,2,2
1589080111,1,0
1589082018,1,0
1589083934,1,1
1589085868,1,2
1589087790,0,1
1589089692,0,1
1589091621,1,0
1589093553,0,1
1589095467,1,0
1589097417,1,2
1589103299,0,1
1589105559,1,0
1589113241,0,1
1589115139,2,1
1589117078,0,1
1589118972,0,1
1589126002,0,1
1589131695,0,1
1589133808,0,1
1589139626,0,1
1589141537,1,0
1589153065,1,0
1589154970,0,1
1589156897,1,0
1589162904,1,1
1589164818,0,1
1589166751,2,1
1589170576,0,1
1589172502,1,1
1589174470,1,0
1589178267,0,1
1589182092,0,1
1589184174,0,1
1589190022,1,1
1589191949,0,2
1589201537,1,2
1589205388,1,0
1589209320,2,0
1589226986,1,1
1589228895,1,0
1589230968,1,0
1589234906,1,0
1589238731,1,1
1589240667,1,0
1589242573,0,1
1589256320,0,1
1589258189,2,0
1589260106,0,1
1589262027,0,1
1589263942,1,0
1589269707,2,0
1589275462,0,1
1589279296,0,1
1589287212,2,1
1589292975,1,1
1589296824,0,2
1589302591,2,0
1589314344,1,0
1589316288,1,1
1589318205,1,0
1589326373,0,1
1589330199,2,0
1589335933,2,0
1589337870,0,1
1589339812,0,2
1589343629,1,1
1589351305,0,1
1589355424,0,2
1589359226,1,0
1589368826,1,0
1589372668,1,1
1589374575,1,1
1589378734,0,1
1589380596,0,2
1589384441,0,1
1589388279,0,1
1589390182,0,1
1589394260,1,0
1589396193,3,0
1589402193,0,1
1589404182,0,1
1589406015,2,0
1589415647,0,1
1589417542,0,1
1589421411,0,2
1589427373,1,0
1589433131,1,0
1589435094,0,1
1589436975,3,0
1589444659,0,1
1589446610,1,0
1589450724,1,0
1589452575,2,0
1589454538,1,0
1589456443,0,1
1589460268,1,0
1589462217,0,2
1589464095,2,0
1589466026,2,0
1589477795,2,0
1589479956,0,1
1589481863,0,2
1589484022,1,0
1589491697,0,1
1589495795,1,1
1589507550,1,0
1589518335,1,0
1589522188,0,1
1589524092,0,2
1589526130,1,0
1589527958,1,1
1589537554,0,2
1589539459,0,1
1589541409,0,1
1589545262,0,2
1589547139,1,0
1589549082,1,0
1589551398,0,2
1589553379,0,1
1589555830,0,1
1589563453,0,2
1589565413,1,0
1589567307,1,0
1589570425,1,1
1589576201,2,0
1589586750,2,1
1589596575,2,0
1589604269,1,1
1589610193,1,0
1589614174,1,2
1589625875,1,0
1589633534,1,1
1589635515,1,1
1589647218,0,1
1589651052,0,1
1589654892,2,0
1589657192,1,1
1589659121,1,1
1589663208,0,2
1589665091,1,0
1589667113,1,0
1589671371,2,1
1589673284,1,0
1589675377,1,0
1589679672,1,1
1589683481,0,1
1589694981,0,1
1589699081,1,0
1589700993,0,2
1589704823,1,0
1589706753,1,0
1589710845,1,0
1589712752,2,1
1589720715,1,1
1589722579,0,1
1589724504,1,0
1589726455,2,0
1589730314,2,0
1589734353,2,0
1589738177,1,0
1589742188,0,2
1589744477,0,1
1589748262,1,0
1589750215,1,0
1589752092,0,3
1589755934,2,1
1589757858,0,1
1589759778,0,1
1589761694,0,1
1589766497,0,1
1589768475,0,1
1589770343,1,0
1589772293,1,0
1589785945,0,1
1589791728,0,1
1589797481,1,2
1589799376,0,2
1589803403,2,0
1589805375,1,0
1589807320,0,1
1589809221,1,0
1589811161,0,1
1589813058,2,2
1589815019,1,0
1589816899,0,1
1589820747,1,0
1589822660,0,1
1589825076,0,2
1589831086,1,0
1589834967,0,1
1589836831,1,1
1589842580,1,2
1589844520,0,1
1589850517,1,0
1589858206,0,1
1589862026,0,1
1589867779,1,0
1589871884,1,0
1589873773,2,0
1589877867,1,0
1589881698,1,0
1589885571,0,1
1589887478,1,0
1589889412,0,1
1589891296,0,1
1589895376,0,1
1589899462,1,2
1589901390,0,1
1589903298,1,0
1589907146,2,1
1589915173,1,0
1589917001,3,1
1589918908,1,0
1589924669,1,0
1589928519,0,1
1589930499,2,1
1589932347,2,0
1589938144,2,1
1589940361,2,0
1589942192,1,0
1589946020,2,0
1589947950,1,0
1589951819,1,0
1589953717,0,2
1589959552,2,3
1589965535,0,1
1589967391,0,1
1589969639,2,0
1589971756,1,1
1589973821,0,1
1589977288,1,0
1589989398,1,0
1589993998,0,2
1589996049,1,1
1590000123,0,1
1590002133,0,2
1590004121,0,1
1590006369,0,1
1590011489,1,1
1590013631,0,1
1590016837,0,2
1590018745,0,1
1590020653,2,0
1590022596,0,1
1590027781,0,1
1590029806,0,1
1590031688,1,2
1590033714,0,1
1590035786,1,0
1590041542,1,1
1590045384,0,2
1590056665,1,3
1590058597,1,1
1590060498,4,1
1590062703,0,1
1590068499,2,0
1590076416,1,1
1590078274,1,0
1590082133,0,1
1590084376,67,0
1590086193,4,1
1590088122,3,0
1590094107,1,0
1590096080,1,0
1590097945,0,1
1590105850,2,0
1590107785,0,2
1590117646,1,0
1590119536,1,0
1590125307,0,1
1590130115,0,1
1590139719,1,0
1590142082,0,1
1590146185,0,3
1590148097,0,1
1590152169,2,0
1590154102,1,1
1590157320,0,1
1590159150,1,0
1590162978,0,1
1590164899,0,1
