DateTime,AddedIPs,RemovedIPs
1588992507,1,1
1588994415,0,1
1588996342,1,0
1588998266,1,2
1589000215,2,0
1589004235,0,1
1589006188,1,0
1589011948,1,1
1589016022,0,6
1589017937,1,0
1589019868,0,1
1589023734,1,0
1589025842,3,0
1589027796,1,0
1589031620,0,1
1589033585,1,0
1589035461,1,0
1589041229,1,1
1589043148,1,0
1589045062,0,1
1589048911,0,1
1589060669,0,1
1589062597,0,1
1589068335,0,1
1589070255,1,0
1589072183,0,1
1589078292,0,1
1589082018,0,1
1589083934,2,0
1589085868,0,2
1589089693,2,0
1589095467,0,1
1589097417,0,1
1589101370,1,0
1589103300,0,1
1589105561,1,1
1589111331,0,3
1589113242,0,1
1589115139,0,1
1589118973,0,1
1589120895,0,1
1589127887,0,1
1589133815,2,0
1589135774,2,0
1589145375,1,0
1589153066,1,0
1589154971,0,1
1589156897,1,0
1589161074,1,0
1589170576,0,2
1589174471,2,0
1589176334,0,2
1589180175,1,0
1589182093,0,1
1589190023,1,1
1589191949,1,1
1589197696,1,0
1589207292,1,0
1589209336,2,0
1589211137,2,0
1589217033,1,0
1589219072,0,1
1589220977,0,1
1589223160,0,2
1589226987,1,0
1589232974,0,1
1589236838,1,0
1589242574,1,2
1589244492,1,0
1589246423,1,1
1589248333,1,0
1589250302,1,0
1589252190,1,0
1589260107,0,1
1589262028,0,1
1589265902,0,1
1589269708,2,0
1589275462,0,1
1589277386,0,1
1589281439,2,0
1589287212,1,0
1589291066,2,0
1589294956,0,2
1589296824,1,2
1589298737,1,0
1589304505,0,1
1589306623,2,0
1589314344,0,1
1589316288,1,0
1589320389,1,0
1589322484,1,1
1589328231,1,1
1589330200,1,1
1589334015,0,1
1589337871,2,0
1589339813,1,0
1589343629,0,1
1589347459,1,0
1589349387,0,1
1589355424,0,2
1589359226,1,0
1589363072,1,1
1589364999,1,0
1589368827,1,0
1589370740,2,1
1589374577,0,1
1589376562,1,3
1589380596,1,0
1589384441,0,1
1589386346,2,2
1589394261,1,1
1589396194,2,0
1589398167,1,0
1589402194,1,1
1589404182,1,0
1589407932,1,1
1589409869,2,1
1589411782,1,0
1589417542,1,1
1589423300,0,2
1589427373,1,2
1589435095,0,1
1589436976,1,0
1589442739,1,0
1589444659,0,1
1589448542,1,1
1589452575,0,1
1589454540,0,1
1589456443,0,1
1589458348,1,1
1589460268,2,0
1589462217,0,1
1589466027,0,1
1589471773,2,0
1589473706,1,2
1589475885,1,0
1589479957,0,1
1589481863,1,2
1589484022,0,1
1589485932,0,1
1589489771,0,1
1589491697,0,1
1589493820,0,1
1589495795,0,2
1589497993,0,1
1589501839,1,0
