DateTime,AddedIPs,RemovedIPs
1588387954,1,0
1588395849,1,0
1588403343,1,1
1588407179,0,1
1588409075,0,1
1588410991,2,0
1588412935,1,0
1588414870,1,0
1588420616,0,1
1588422530,0,1
1588424765,1,0
1588428502,0,1
1588430476,1,1
1588432471,0,2
1588436425,0,1
1588438337,1,0
1588440297,1,0
1588447013,0,1
1588458504,1,1
1588460718,0,1
1588462643,1,0
1588464497,1,0
1588466429,0,1
1588472202,1,0
1588474132,0,1
1588481807,0,1
1588489707,0,1
1588495462,1,0
1588497387,0,2
1588499332,0,1
1588501217,0,1
1588503154,1,0
1588511048,0,1
1588516840,1,1
1588524503,0,1
1588526432,0,1
1588540820,1,0
1588542758,1,0
1588544696,0,1
1588548508,2,1
1588550595,1,1
1588560295,1,1
1588564114,1,0
1588566024,1,0
1588575901,1,0
1588579993,2,0
1588581895,0,1
1588589553,0,1
1588591471,2,0
1588593429,1,0
1588603219,1,1
1588614740,1,0
1588616673,2,0
1588624587,3,0
1588626510,1,0
1588628464,0,2
1588634175,0,1
1588636144,0,2
1588643808,1,0
1588647872,2,1
1588651713,1,2
1588663263,1,1
1588665141,0,1
1588667082,0,1
1588668981,1,0
1588676901,0,1
1588678820,0,2
1588682657,1,0
1588690572,0,1
1588694605,1,0
1588696574,1,0
1588700413,1,1
1588702340,0,2
1588708096,1,0
1588710011,0,3
1588711932,0,1
1588731136,2,1
1588733068,1,1
1588734987,1,1
1588736893,1,0
1588738819,1,1
1588748572,1,1
1588754417,0,1
1588768114,1,1
1588774366,1,0
1588780101,0,1
1588782023,0,1
1588787771,0,1
1588792602,1,0
1588794513,0,1
1588808190,1,0
1588810126,1,0
1588818021,0,2
1588819940,0,1
1588821868,0,1
1588823778,0,2
1588833630,0,1
1588841316,1,0
1588855012,1,1
1588860778,1,1
1588880207,1,1
1588882140,1,0
1588893625,1,1
1588897479,1,1
1588909220,2,0
1588926525,0,1
1588928521,1,0
1588938016,1,0
1588939937,1,0
1588941868,0,1
1588945698,0,1
1588949545,1,0
1588951490,2,0
1588953395,1,0
1588959378,1,0
1588965427,0,1
1588967307,0,1
1588973070,1,0
1588974985,2,0
1588976897,1,0
1588979102,0,1
1588984824,0,1
1588992508,2,0
1588994415,0,1
1588996343,0,1
1589016023,0,1
1589021797,1,0
1589025848,0,2
1589033586,1,0
1589037384,0,3
1589039306,0,1
1589045062,1,1
1589048911,1,0
1589056817,2,0
1589058732,0,1
1589062598,0,3
1589072183,1,0
1589078293,0,1
1589080112,0,1
1589085869,1,0
1589107463,0,1
1589118974,0,1
1589123806,1,0
1589126003,2,0
1589131696,0,1
1589133833,1,0
1589135775,0,1
1589139627,1,0
1589141537,1,2
1589154971,0,3
1589159086,0,2
1589166752,1,0
1589170577,1,0
1589172502,0,1
1589191950,1,0
1589195785,1,0
1589207293,1,0
1589210410,1,1
1589212335,0,2
1589216175,2,0
1589218113,1,0
1589221236,0,1
1589225057,1,1
1589228897,0,1
1589230994,1,0
1589236839,1,0
1589240669,1,0
1589244493,1,0
1589248333,1,0
1589250302,2,0
1589252191,1,0
1589254102,0,1
1589256341,0,1
1589277386,0,1
1589281448,1,0
1589283377,0,1
1589292977,1,1
1589294957,0,1
1589300656,1,0
1589302592,0,2
1589304510,1,1
1589310517,1,1
1589312452,1,0
1589318206,0,1
1589322507,1,0
1589325625,1,1
1589327790,1,1
1589329701,1,1
1589334505,0,1
1589336444,0,1
1589338343,0,2
1589342197,2,0
1589358013,1,0
1589368828,0,1
1589378736,0,1
1589384442,1,0
1589386347,0,1
1589388281,1,0
1589390183,2,1
1589396194,0,1
1589398169,1,1
1589404183,2,0
1589407933,0,1
1589411783,0,1
1589413693,1,0
1589415648,0,2
1589417543,1,0
1589423300,1,0
1589425412,1,0
1589429334,0,2
1589435098,1,0
1589436977,1,0
1589444660,0,1
1589446611,1,0
1589458348,2,0
1589462218,1,0
1589466027,2,0
1589469931,1,1
1589473707,1,1
1589475889,0,2
1589484024,0,1
1589485933,1,0
1589487868,1,0
1589489772,0,1
1589491698,1,1
1589499855,0,1
1589501846,1,0
1589503696,0,1
1589505640,1,0
1589509455,1,1
1589511383,0,1
1589516427,1,0
1589522189,0,1
1589524093,0,1
1589528202,1,0
1589534273,0,1
1589541866,1,0
1589543775,1,1
1589545696,0,1
1589547861,1,1
1589550049,1,0
1589552198,0,1
1589554093,1,1
1589556321,0,1
1589558187,2,0
1589560119,0,1
1589562989,2,0
1589568736,1,0
1589570665,1,0
1589572586,0,2
1589577629,0,1
1589588171,0,1
1589592027,0,1
1589596095,1,1
1589603777,0,1
1589615291,0,1
1589617252,2,0
1589626949,1,0
1589628986,2,1
1589631155,0,1
1589633058,1,1
1589635045,0,1
1589641002,0,1
1589643148,2,1
1589645105,1,1
1589648932,0,1
1589650818,0,1
1589654724,0,1
1589657195,0,1
1589665093,2,0
1589677495,1,0
1589681545,0,1
1589702929,0,2
1589704825,1,0
1589708677,1,0
1589712753,0,1
1589714666,1,0
1589716590,0,2
1589718570,0,1
1589720720,1,0
1589728338,0,1
1589730315,1,2
1589746342,1,0
1589748262,2,0
1589750216,1,2
1589754021,1,0
1589757859,1,0
1589763670,0,1
1589767514,1,0
1589782842,1,0
1589784735,1,0
1589788605,1,0
1589790755,0,1
1589792724,1,0
1589794590,0,1
1589800593,1,0
1589802493,0,1
1589804427,1,0
1589806336,0,1
1589808267,1,0
1589816454,1,1
1589822201,1,0
1589827947,2,0
1589833699,0,2
1589835905,1,2
1589837784,1,0
1589840009,0,1
1589843779,1,0
1589845959,1,1
1589849783,1,0
1589854845,0,1
1589870214,3,2
1589875949,0,1
1589879787,0,1
1589883641,1,0
1589885602,1,0
1589887479,0,1
1589889413,0,1
1589893455,0,1
1589903298,0,1
1589909066,0,1
1589912901,0,1
1589915174,0,1
1589922762,0,1
1589924671,0,1
1589930501,1,1
1589932348,0,1
1589936282,0,1
1589947951,1,0
1589953717,1,0
1589957547,0,3
1589963308,1,0
1589969639,0,1
1589971784,0,1
1589996074,1,0
1590001300,1,0
1590015783,1,0
1590017774,0,1
1590019707,1,0
1590035788,0,1
1590039724,0,1
1590041543,1,0
1590047292,1,0
1590049438,0,1
1590064589,1,0
1590076418,1,0
1590080183,0,1
1590082134,2,0
1590088123,0,1
1590092222,1,0
1590099868,2,0
1590101787,0,1
1590105858,0,1
1590121472,1,0
1590128196,0,1
1590133964,0,1
1590150164,0,1
1590160099,1,0
1590162081,1,0
1590163966,0,1
1590165856,2,0
1590167789,1,1
1590169694,0,1
1590175471,1,0
1590179293,0,1
1590184348,1,0
1590186275,0,2
1590197067,1,0
1590200899,1,0
1590206904,1,0
1590208831,0,1
1590224237,1,0
1590232115,1,0
1590246198,0,1
1590248195,1,0
1590250124,0,1
1590252021,0,2
1590253945,0,1
1590257782,1,0
1590261686,0,1
1590263552,1,0
1590267393,1,0
1590269315,0,1
1590273377,1,0
1590275318,1,0
1590281060,1,0
1590282977,1,0
1590285062,0,1
1590287126,1,1
1590294126,1,1
1590307694,1,0
1590309618,1,0
1590311578,0,1
1590317542,0,1
1590333411,0,1
1590344173,1,1
1590349944,0,1
1590352261,2,0
1590354312,1,1
1590360020,0,1
1590362117,0,1
1590367935,0,1
1590369864,0,1
1590371668,1,0
1590373714,0,1
1590375879,1,0
1590381632,0,1
1590393163,0,1
1590395072,0,1
1590397005,2,0
1590412836,1,0
1590416666,1,0
1590423385,2,0
1590429173,0,1
1590438988,1,2
1590440931,1,1
1590455044,1,0
1590456979,1,0
1590458918,0,1
1590460825,1,0
1590462736,0,1
1590464679,1,0
1590468512,1,0
1590484119,0,2
1590486104,1,0
1590497785,0,1
1590504763,0,1
1590508620,0,2
1590517254,2,0
1590521070,1,0
1590524907,0,1
1590526709,1,0
1590528741,1,1
1590540276,0,1
1590544096,0,1
1590546031,0,1
1590549862,0,1
1590555896,2,1
1590569555,1,0
1590571470,0,1
1590573371,1,0
1590602773,0,1
1590604586,1,1
1590606526,1,0
1590608427,1,1
1590614234,0,1
1590616111,0,1
1590619939,1,0
1590629799,1,0
1590631953,1,0
1590633889,1,0
1590643524,0,2
1590655699,1,0
1590657649,0,1
1590659536,0,1
1590675141,1,0
1590681145,1,0
1590684991,1,0
1590690970,0,1
1590692909,0,1
1590694811,1,1
1590700574,1,0
1590706588,0,1
1590708508,2,0
1590712584,2,0
1590716660,0,1
1590718721,1,2
1590722660,1,0
1590724576,1,0
1590742337,0,1
1590744283,1,0
1590759908,0,1
1590767807,0,1
1590769694,1,0
1590771879,0,1
1590779569,1,0
1590781461,0,1
1590787215,0,1
1590794917,0,2
1590798983,0,2
1590804743,1,1
1590808578,0,1
1590810506,0,1
1590818176,1,0
1590820106,1,0
1590829933,0,1
1590831872,1,0
1590843785,3,0
1590855134,1,0
1590857054,0,1
1590866892,0,1
1590884191,1,0
1590889931,2,0
1590891856,0,1
1590893776,1,0
1590901462,1,0
1590903378,0,1
1590907215,1,1
1590909136,1,0
1590918755,0,1
