DateTime,AddedIPs,RemovedIPs
1589924673,0,8
1589926587,1,10
1589928521,4,5
1589930503,0,5
1589932349,2,3
1589934285,2,1
1589936284,3,7
1589938146,0,3
1589940415,5,6
1589942417,0,1
1589944389,3,3
1589946257,1,2
1589948190,5,1
1589950136,3,3
1589952086,4,2
1589953949,7,1
1589955857,2,6
1589957785,0,8
1589959973,1,2
1589961866,0,3
1589963780,9,3
1589965722,5,2
1589967614,11,5
1589969641,6,1
1589971858,4,2
1589973926,5,9
1589978634,31,9
1589980634,15,9
1589982516,19,2
1589986207,21,2
1589988382,20,3
1589990245,11,3
1589992520,16,1
1589994915,15,3
1589996852,10,0
1589999093,17,3
1590003424,20,3
1590005828,18,4
1590007897,13,1
1590011542,28,4
1590013660,20,3
1590015840,16,2
1590017776,10,1
1590019708,18,2
1590021715,11,0
1590023833,16,3
1590025694,9,2
1590027814,21,3
1590029835,10,0
1590031692,12,5
1590035099,28,5
1590037012,12,1
1590038902,19,2
1590040970,12,5
1590042988,13,0
1590045177,26,0
1590047074,45,0
1590049440,49,4
1590051375,12,7
1590053296,10,5
1590056667,32,16
1590058599,10,2
1590060500,31,4
1590062714,5,10
1590064590,15,10
1590066538,23,21
1590068502,11,20
1590070374,26,6
1590072281,15,15
1590074493,16,14
1590076420,21,20
1590078276,12,14
1590080184,16,11
1590082135,7,8
1590084393,21,14
1590086195,19,11
1590088124,19,10
1590090395,19,12
1590092223,14,16
1590094109,8,12
1590096082,6,18
1590097947,2,14
1590099869,7,19
1590101788,6,16
1590103741,9,12
1590105860,2,13
1590107787,0,13
1590109952,7,20
1590111860,2,10
1590113797,9,17
1590115711,3,10
1590117648,6,14
1590119538,5,10
1590121474,7,22
1590123391,6,12
1590125309,4,19
1590128197,15,22
1590130117,5,12
1590132112,4,30
1590133965,6,46
1590135864,10,37
1590137790,10,11
1590139721,11,10
1590142149,24,20
1590144346,9,18
1590146221,11,23
1590148101,4,16
1590150165,7,13
1590152173,5,16
1590154104,10,18
1590156254,12,23
1590158199,4,19
1590160101,5,19
1590162082,11,10
1590163968,9,18
1590165859,14,11
1590167791,3,15
1590169696,3,13
1590171619,7,12
1590173591,10,31
1590175472,5,11
1590177379,6,16
1590179298,7,14
1590181302,5,5
1590183149,6,3
1590185146,1,7
1590186985,4,5
1590188930,6,8
1590190812,4,9
1590192750,2,1
1590194655,2,0
1590196825,4,5
1590198736,2,2
1590200666,4,9
1590202576,2,4
1590204490,3,7
1590206590,1,6
1590208582,0,5
1590210492,1,7
1590212412,1,6
1590214368,12,13
1590216253,12,3
1590219134,10,9
1590220996,1,3
1590222983,12,12
1590224894,6,9
1590226815,6,10
1590229007,7,24
1590230900,6,8
1590232825,3,7
1590234742,6,4
1590236657,6,10
1590239060,14,6
1590240973,5,10
1590243149,5,12
1590245060,5,7
1590246982,2,4
1590248897,3,7
1590250853,9,9
1590252740,5,14
1590254668,4,5
1590256599,4,3
1590258585,3,7
1590260597,4,8
1590262578,9,10
1590264513,8,7
1590266415,7,9
1590268336,2,2
1590270268,9,5
1590272177,6,2
1590274095,4,4
1590276028,3,4
1590277940,8,5
1590279876,2,1
1590281778,10,4
1590283749,5,3
1590285874,3,2
1590287913,5,4
1590289843,4,2
1590291850,5,2
1590294127,3,1
1590295967,2,1
1590297883,3,3
1590299794,5,3
1590301702,6,11
1590303983,6,18
1590305786,6,2
1590307695,7,1
1590309618,3,16
1590311580,1,4
1590313505,4,5
1590315656,7,6
1590317542,5,4
1590319472,9,4
1590321402,6,7
1590323553,4,7
1590325469,10,10
1590327417,8,5
1590329316,8,5
1590331225,5,4
1590333412,1,5
1590335306,7,2
1590337369,14,9
1590339376,5,4
1590341311,7,2
1590343307,7,4
1590345153,10,5
1590347101,11,3
1590349314,5,9
1590351177,5,11
1590353176,13,3
1590355222,17,9
1590357142,21,4
1590359072,8,7
1590360979,5,2
1590362900,6,6
1590364958,2,5
1590366980,4,1
1590368893,4,9
1590370916,4,9
1590372758,6,3
1590374669,5,4
1590376791,7,4
1590378769,4,4
1590380675,3,3
1590382590,11,3
1590384513,13,3
1590386579,4,3
1590388501,7,6
1590390517,9,6
1590392427,7,6
1590394356,5,8
