DateTime,Entries,UniqueIPs
1589925373,58170,58170
1589927292,59812,59812
1589929355,59887,59887
1589931206,59887,59887
1589933303,59897,59897
1589935251,59939,59939
1589937147,59973,59973
1589939073,60007,60007
1589940982,60064,60064
1589942914,60154,60154
1589944873,60237,60237
1589946748,60287,60287
1589948694,60360,60360
1589951560,60311,60311
1589953460,60349,60349
1589955472,60404,60404
1589957291,60446,60446
1589959230,60519,60519
1589961144,60586,60586
1589963072,60689,60689
1589964985,60738,60738
1589966892,60802,60802
1589970115,60852,60852
1589974036,60883,60883
1589978715,60375,60375
1589980687,58321,58321
1589982637,55296,55296
1589986265,51250,51250
1589988504,48404,48404
1589990822,44775,44775
1589992983,41301,41301
1589995029,38374,38374
1589996903,35224,35224
1589999172,31912,31912
1590001340,28564,28564
1590003475,25602,25602
1590005900,22439,22439
1590007928,19509,19509
1590011619,14950,14950
1590013682,12996,12996
1590015860,12880,12880
1590017777,12867,12867
1590019710,12864,12864
1590021753,12961,12961
1590023835,12977,12977
1590025696,12963,12963
1590027817,12946,12946
1590029836,12866,12866
1590031694,12873,12873
1590033866,12881,12881
1590035792,12821,12821
1590037717,12805,12805
1590039776,12780,12780
1590041775,12768,12768
1590043718,12757,12757
1590045698,12755,12755
1590047625,12751,12751
1590049441,12663,12663
1590051378,12659,12659
1590053335,12658,12658
1590056669,12601,12601
1590058601,12631,12631
1590060502,12677,12677
1590062731,12651,12651
1590064593,12614,12614
1590066540,12610,12610
1590068503,12610,12610
1590070376,12621,12621
1590072284,12597,12597
1590074495,12552,12552
1590076451,12527,12527
1590078278,12544,12544
1590080185,12530,12530
1590082137,12536,12536
1590084434,12562,12562
1590086542,12538,12538
1590088348,12553,12553
1590090397,12658,12658
1590092225,12777,12777
1590094111,12781,12781
1590096083,12778,12778
1590097949,12766,12766
1590099871,12772,12772
1590101789,12772,12772
1590103744,12782,12782
1590105861,12770,12770
1590107788,12677,12677
1590109954,12649,12649
1590111862,12606,12606
1590113799,12550,12550
1590115712,12510,12510
1590117666,12435,12435
1590119540,12400,12400
1590121476,12349,12349
1590123392,12293,12293
1590125311,12262,12262
1590128198,12202,12202
1590130119,12134,12134
1590132114,12041,12041
1590133968,11950,11950
1590135866,11890,11890
1590137792,11916,11916
1590139722,11844,11844
1590142184,11822,11822
1590144395,11764,11764
1590146224,11676,11676
1590148103,11532,11532
1590150167,11491,11491
1590152175,11464,11464
1590154107,11433,11433
1590156285,11422,11422
1590158231,11462,11462
1590160103,11566,11566
1590162084,11811,11811
1590163969,11984,11984
1590165862,12208,12208
1590167793,12388,12388
1590169698,12614,12614
1590171621,12778,12778
1590173593,12804,12804
1590175473,12800,12800
1590177381,12799,12799
1590179302,12844,12844
1590181364,12830,12830
1590183381,12845,12845
1590185569,12832,12832
1590187459,12817,12817
1590189386,12823,12823
1590191304,12813,12813
1590193214,12832,12832
1590195138,12823,12823
1590197068,12813,12813
1590198975,12805,12805
1590200900,12801,12801
1590203046,12814,12814
1590204985,12826,12826
1590206905,12789,12789
1590208832,12757,12757
