DateTime,AddedIPs,RemovedIPs
1589924676,16,13
1589926590,12,15
1589928525,8,11
1589930506,18,8
1589932352,28,9
1589934288,22,6
1589936287,15,15
1589938150,13,13
1589940446,21,10
1589942420,9,11
1589944411,17,7
1589946265,9,12
1589948195,1,12
1589950139,7,9
1589952153,9,7
1589953971,15,12
1589955861,17,14
1589957794,16,13
1589959977,13,12
1589961872,10,18
1589963784,9,12
1589965756,11,11
1589967618,13,17
1589969656,10,20
1589971955,212,16
1589974150,236,399
1589976490,222,1896
1589978904,252,48
1589980790,167,5
1589982750,210,4
1589986328,321,20
1589988653,206,18
1589990976,223,15
1589993077,214,15
1589995118,199,18
1589997002,213,10
1589999308,243,30
1590003548,434,41
1590005981,246,25
1590007956,204,14
1590011690,311,41
1590013707,191,11
1590015950,44,17
1590017779,21,22
1590019712,6,11
1590021765,10,27
1590023836,9,17
1590025698,11,18
1590027820,14,18
1590029838,5,10
1590031695,13,13
1590033913,5,8
1590035795,16,13
1590037720,7,7
1590039844,15,7
1590041777,12,15
1590043724,10,21
1590045772,11,10
1590047627,8,10
1590049443,16,9
1590051381,12,9
1590053337,23,7
1590056672,26,33
1590058603,18,183
1590060504,11,195
1590062737,11,198
1590064595,9,189
1590066542,12,162
1590068506,6,220
1590070378,7,187
1590072286,18,182
1590074497,6,215
1590076454,12,175
1590078280,13,181
1590080187,15,198
1590082139,13,196
1590084515,8,249
1590086606,9,216
1590088598,7,212
1590090399,7,187
1590092227,12,189
1590094113,13,212
1590096086,14,186
1590097951,20,155
1590099873,12,184
1590101791,15,69
1590103746,19,15
1590105864,6,3
1590107790,8,11
1590109956,7,12
1590111864,15,17
1590113800,13,7
1590115717,8,5
1590117670,12,21
1590119542,15,4
1590121479,4,11
1590123394,7,10
1590125313,15,11
1590128200,13,24
1590130121,13,10
1590132116,11,10
1590133970,9,7
1590135868,9,16
1590137794,12,11
1590139724,10,19
1590141556,106,14
1590143394,227,15
1590145351,274,20
1590147158,247,10
1590149100,17,8
1590150995,14,12
1590152904,13,12
1590154956,6,7
1590157326,10,9
1590159163,10,16
1590161074,4,3
1590162981,7,9
1590164903,18,16
1590167088,6,19
1590168981,7,13
1590170915,8,6
1590172830,18,10
1590175001,15,8
1590176961,16,8
1590178834,21,9
1590180739,16,6
1590182658,8,9
1590184590,9,25
1590186502,11,10
1590188630,10,15
1590190601,6,16
1590192516,8,12
1590194421,3,5
1590196359,21,8
1590198268,6,15
1590200184,11,13
1590202114,8,11
1590204021,8,11
1590205962,10,10
1590207878,16,4
1590209780,9,11
1590211702,21,9
1590213876,12,9
1590215785,5,15
1590217620,5,10
1590219678,6,13
1590221553,4,12
1590223482,14,7
1590225374,15,8
1590227338,12,19
1590229502,26,277
1590231402,16,278
1590233313,5,291
1590235517,10,17
1590237739,12,17
1590239905,8,16
1590241943,9,6
1590243852,8,8
1590245775,6,11
1590247691,10,8
1590249777,23,8
1590251778,8,13
1590253707,5,5
1590255615,2,9
1590257530,15,7
1590259465,9,18
1590261384,29,16
1590263293,14,11
1590265229,11,20
1590267139,16,12
1590269052,7,9
1590270984,3,11
1590272890,15,6
1590274972,19,15
1590276979,6,9
1590278930,10,10
1590280813,16,4
1590282748,6,19
1590284654,3,7
1590286832,7,14
1590288766,7,7
1590290682,8,8
1590292596,9,11
1590294509,11,18
1590296597,10,12
1590298599,10,16
1590300505,13,13
1590302424,12,6
1590304394,6,5
1590306262,20,5
1590308178,8,4
1590310109,13,12
1590312018,7,13
1590313944,12,13
1590315880,8,22
1590317778,20,15
1590319698,7,8
1590321791,8,8
1590323785,7,15
1590325952,2,10
1590327857,7,7
1590329795,1,8
1590331703,3,6
1590333610,24,7
1590335543,11,11
1590337371,8,20
1590339378,6,7
1590341315,18,3
1590343367,15,11
1590345622,17,8
1590347545,23,32
1590349475,18,13
1590351680,14,12
1590353539,8,18
1590355471,23,7
1590357415,16,2
1590359546,11,9
1590362673,23,23
1590364576,16,15
1590366751,13,12
1590368700,6,13
1590370918,25,4
1590372760,25,6
1590374671,15,6
1590376793,33,8
1590378771,30,10
1590380678,5,9
1590382592,8,9
1590384515,16,5
1590386609,8,19
1590388528,21,13
1590390519,6,8
1590392430,18,15
1590394381,14,6
1590396321,11,11
1590398178,5,8
1590400097,11,14
1590402039,9,14
1590403987,17,19
1590405877,14,11
1590407796,19,5
1590409702,17,8
1590411593,9,4
1590413614,13,6
1590415536,7,4
1590417411,8,2
1590419314,6,18
1590421242,10,7
1590423139,17,10
1590425085,11,8
