DateTime,AddedIPs,RemovedIPs
1589673319,1,2
1589675384,2,1
1589677525,2,0
1589679681,3,0
1589681550,0,1
1589685395,1,0
1589687315,1,4
1589689289,0,1
1589694988,0,1
1589699132,1,0
1589702938,2,0
1589704831,0,1
1589706759,0,1
1589708684,0,2
1589712760,0,2
1589714672,1,0
1589716597,0,2
1589718576,0,1
1589720755,1,1
1589722585,0,2
1589726484,0,2
1589732194,0,1
1589736295,1,1
1589738185,1,0
1589742297,1,5
1589744513,1,0
1589746348,3,1
1589748269,1,0
1589750222,0,1
1589752099,1,0
1589754026,4,1
1589755942,1,1
1589757865,1,1
1589759784,2,3
1589761699,2,3
1589763787,1,1
1589765776,1,2
1589767964,2,1
1589769860,0,2
1589771775,2,0
1589773713,1,1
1589775662,2,0
1589777539,1,0
1589781379,0,1
1589785385,0,1
1589787388,1,0
1589789299,2,1
1589791290,2,0
1589793157,0,1
1589797237,2,0
1589799171,2,0
1589801061,1,1
1589802984,0,1
1589804905,2,0
1589809001,1,1
1589811167,1,0
1589813064,3,1
1589815036,1,0
1589818872,3,0
1589820752,1,0
1589822691,1,1
1589825092,0,1
1589827261,1,2
1589829145,0,1
1589831092,0,2
1589832984,1,2
1589834972,1,0
1589836836,1,0
1589838753,0,1
1589840684,0,2
1589842585,1,0
1589844539,2,3
1589846726,1,1
1589848599,2,3
1589850529,3,1
1589852426,4,0
1589854365,1,3
1589856271,4,0
1589858212,1,1
1589860112,1,2
1589862042,1,2
1589863943,0,2
1589865888,0,1
1589869708,0,1
1589871904,1,0
1589873779,0,1
1589875954,21,1
1589877889,0,1
1589883646,0,1
1589885611,1,1
1589887484,0,1
1589889423,0,2
1589891302,2,3
1589893473,3,0
1589895391,1,1
1589897570,1,0
1589899469,0,1
1589903303,1,0
1589905269,0,2
1589907153,0,1
1589909072,1,0
1589911082,3,1
1589912908,1,1
1589915180,0,1
1589917007,1,1
1589918914,1,1
1589920834,2,2
1589922770,2,1
1589924678,2,1
1589926591,2,1
1589928526,0,1
1589930507,1,2
1589932353,0,1
1589936288,2,2
1589938150,2,1
1589940450,3,2
1589942421,1,1
1589944412,2,1
1589946266,2,1
1589948199,4,1
1589950140,1,0
1589952184,1,0
1589958212,1,1
1589960194,3,2
1589962106,0,1
1589964010,0,2
1589966214,1,1
1589970118,1,0
1589971985,1,2
1589974201,1,0
1589976560,1,1
1589978931,0,3
1589980885,0,1
1589982786,3,3
1589985054,2,0
1589988712,0,23
1589991014,2,0
1589995145,0,2
1589997029,2,1
1589999325,0,4
1590001456,1,1
1590006013,2,1
1590007973,2,1
1590011694,2,3
1590014664,1,1
1590016582,4,2
1590018498,2,1
1590021392,3,3
1590023396,4,1
1590025336,0,1
1590027137,2,3
1590029073,2,3
1590030997,5,2
1590032909,0,2
1590035100,3,0
1590037013,2,3
1590038903,0,2
1590040997,1,0
1590042989,0,1
1590044812,0,1
1590046663,0,1
1590052917,0,1
1590055692,0,2
1590057761,0,1
1590059603,1,0
1590063402,1,1
1590067358,2,2
1590069383,0,1
1590071292,1,1
1590073384,1,1
1590075397,2,1
1590077304,1,1
1590079271,1,0
1590081167,1,1
1590085273,1,0
1590087379,0,1
1590089294,1,0
1590091337,1,0
1590093143,1,3
1590095061,1,1
1590096995,2,1
