DateTime,Entries,UniqueIPs
1589924679,1236,1236
1589926593,1227,1227
1589928527,1240,1240
1589930508,1240,1240
1589932354,1257,1257
1589934289,1256,1256
1589936289,1254,1254
1589938166,1258,1258
1589940452,1263,1263
1589942422,1276,1276
1589944413,1275,1275
1589946267,1242,1242
1589948210,1215,1215
1589950141,1205,1205
1589952257,1215,1215
1589954172,1224,1224
1589956094,1204,1204
1589958250,1217,1217
1589960195,1226,1226
1589962107,1220,1220
1589964011,1228,1228
1589966215,1244,1244
1589969130,1227,1227
1589971213,1231,1231
1589973046,1234,1234
1589975251,1186,1186
1589978954,1174,1174
1589980920,1176,1176
1589982839,1188,1188
1589985080,1156,1156
1589986971,1144,1144
1589989520,1134,1134
1589991834,1140,1140
1589995168,1110,1110
1589997054,1118,1118
1589999345,1112,1112
1590001532,1108,1108
1590003596,1098,1098
1590006056,1084,1084
1590007976,1076,1076
1590011727,1098,1098
1590013758,1086,1086
1590015969,1087,1087
1590017780,1104,1104
1590019713,1109,1109
1590021766,1104,1104
1590023838,1100,1100
1590025699,1099,1099
1590027823,1095,1095
1590029839,1087,1087
1590031696,1080,1080
1590033947,1068,1068
1590035796,1044,1044
1590037722,1034,1034
1590039850,1028,1028
1590041778,986,986
1590043725,966,966
1590045806,946,946
1590047629,921,921
1590049444,902,902
1590051382,888,888
1590053338,878,878
1590056673,847,847
1590058604,844,844
1590060531,839,839
1590062738,847,847
1590064596,849,849
1590066543,864,864
1590068507,868,868
1590070379,862,862
1590072287,826,826
1590074498,804,804
1590076455,779,779
1590078281,774,774
1590080188,763,763
1590082140,753,753
1590084536,771,771
1590086653,850,850
1590088599,892,892
1590090400,927,927
1590092229,949,949
1590094114,1040,1040
1590096087,1045,1045
1590097952,1036,1036
1590099874,1045,1045
1590101792,1062,1062
1590103747,1043,1043
1590105867,1048,1048
1590107791,1049,1049
1590109957,1050,1050
1590111865,1052,1052
1590113801,1048,1048
1590115718,1043,1043
1590117671,1045,1045
1590119543,1044,1044
1590121480,1043,1043
1590123395,1042,1042
1590125321,1043,1043
1590128227,1067,1067
1590130122,1081,1081
1590132117,1084,1084
1590133971,1097,1097
1590135869,1110,1110
1590137795,1119,1119
1590139725,1131,1131
1590141574,1138,1138
1590143395,1125,1125
1590145389,1123,1123
1590147373,1123,1123
1590149565,1116,1116
1590151468,1119,1119
1590153380,1115,1115
1590155376,1118,1118
1590157327,1121,1121
1590159165,1121,1121
1590161075,1121,1121
1590162982,1121,1121
1590164905,1117,1117
1590167090,1115,1115
1590168982,1110,1110
1590170916,1109,1109
1590172831,1070,1070
1590175026,1052,1052
1590176963,1044,1044
1590178836,1045,1045
1590180769,987,987
1590182659,995,995
1590184591,996,996
1590186503,975,975
1590188632,974,974
1590190602,964,964
1590192518,956,956
1590194423,959,959
1590196361,963,963
1590198296,966,966
1590200185,997,997
1590202116,1005,1005
1590204022,1020,1020
1590205963,1031,1031
1590207888,1036,1036
1590209782,1045,1045
1590211704,1049,1049
1590213888,1019,1019
1590215786,995,995
1590217622,987,987
1590219679,985,985
1590221555,978,978
1590223484,971,971
1590225399,1005,1005
1590227340,1024,1024
1590229506,999,999
1590231404,981,981
1590233314,972,972
1590235524,1008,1008
1590237741,1010,1010
1590239910,1002,1002
1590241945,999,999
1590243854,998,998
1590245776,999,999
1590247692,1003,1003
1590249851,1004,1004
1590251779,1003,1003
1590253708,1005,1005
1590255616,1006,1006
1590257531,1005,1005
1590259467,1006,1006
1590261386,998,998
1590263294,983,983
1590265230,976,976
1590267140,966,966
1590269054,954,954
1590270986,943,943
1590272892,953,953
1590274995,952,952
1590277010,954,954
1590278936,957,957
1590280815,957,957
1590282749,956,956
1590284656,953,953
1590286834,932,932
1590288767,923,923
1590290683,958,958
1590292597,961,961
1590294510,1046,1046
1590296623,1049,1049
1590298600,1055,1055
1590300506,1057,1057
1590302425,1065,1065
1590304396,1070,1070
1590306263,1094,1094
1590308179,1114,1114
1590310110,1126,1126
1590312019,1122,1122
1590313945,1139,1139
1590315882,1093,1093
1590317779,1091,1091
1590319699,1075,1075
1590321828,1023,1023
1590323786,1010,1010
1590325953,1000,1000
1590327858,991,991
1590329796,986,986
1590331704,982,982
1590333612,983,983
1590335545,981,981
1590337391,979,979
1590339379,981,981
1590341316,975,975
1590343418,978,978
1590345624,993,993
1590347547,1000,1000
1590349476,1006,1006
1590351701,1055,1055
1590353545,1062,1062
1590355472,1064,1064
1590357417,1072,1072
1590359547,1047,1047
1590362674,1093,1093
1590364577,1099,1099
1590366752,1096,1096
1590368702,1091,1091
1590370919,1093,1093
1590372762,1073,1073
1590374672,1052,1052
1590376794,991,991
1590378773,964,964
1590380679,855,855
1590382594,840,840
1590384516,821,821
1590386691,817,817
1590388529,824,824
1590390539,818,818
1590392432,799,799
1590394406,781,781
1590396330,770,770
1590398180,760,760
1590400098,739,739
1590402040,740,740
1590403989,737,737
1590405879,737,737
1590407822,734,734
1590409703,735,735
1590411594,730,730
1590413616,732,732
1590415540,741,741
1590417413,747,747
1590419316,822,822
1590421244,852,852
1590423141,853,853
1590425086,852,852
1590427003,880,880
1590429182,887,887
