DateTime,AddedIPs,RemovedIPs
1590145243,32,19
1590146719,20,3
1590148221,39,19
1590149372,6,57
1590150493,15,3
1590151714,19,5
1590153183,4,64
1590154461,2,14
1590155841,67,1
1590157075,10,78
1590158057,2,22
1590159659,31,56
1590161123,5,1
1590161658,4,8
1590163255,34,50
1590164457,6,2
1590166167,32,135
1590167578,3,8
1590169142,22,1
1590170444,19,31
1590171921,1,4
1590172461,4,3
1590175521,100,62
1590177021,25,9
1590178379,9,53
1590179663,63,3
1590181246,22,86
1590182721,1,3
1590183259,1,34
1590184861,29,54
1590186359,31,3
1590186859,8,1
1590188461,68,128
1590189919,7,1
1590190457,3,26
1590192054,55,90
1590193525,3,2
1590194060,1,9
1590196366,33,89
1590197659,3,17
1590199249,32,75
1590200722,4,3
1590202229,24,28
1590203582,2,72
1590204863,5,35
1590206458,37,22
1590207924,6,10
1590209273,4,40
1590210505,5,93
1590211824,2,10
1590213120,58,6
1590214391,3,31
1590215661,2,12
1590218400,77,76
1590219258,10,15
1590220668,85,34
1590222321,31,19
1590222862,1,10
1590224000,17,60
1590225180,3,27
1590226740,38,10
1590227928,32,49
1590230062,5,20
1590231239,19,17
1590232377,3,26
1590233941,32,56
1590235253,6,40
1590237260,18,38
1590238476,44,20
1590239599,22,31
1590240858,17,19
1590242189,24,13
1590243718,0,2845
1590245191,2816,0
1590246650,8,88
1590248060,1,14
1590249481,11,23
1590250608,8,9
1590251661,10,64
1590252924,28,25
1590254255,5,54
1590255259,3,41
1590256591,25,3
1590257800,4,80
1590259136,2,36
1590260459,27,88
1590262460,8,25
1590264014,0,2406
1590266065,2388,0
1590267341,23,29
1590268763,4,16
1590269661,31,16
1590271966,41,72
1590273528,7,19
1590274799,40,36
1590276306,19,4
1590276858,3,7
1590278455,51,26
1590279923,10,7
1590280459,2,4
1590281795,33,28
1590284061,26,12
1590285993,57,32
1590287661,8,13
1590289035,27,7
1590290152,1,23
1590291265,5,8
1590293566,39,11
1590295125,5,42
1590296272,4,6
1590298456,0,2406
1590300057,2428,0
1590301520,5,5
1590303022,57,11
1590304136,1,37
1590305336,6,7
1590306718,71,11
1590307976,13,25
1590309526,0,2485
1590310754,2500,0
1590312320,2,7
1590312860,1,39
1590315560,86,34
1590316460,32,35
1590317998,55,32
1590319277,18,6
1590320059,1,15
1590321647,74,19
1590323120,5,10
1590323658,4,11
1590324922,34,9
1590326722,5,81
1590328222,33,29
1590329379,1,15
1590330610,3,8
1590331824,42,27
1590333180,15,29
1590334739,33,15
1590336061,4,42
1590337351,3,5
1590338059,4,4
1590339657,50,39
1590340870,3,5
1590341659,2,4
1590343254,53,97
1590344718,8,11
1590345259,24,9
1590346846,62,31
1590348321,34,7
1590348859,0,62
1590351165,29,38
1590352739,4,11
1590354047,53,17
1590356061,6,42
1590357190,46,27
1590358378,8,43
1590359664,8,13
1590361188,0,2417
1590363259,2416,0
1590364744,45,33
1590366323,4,8
1590366864,0,10
1590368430,72,32
1590369922,2,9
1590370463,1,8
1590372769,41,27
1590374063,1,11
1590375656,29,29
1590377665,11,12
1590379143,46,8
1590380733,46,11
1590381259,0,9
1590383684,7,51
1590384866,2,9
1590386405,0,2456
1590387927,2485,0
1590388472,10,7
1590389980,21,77
1590391527,16,10
1590393273,73,27
1590395132,47,21
1590395689,0,20
1590397008,42,21
1590398233,4,36
1590399266,35,7
1590400627,45,14
1590402025,0,17
1590403248,1,18
1590404589,17,5
1590405783,24,11
1590407118,1,37
1590408246,42,31
1590410070,15,30
1590412701,33,32
1590413665,1,13
1590415261,47,35
1590417266,3,17
1590418849,56,21
1590419968,11,5
1590421825,73,38
1590424462,37,37
1590425658,71,25
1590427229,3,12
1590428887,38,12
1590430442,3,22
1590431662,30,14
1590434473,51,31
1590435264,3,9
1590436484,33,7
1590438329,5,18
1590438867,1,24
1590440451,35,44
1590441721,5,7
1590443423,37,17
1590446062,0,2625
1590447657,2555,0
1590449666,30,15
1590450933,45,9
1590452727,17,23
1590456205,54,69
1590457665,53,19
1590459926,6,40
1590461425,93,17
1590462710,13,34
1590464610,3,14
1590466942,58,15
1590467662,1,27
1590469592,4,51
1590471278,0,2599
1590474079,2675,0
1590475301,5,41
1590477839,7,43
1590478489,1,10
1590482068,63,55
1590483275,58,7
1590484726,42,43
1590485662,15,40
1590488223,38,71
1590489262,3,24
1590490509,37,8
1590491821,1,71
1590492866,2,10
1590494599,47,28
1590495932,9,4
1590497429,25,28
1590500067,65,13
1590501415,0,2597
1590503124,2603,0
1590503666,2,4
1590505251,45,24
1590506724,14,15
1590508795,0,2621
1590510322,2672,0
1590511820,73,29
1590513078,2,11
1590514203,3,19
1590515422,86,44
1590517225,3,36
1590518060,2,37
1590519644,67,28
1590520976,3,11
1590521661,8,5
1590524065,60,54
1590525171,15,17
1590526844,52,51
1590528179,4,10
1590529650,23,20
1590532461,7,66
1590534050,22,22
1590535524,6,8
1590536698,24,9
1590538649,3,62
1590540623,17,33
1590541952,4,14
1590543263,6,6
1590544856,23,28
1590546312,0,2565
1590548450,2525,0
1590549918,5,11
1590551429,16,55
1590554064,8,26
1590557668,8,64
1590559227,0,2406
1590560729,2409,0
1590562236,11,17
1590564157,59,50
1590564864,3,34
1590567348,5,34
1590569426,45,63
1590570906,3,30
1590572056,0,2307
1590573396,2322,0
1590575121,26,9
1590575665,13,23
1590576977,0,2329
1590578368,2322,0
1590579267,3,14
1590580421,18,10
1590581847,7,27
1590583465,49,2
1590584834,15,40
1590586334,7,11
1590587431,28,3
1590590059,17,64
1590592425,24,66
1590593661,3,19
1590595604,19,67
1590597259,58,8
1590600321,52,22
1590601826,12,40
1590603923,24,34
1590604458,1,5
1590608059,29,46
1590609450,50,3
1590611128,4,24
1590612628,26,12
1590615263,10,36
1590618323,14,30
1590619872,24,32
1590622458,18,58
1590623753,27,11
1590625525,32,36
1590627028,31,9
1590629079,7,40
1590630625,53,12
1590632729,6,79
1590633263,2,4
1590636860,48,47
1590638053,19,0
1590639927,14,7
1590640465,0,32
1590642235,1,71
1590643526,2,0
1590644672,38,13
1590646405,10,11
1590647669,5,13
1590649655,23,52
1590651267,8,19
1590654862,51,115
1590656070,6,6
1590657449,18,19
1590658468,5,5
1590659573,16,5
1590663245,0,1977
1590664749,1933,0
1590665661,4,2
1590667203,17,76
1590669259,32,14
1590670496,14,6
1590671783,9,33
1590672866,16,37
1590674259,27,3
1590675508,21,28
1590677426,31,52
1590678887,5,60
1590680060,1,6
1590681526,27,64
1590683123,6,2
1590683664,0,8
1590685254,13,65
1590686727,5,3
1590688225,14,10
1590689745,9,53
1590690858,5,8
1590692719,16,58
1590694447,0,1617
1590695580,1618,0
1590697522,0,1618
1590698061,1585,0
1590699800,20,24
1590701658,30,5
1590705263,23,18
1590708328,21,26
1590708858,14,5
1590710438,0,1615
1590711923,1670,0
1590712464,3,9
1590715132,26,25
1590716668,52,7
1590718298,5,23
1590720630,50,7
1590723259,10,14
1590724526,16,1
1590726217,5,5
1590726866,2,6
1590729928,12,30
1590731165,27,5
1590732540,20,22
1590734060,9,21
1590735466,10,6
1590737131,1,11
1590737669,1,7
1590739023,48,0
1590740542,2,25
1590742228,25,6
1590743416,4,19
1590744489,7,4
1590744865,2,27
1590747021,29,21
1590748460,6,9
1590749759,22,5
1590751110,6,18
1590752059,4,7
1590755131,45,45
1590755666,3,5
1590757699,48,18
1590759263,14,4
1590761204,16,17
1590762858,7,11
1590766460,30,59
1590769176,32,41
1590770611,17,11
1590772588,37,4
1590773659,15,18
1590775846,36,12
1590777260,8,10
1590779719,18,48
1590780860,11,3
1590782022,6,8
1590783183,4,17
1590785425,22,11
1590788058,11,10
1590789439,12,1
1590791664,34,20
1590793261,6,23
1590794590,1,4
1590795266,1,31
1590797307,21,16
1590799825,59,26
1590801411,2,35
1590802525,21,14
1590804296,4,48
1590806059,29,5
1590808256,16,12
1590809663,1,19
1590811387,46,5
1590813262,3,8
1590815859,4,42
1590816861,0,7
1590819912,0,1706
1590821418,1725,0
1590823520,18,34
1590824988,29,18
1590827657,32,18
1590829858,40,15
1590831258,11,2
1590832847,8,16
1590834856,22,12
1590837052,9,22
1590838458,2,29
1590840060,8,10
1590841518,1,3
1590842564,11,18
1590845114,5,31
1590845658,5,18
1590847691,18,25
1590849088,9,11
1590849258,0,1
1590850739,18,24
1590852319,20,3
1590853819,16,11
1590856459,30,9
1590857711,11,19
1590859322,44,10
1590861023,52,14
1590863660,25,14
1590865259,23,24
1590866720,7,3
1590868297,20,10
1590870322,19,13
1590871817,33,32
1590873918,10,11
1590875421,18,5
1590877520,6,17
1590878692,12,43
1590881656,24,57
1590882451,16,11
1590884720,12,6
1590886221,16,57
1590888319,22,21
1590889825,17,21
1590892457,32,39
1590895413,55,20
1590896059,5,5
1590897178,55,2
1590899660,39,16
1590901258,18,29
1590902721,8,2
1590903257,2,19
1590904416,25,1
1590906324,47,5
1590906855,9,3
1590907708,13,6
1590909575,14,41
1590910462,10,4
1590912593,12,25
1590914059,10,12
1590916244,15,15
1590917656,0,23
1590919260,41,19
