DateTime,Entries,UniqueIPs
1590095795,3542,3542
1590096867,3546,3546
1590098174,3572,3572
1590100470,3564,3564
1590102693,3603,3603
1590104071,3600,3600
1590105566,3606,3606
1590107039,3604,3604
1590108409,3600,3600
1590109988,3594,3594
1590111265,3585,3585
1590113576,3600,3600
1590114870,3589,3589
1590116438,3587,3587
1590117931,3587,3587
1590118472,3573,3573
1590120774,3581,3581
1590122072,3540,3540
1590124377,3516,3516
1590125678,3536,3536
1590127980,3565,3565
1590129269,3560,3560
1590130733,3571,3571
1590132284,3566,3566
1590133764,3580,3580
1590135001,3565,3565
1590136228,3551,3551
1590137473,3581,3581
1590138776,3567,3567
1590140070,3563,3563
1590142368,3567,3567
1590143665,3586,3586
1590145256,3598,3598
1590146726,3615,3615
1590148231,3635,3635
1590149381,3584,3584
1590150503,3596,3596
1590151721,3610,3610
1590153196,3550,3550
1590154468,3539,3539
1590155847,3606,3606
1590157084,3536,3536
1590158064,3516,3516
1590160371,3494,3494
1590161666,3491,3491
1590163968,3480,3480
1590165530,3481,3481
1590168313,3370,3370
1590169812,3396,3396
1590171168,3378,3378
1590172469,3378,3378
1590173924,3407,3407
1590175528,3415,3415
1590177032,3431,3431
1590178392,3387,3387
1590179672,3447,3447
1590181970,3382,3382
1590183268,3347,3347
1590185571,3330,3330
1590186866,3357,3357
1590189171,3300,3300
1590190466,3279,3279
1590192231,3244,3244
1590194069,3239,3239
1590196374,3182,3182
1590197666,3168,3168
1590199968,3126,3126
1590201528,3106,3106
1590202797,3056,3056
1590204313,3055,3055
1590204873,3023,3023
1590207167,3038,3038
1590208730,3023,3023
1590210004,2908,2908
1590211513,2907,2907
1590213133,2953,2953
1590214401,2925,2925
1590215669,2915,2915
1590217967,2917,2917
1590219266,2915,2915
1590220674,2963,2963
1590222329,2974,2974
1590222868,2965,2965
1590224007,2922,2922
1590225191,2898,2898
1590226756,2927,2927
1590227935,2909,2909
1590230070,2894,2894
1590231252,2896,2896
1590232385,2873,2873
1590233953,2849,2849
1590235310,2814,2814
1590237269,2795,2795
1590238483,2819,2819
1590239610,2811,2811
1590240871,2808,2808
1590242196,2819,2819
1590243732,2767,2767
1590245199,2788,2788
1590246657,2709,2709
1590248068,2696,2696
1590249523,2675,2675
1590250616,2684,2684
1590251668,2628,2628
1590252930,2632,2632
1590254262,2583,2583
1590255267,2546,2546
1590256600,2568,2568
1590257812,2492,2492
1590259143,2458,2458
1590261169,2398,2398
1590262466,2380,2380
1590264769,2368,2368
1590266074,2362,2362
1590267349,2356,2356
1590268774,2344,2344
1590269668,2359,2359
1590271974,2327,2327
1590273536,2315,2315
1590274851,2318,2318
1590276314,2333,2333
1590276865,2329,2329
1590279167,2355,2355
1590280465,2356,2356
1590281804,2361,2361
1590284069,2375,2375
1590286003,2400,2400
1590287669,2396,2396
1590289045,2416,2416
1590290164,2395,2395
1590291275,2390,2390
1590293573,2418,2418
1590295132,2381,2381
1590296279,2379,2379
1590298465,2341,2341
1590300770,2402,2402
1590302328,2401,2401
1590303526,2414,2414
1590305112,2411,2411
1590306731,2472,2472
1590307983,2457,2457
1590309541,2490,2490
1590310759,2473,2473
1590312329,2467,2467
1590312868,2430,2430
1590315568,2482,2482
1590316467,2480,2480
1590318056,2501,2501
1590319284,2514,2514
1590320066,2500,2500
1590321661,2555,2555
1590323129,2550,2550
1590323665,2543,2543
1590324934,2568,2568
1590326730,2492,2492
1590328229,2496,2496
1590329388,2482,2482
1590330626,2477,2477
1590331832,2491,2491
1590333191,2478,2478
1590334744,2491,2491
1590335934,2459,2459
1590337359,2457,2457
1590338067,2465,2465
1590339720,2467,2467
1590341669,2464,2464
1590345267,2431,2431
1590346961,2461,2461
1590348867,2427,2427
1590351173,2418,2418
1590352754,2411,2411
1590354195,2447,2447
1590356068,2410,2410
1590357199,2429,2429
1590358385,2394,2394
1590359671,2389,2389
1590361193,2396,2396
1590363267,2388,2388
1590364756,2399,2399
1590366332,2396,2396
1590366873,2387,2387
1590368997,2424,2424
1590370472,2413,2413
1590372777,2427,2427
1590374073,2417,2417
1590376470,2416,2416
1590377673,2416,2416
1590379155,2455,2455
1590380742,2490,2490
1590381266,2481,2481
1590383694,2437,2437
1590384876,2430,2430
1590386442,2466,2466
1590387937,2458,2458
1590388481,2463,2463
1590390910,2408,2408
1590393285,2455,2455
1590395149,2482,2482
1590395718,2462,2462
1590397027,2482,2482
1590398255,2450,2450
1590399281,2478,2478
1590400648,2508,2508
1590402038,2492,2492
1590403266,2475,2475
1590404626,2489,2489
1590405796,2499,2499
1590407136,2463,2463
1590408274,2473,2473
1590410082,2459,2459
1590412714,2460,2460
1590413676,2448,2448
1590416565,2453,2453
1590417277,2445,2445
1590419612,2487,2487
1590421837,2520,2520
1590424471,2520,2520
1590425674,2566,2566
1590427239,2557,2557
1590428906,2581,2581
1590430461,2560,2560
1590431670,2575,2575
1590434497,2594,2594
1590435274,2587,2587
1590436493,2614,2614
1590438338,2600,2600
1590438877,2577,2577
1590440546,2572,2572
1590441736,2571,2571
1590443437,2591,2591
1590446068,2531,2531
1590448371,2520,2520
1590449677,2534,2534
1590450949,2573,2573
1590452737,2566,2566
1590456214,2551,2551
1590457676,2585,2585
1590459936,2553,2553
1590461437,2630,2630
1590462728,2608,2608
1590464620,2597,2597
1590466961,2640,2640
1590467672,2614,2614
1590469602,2567,2567
1590471287,2586,2586
1590474104,2644,2644
1590475319,2607,2607
1590477856,2570,2570
1590478504,2562,2562
1590482079,2570,2570
1590483285,2621,2621
1590484741,2621,2621
1590485675,2594,2594
1590488240,2561,2561
1590489271,2540,2540
1590490519,2569,2569
1590491838,2499,2499
1590492879,2491,2491
1590494631,2509,2509
1590495944,2508,2508
1590497442,2505,2505
1590500080,2555,2555
1590501430,2578,2578
1590503133,2562,2562
1590503677,2560,2560
1590506734,2578,2578
1590509811,2631,2631
1590511828,2674,2674
1590513086,2665,2665
1590514222,2649,2649
1590515432,2691,2691
1590517234,2658,2658
1590518068,2623,2623
1590520499,2656,2656
1590521669,2655,2655
1590524074,2662,2662
1590525194,2659,2659
1590527019,2660,2660
1590528192,2653,2653
1590529663,2656,2656
1590532469,2597,2597
1590535536,2595,2595
1590536715,2608,2608
1590538661,2550,2550
1590540634,2534,2534
1590541962,2524,2524
1590543272,2524,2524
1590546328,2513,2513
1590549928,2471,2471
1590551440,2433,2433
1590554076,2415,2415
1590557682,2359,2359
1590560238,2363,2363
1590564197,2365,2365
1590564880,2334,2334
1590567379,2306,2306
1590569443,2286,2286
1590570935,2260,2260
1590572078,2259,2259
1590573409,2274,2274
1590575676,2283,2283
1590576984,2305,2305
1590578411,2276,2276
1590579287,2266,2266
1590580434,2273,2273
1590581865,2253,2253
1590583476,2300,2300
1590584845,2276,2276
1590586354,2272,2272
1590587536,2297,2297
1590590070,2251,2251
1590592437,2209,2209
1590593671,2193,2193
1590595614,2146,2146
1590597270,2197,2197
1590600332,2227,2227
1590601837,2200,2200
1590603934,2191,2191
1590604469,2186,2186
1590608070,2170,2170
1590609460,2217,2217
1590611144,2196,2196
1590612648,2210,2210
1590615274,2184,2184
1590618346,2168,2168
1590619887,2159,2159
1590622469,2119,2119
1590623771,2135,2135
1590625536,2132,2132
1590627041,2153,2153
1590629089,2119,2119
1590630638,2161,2161
1590632740,2087,2087
1590633274,2085,2085
1590636873,2086,2086
1590638071,2105,2105
1590639940,2111,2111
1590640476,2080,2080
1590642275,2010,2010
1590643538,2012,2012
1590644696,2037,2037
1590646420,2036,2036
1590647683,2029,2029
1590649668,2001,2001
1590651311,1991,1991
1590654876,1927,1927
1590656086,1927,1927
1590657473,1926,1926
1590658482,1926,1926
1590659596,1934,1934
1590664765,1892,1892
1590665677,1895,1895
1590668548,1854,1854
1590669270,1853,1853
1590670518,1862,1862
1590671808,1838,1838
1590672879,1822,1822
1590674269,1847,1847
1590675533,1839,1839
1590677437,1819,1819
1590678916,1764,1764
1590680072,1760,1760
1590681537,1723,1723
1590683133,1727,1727
1590683675,1719,1719
1590685413,1665,1665
1590686747,1670,1670
1590688239,1673,1673
1590689776,1628,1628
1590690869,1626,1626
1590692729,1586,1586
1590694459,1575,1575
1590695599,1589,1589
1590697532,1563,1563
1590698071,1556,1556
1590699828,1553,1553
1590701670,1578,1578
1590705274,1583,1583
1590708341,1579,1579
1590708871,1587,1587
1590710725,1632,1632
1590712476,1636,1636
1590715144,1637,1637
1590716680,1682,1682
1590718308,1664,1664
1590720650,1708,1708
1590723271,1704,1704
1590724538,1719,1719
1590726227,1717,1717
1590726880,1713,1713
1590729941,1695,1695
1590731181,1717,1717
1590732561,1716,1716
1590734073,1703,1703
1590735477,1707,1707
1590737145,1697,1697
1590737683,1691,1691
1590739045,1739,1739
1590740557,1716,1716
1590742241,1734,1734
1590743442,1718,1718
1590744504,1722,1722
1590744877,1697,1697
1590747032,1705,1705
1590748472,1702,1702
1590749784,1720,1720
1590751121,1707,1707
1590752073,1704,1704
1590755147,1704,1704
1590755683,1703,1703
1590757710,1731,1731
1590759275,1741,1741
1590761214,1740,1740
1590762868,1736,1736
1590766470,1707,1707
1590769186,1699,1699
1590770629,1704,1704
1590772614,1737,1737
1590773668,1734,1734
1590775856,1758,1758
1590777269,1756,1756
1590779731,1726,1726
1590780871,1736,1736
1590782037,1733,1733
1590783199,1720,1720
1590785436,1731,1731
1590788068,1731,1731
1590789453,1741,1741
1590791166,1766,1766
1590791676,1756,1756
1590794605,1736,1736
1590795279,1706,1706
1590797320,1710,1710
1590799837,1742,1742
1590801424,1709,1709
1590802533,1731,1731
1590804446,1683,1683
1590806066,1707,1707
1590808262,1710,1710
1590809672,1692,1692
1590811401,1732,1732
1590813270,1728,1728
1590815866,1690,1690
1590816869,1683,1683
1590819925,1697,1697
1590821426,1702,1702
1590823527,1686,1686
1590824995,1699,1699
1590827664,1712,1712
1590829869,1737,1737
1590831265,1748,1748
1590832860,1737,1737
1590834863,1746,1746
1590837059,1739,1739
1590838465,1712,1712
1590841524,1708,1708
1590842571,1701,1701
1590845666,1667,1667
1590847697,1655,1655
1590849112,1653,1653
1590849264,1652,1652
1590850753,1646,1646
1590852329,1663,1663
1590853826,1668,1668
1590856465,1686,1686
1590857718,1681,1681
1590859333,1716,1716
1590861031,1753,1753
1590863667,1753,1753
1590866243,1753,1753
1590868307,1766,1766
1590870327,1770,1770
1590871825,1771,1771
1590873924,1770,1770
1590875427,1783,1783
1590877526,1772,1772
1590878703,1741,1741
1590881663,1708,1708
1590882458,1713,1713
1590884727,1719,1719
1590886231,1678,1678
1590888326,1679,1679
1590889833,1675,1675
1590892465,1669,1669
1590895419,1703,1703
1590896065,1705,1705
1590897189,1758,1758
1590899667,1782,1782
1590903264,1760,1760
1590904421,1785,1785
1590906332,1827,1827
1590906862,1832,1832
1590907715,1838,1838
1590909583,1811,1811
1590910469,1817,1817
1590912600,1804,1804
1590914065,1803,1803
1590916250,1803,1803
1590917662,1780,1780
1590920499,1811,1811
