DateTime,AddedIPs,RemovedIPs
1590203566,44,156
1590204843,37,153
1590207907,107,143
1590209255,39,176
1590210489,36,152
1590211797,28,166
1590213106,58,46
1590214373,41,124
1590215643,33,135
1590218376,142,220
1590219243,44,130
1590220655,116,75
1590222305,90,101
1590222849,16,113
1590223985,33,100
1590225166,29,128
1590226725,82,173
1590227915,55,153
1590230044,118,111
1590231222,67,45
1590232365,50,115
1590233927,78,156
1590235192,50,109
1590237243,88,119
1590238463,76,45
1590239565,73,83
1590240844,61,102
1590242175,64,28
1590243709,73,113
1590245162,89,127
1590246636,60,154
1590248043,49,88
1590249467,86,48
1590250592,148,56
1590251645,53,138
1590252911,70,66
1590254244,53,134
1590255243,45,140
1590256578,68,44
1590257787,59,151
1590259125,58,151
1590260395,118,179
1590262443,90,183
1590263989,84,137
1590266045,109,83
1590267327,73,44
1590268750,56,63
1590269644,67,80
1590271194,94,131
1590272703,62,7
1590274205,101,115
1590275565,74,61
1590276844,66,76
1590278395,94,88
1590279906,182,6
1590280442,30,79
1590281782,141,56
1590284044,231,138
1590285594,134,94
1590287643,83,89
1590289014,82,18
1590290125,40,73
1590291244,51,89
1590292794,92,65
1590294308,87,1
1590295806,67,92
1590297165,52,83
1590298444,43,73
1590299993,91,81
1590301504,55,3
1590303006,75,91
1590304121,35,65
1590305323,50,1
1590306704,95,86
1590307964,44,75
1590309524,77,64
1590310736,66,84
1590312306,56,3
1590312844,13,93
1590315545,189,65
1590316444,64,90
1590317973,99,79
1590319264,78,4
1590320043,46,72
1590321591,133,72
1590323103,59,5
1590323643,20,50
1590324908,61,20
1590326704,57,123
1590328206,72,103
1590329367,40,58
1590330592,95,72
1590331804,200,39
1590333167,267,62
1590334723,138,326
1590336042,281,498
1590337338,114,0
1590338044,59,360
1590339591,143,345
1590340855,88,16
1590341644,79,318
1590343194,177,450
1590344704,173,18
1590345244,79,344
1590346793,170,398
1590348303,186,43
1590348845,51,632
1590350394,161,412
1590351559,120,34
1590352724,89,263
1590354047,145,67
1590356045,275,80
1590357175,135,37
1590358364,100,69
1590359644,182,53
1590361188,0,23639
1590363243,23771,0
1590364720,109,88
1590366305,107,8
1590366845,39,61
1590368393,212,85
1590369905,109,6
1590370445,31,46
1590371995,131,65
1590374046,153,56
1590375591,312,78
1590377646,139,44
1590379129,86,54
1590380706,144,6
1590381244,29,50
1590382793,66,88
1590384305,72,3
1590384846,17,47
1590386394,96,84
1590387905,89,2
1590388445,47,65
1590389956,90,141
1590391508,75,16
1590393254,4948,90
1590395107,164,38
1590395646,34,61
1590396739,51,34
1590398188,69,60
1590399244,81,103
1590400607,105,33
1590401702,41,59
1590403187,80,81
1590404405,48,78
1590405762,68,2
1590407095,83,112
1590408216,67,73
1590410047,83,93
1590411595,87,87
1590412698,47,6
1590413648,35,93
1590415199,94,87
1590417246,100,75
1590418792,132,96
1590419952,71,15
1590421808,126,182
1590424445,175,127
1590425634,92,49
1590427214,80,51
1590428867,100,105
1590430428,77,104
1590431644,83,83
1590434453,136,99
1590435243,67,96
1590436469,199,28
1590438309,468,81
1590438846,43,88
1590440392,221,140
1590441708,165,53
1590443404,269,861
1590446045,362,643
1590447594,234,118
1590449645,403,430
1590450919,189,40
1590452706,302,163
1590454796,118,263
1590456189,64,7
1590457643,92,93
1590459908,92,73
1590461407,129,90
1590462694,113,78
1590463792,64,79
1590465007,160,22
1590466921,92,58
1590467644,37,72
1590469195,78,90
1590470680,60,5
1590471251,28,71
1590472795,119,90
1590474049,46,3
1590475270,37,99
1590476394,49,58
1590478469,87,62
1590479996,78,97
1590481509,70,10
1590482045,17,59
1590483257,80,26
1590484709,96,86
1590485645,49,119
1590487237,72,133
1590489245,95,106
1590490489,68,39
1590491804,54,130
1590492848,38,73
1590494398,78,89
1590495905,53,7
1590497405,80,91
1590500044,162,139
1590501399,88,42
1590503106,132,185
1590503645,32,123
1590505191,87,246
1590506707,74,5
1590508793,148,197
1590510303,79,7
1590511805,112,138
1590513060,65,66
1590514186,49,114
1590515405,108,80
1590517207,84,98
1590518043,29,139
1590519589,96,114
1590520963,58,6
1590521644,39,117
1590523196,106,138
1590524321,52,14
1590525504,69,189
1590526791,75,173
1590528168,59,11
1590529633,58,218
1590532444,121,201
1590533991,72,110
1590535506,59,7
1590536684,66,183
1590538634,74,129
1590540608,85,144
1590541936,50,95
1590543246,52,115
1590544794,84,413
1590546305,50,14
1590548389,182,223
1590549904,68,7
1590551408,59,170
1590554044,104,126
1590555595,74,95
1590557109,49,3
1590557645,20,103
1590559196,70,104
1590560706,66,6
1590562206,50,526
1590564116,57,4063
1590564844,26,143
1590567328,102,103
1590569406,92,174
1590570872,42,82
1590572045,41,78
1590573383,60,26
1590575104,95,57
1590575643,27,94
1590576742,49,26
1590578355,67,85
1590579244,38,85
1590580409,77,38
1590581830,67,87
1590583452,97,82
1590584816,76,79
1590586310,64,86
1590587415,59,35
1590590044,125,194
1590592412,117,150
1590593644,59,92
1590595256,87,152
1590596613,107,1
1590597244,44,81
1590598852,84,112
1590600304,69,1
1590601807,59,132
1590603906,128,72
1590604444,21,104
1590606051,73,159
1590607506,83,4
1590608043,34,138
1590609437,100,29
1590611106,94,120
1590612607,55,126
1590615247,116,213
1590616856,78,131
1590618290,49,1
1590619854,60,164
1590622444,112,275
1590623741,60,2
1590625505,108,112
1590627007,62,107
1590629067,73,78
1590630605,105,93
1590632706,75,171
1590633247,17,115
1590634859,79,217
1590636307,47,5
1590636844,18,89
1590638034,74,0
1590639904,81,96
1590640445,27,85
1590642060,69,145
1590643505,43,5
1590644652,64,75
1590646382,100,88
1590647645,48,83
1590649258,64,122
1590650705,71,1
1590651244,22,76
1590652851,102,126
1590654309,72,2
1590654845,21,111
1590656048,51,30
1590657430,58,61
1590658445,34,86
1590659558,55,0
1590663245,0,22726
1590664728,22591,0
1590665644,55,50
1590667184,72,152
1590669244,99,77
1590670479,48,34
1590671760,44,79
1590672847,69,128
1590674243,77,37
1590675488,89,80
1590677407,89,145
1590678860,68,111
1590680044,45,78
1590681482,75,55
1590683106,87,103
1590683648,32,72
1590685221,0,22339
1590686706,22362,0
1590688208,47,104
1590689730,55,101
1590690844,50,81
1590692448,82,136
1590693905,71,0
1590694444,19,107
1590695567,57,30
1590697508,81,97
1590698045,26,69
1590699654,63,91
1590700888,64,0
1590701644,38,70
1590703257,114,93
1590704706,65,0
1590705245,28,68
1590706852,72,104
1590708844,109,66
1590710438,0,22186
1590711905,22243,0
1590712444,27,65
1590714054,68,115
1590715506,112,0
1590716653,93,105
1590718283,75,77
1590720608,132,775
1590723245,124,534
1590724513,68,122
1590726203,84,271
1590726845,29,340
1590728451,70,378
1590729905,65,3
1590731147,54,436
1590732524,70,256
1590734044,72,88
1590735452,75,100
1590737105,74,365
1590737644,21,81
1590739006,108,27
1590740519,84,57
1590742208,94,71
1590743392,46,62
1590744471,48,2
1590744845,20,101
1590746998,132,91
1590748444,74,73
1590749740,100,26
1590751093,126,65
1590752045,82,80
1590755107,183,120
1590755644,26,88
1590757258,122,86
1590758611,75,0
1590759244,44,63
1590760851,91,78
1590762843,117,77
1590764460,94,95
1590765904,52,5
1590766445,19,108
1590767545,53,56
1590769164,66,51
1590770597,56,91
1590772562,106,44
1590773644,55,97
1590775834,128,77
1590777243,74,79
1590778848,89,114
1590780844,106,82
1590781995,64,30
1590783169,55,58
1590785406,136,110
1590788044,141,138
1590789426,73,26
1590791647,145,120
1590793244,66,85
1590794573,69,3
1590795244,32,105
1590796853,75,86
1590798306,99,9
1590799804,108,114
1590801388,71,85
1590802510,65,73
1590804059,64,99
1590805505,87,4
1590806044,27,63
1590807612,0,20018
1590809105,20070,0
1590809643,26,87
1590811254,103,85
1590812708,76,0
1590813245,22,47
1590814854,73,103
1590816163,45,1
1590816843,14,196
1590818460,67,93
1590819904,52,0
1590821405,60,124
1590823504,102,98
1590824977,69,108
1590827643,127,123
1590829246,98,109
1590830704,60,1
1590831244,17,17
1590832828,0,19889
1590834842,19916,0
1590836448,60,115
1590837865,49,0
1590838443,32,87
1590840044,71,66
1590841504,70,0
1590842553,45,104
1590843646,49,80
1590845643,86,92
1590847250,74,82
1590848705,63,5
1590849243,23,69
1590850717,68,93
1590852304,91,4
1590853804,62,138
1590856445,134,167
1590857697,58,28
1590859309,99,43
1590861007,119,104
1590863643,152,132
1590865246,72,96
1590866704,62,0
1590868277,79,106
1590870304,90,53
1590871803,82,119
1590873905,99,89
1590875404,78,109
1590877505,96,61
1590878680,58,134
1590881644,167,159
1590882439,37,44
1590884703,110,57
1590886206,58,176
1590887299,43,83
1590889803,149,121
1590892443,143,171
1590894054,113,96
1590895402,52,7
1590896044,28,87
1590897165,85,34
1590899643,126,122
1590901244,82,92
1590902705,47,0
1590903243,19,81
1590904402,44,39
1590906305,101,55
1590906843,23,85
1590907698,31,49
1590909544,62,93
1590910443,30,96
1590912051,49,90
1590913505,62,1
1590914044,21,73
1590915651,62,108
1590917103,34,0
1590917643,7,98
1590919247,92,197
