DateTime,AddedIPs,RemovedIPs
1590111259,30,13
1590113570,42,17
1590114864,32,6
1590116424,35,16
1590117924,34,5
1590118465,11,8
1590120769,57,17
1590122066,33,7
1590124369,23,13
1590125671,5,12
1590127974,12,19
1590129261,11,12
1590130721,20,17
1590132271,17,3
1590133756,13,14
1590134989,10,5
1590136211,3,8
1590137468,15,10
1590138771,16,4
1590140063,5,12
1590141646,8,15
1590143660,17,12
1590145242,11,58
1590146721,15,5
1590148223,11,23
1590149374,11,13
1590150495,10,2
1590151715,5,131
1590153185,16,25
1590154463,15,28
1590155842,12,16
1590157076,8,17
1590158058,5,25
1590159660,14,43
1590161124,11,4
1590161659,6,30
1590163259,14,43
1590164459,34,8
1590166168,143,60
1590167580,14,23
1590169146,8,39
1590170446,13,31
1590171923,8,3
1590172463,6,36
1590173911,11,39
1590175523,9,5
1590177023,10,49
1590178381,104,19
1590179665,26,26
1590181249,16,50
1590182722,13,1
1590183261,4,34
1590185566,23,39
1590186860,13,31
1590189166,16,34
1590190459,8,34
1590193526,14,47
1590194062,4,35
1590196367,11,48
1590197661,9,29
1590199252,6,38
1590200724,9,1
1590202231,8,48
1590203584,10,25
1590204865,5,43
1590206456,9,36
1590207926,11,4
1590209275,10,9
1590210506,0,5
1590211828,4,62
1590213122,7,16
1590214394,13,14
1590215662,14,21
1590218403,14,23
1590219260,9,21
1590220669,7,19
1590222323,13,20
1590222863,6,18
1590224002,7,10
1590225182,10,19
1590226742,11,30
1590227930,12,35
1590230063,32,36
1590231241,23,18
1590232379,27,43
1590233943,28,57
1590235256,30,32
1590237262,40,34
1590238477,28,21
1590239600,22,20
1590240864,22,39
1590242190,22,13
1590243720,33,31
1590245193,25,50
1590246651,35,26
1590248062,29,28
1590249482,34,16
1590250610,25,27
1590251663,20,35
1590252925,31,34
1590254256,33,65
1590255262,22,30
1590256594,22,12
1590257803,33,22
1590259137,27,29
1590260460,30,34
1590262461,45,36
1590264057,33,40
1590266067,44,29
1590267343,25,14
1590268768,28,25
1590269662,23,36
1590271968,43,30
1590273529,31,31
1590274805,28,31
1590276308,33,6
1590276859,11,32
1590278458,33,47
1590279925,39,2
1590280460,11,35
1590281797,27,19
1590284063,41,47
1590285994,34,40
1590287662,32,35
1590289037,30,14
1590290155,21,22
1590291266,24,35
1590293567,51,30
1590295127,32,5
1590296274,24,2
1590298458,9,16
1590300061,7,28
1590301522,15,12
1590303030,10,29
1590304137,17,6
1590305338,16,2
1590306719,10,16
1590307977,15,11
1590309535,17,21
1590310755,22,7
1590312322,21,5
1590312862,2,13
1590315562,31,23
1590316462,17,13
1590318002,23,18
1590319278,26,3
1590320061,14,7
1590321646,30,14
1590323124,21,5
1590323659,10,15
1590324926,23,13
1590326724,33,16
1590328224,21,20
1590329381,23,7
1590330613,22,16
1590331826,23,10
1590333182,24,11
1590334740,37,133
1590338060,74,68
1590339651,30,29
1590340872,31,1
1590341661,19,9
1590343256,33,21
1590344720,31,5
1590345260,9,10
1590346849,31,13
1590348322,34,5
1590348860,14,120
1590351167,53,18
1590352740,32,8
1590354051,27,18
1590356062,39,25
1590357193,24,12
1590358380,29,5
1590359665,104,10
1590363261,69,28
1590364746,27,20
1590366325,35,5
1590366866,16,7
1590368992,37,13
1590370465,28,7
1590372770,43,23
1590374065,36,6
1590375660,29,18
1590377668,49,7
1590379146,27,14
1590380735,44,3
1590381261,9,3
1590383687,33,15
1590384868,11,14
1590386416,15,34
1590387929,23,4
1590388474,9,11
1590389994,20,13
1590391529,20,6
1590393276,24,33
1590395134,30,9
1590395695,11,17
1590397012,22,16
1590398235,23,17
1590399269,16,27
1590400633,24,22
1590402030,21,25
1590403251,21,41
1590404592,14,27
1590405789,24,6
1590407125,37,39
1590408256,20,33
1590410072,34,31
1590412703,48,40
1590413668,18,38
1590416546,47,46
1590417269,17,28
1590418851,27,42
1590419970,25,4
1590421828,25,53
1590424465,56,54
1590425661,17,28
1590427232,31,24
1590428892,33,65
1590430446,28,26
1590431664,26,39
1590434480,53,44
1590435266,11,30
1590436486,60,11
1590438332,97,62
1590438870,11,30
1590440454,40,42
1590441723,33,5
1590443426,36,51
1590447659,95,98
1590449670,39,39
1590450941,27,27
1590452729,37,27
1590456208,67,80
1590457669,29,46
1590459929,45,27
1590461427,33,49
1590462715,55,19
1590464612,96,42
1590466948,72,34
1590467664,18,3
1590469595,44,6
1590474086,48,51
1590475305,16,20
1590477841,27,11
1590478492,16,14
1590482071,47,56
1590483278,15,19
1590484730,23,14
1590485666,11,18
1590488227,36,38
1590489265,33,21
1590490512,21,20
1590491824,27,24
1590492870,19,19
1590494605,32,46
1590495936,14,3
1590497431,25,32
1590500070,47,56
