DateTime,AddedIPs,RemovedIPs
1589906409,55,63
1589908333,47,53
1589910264,50,49
1589912177,57,51
1589914086,48,61
1589917931,55,42
1589919865,44,57
1589921765,54,45
1589923691,46,54
1589925622,58,45
1589927537,73,59
1589931608,55,70
1589933550,51,57
1589935448,33,52
1589937376,66,35
1589939537,54,61
1589941455,62,54
1589943369,54,62
1589945289,55,51
1589947248,57,59
1589949139,66,54
1589951062,59,66
1589952970,70,64
1589954909,56,70
1589956808,55,51
1589958726,66,59
1589960663,59,67
1589962568,33,60
1589964490,59,34
1589966416,62,56
1589968328,69,65
1589970257,60,65
1589972460,62,61
1589974598,75,62
1589977003,68,75
1589979387,71,69
1589981319,64,72
1589983460,56,61
1589985399,24,60
1589987323,33,23
1589989949,27,33
1589992106,36,28
1589994511,60,36
1589996429,51,59
1589998596,64,51
1590000504,58,63
1590002757,62,56
1590004589,60,64
1590006750,62,58
1590008658,62,61
1590010572,48,58
1590012498,46,52
1590016575,49,49
1590018489,54,50
1590020418,46,52
1590022332,46,46
1590024250,44,47
1590026178,57,44
1590028093,55,54
1590030070,62,54
1590032007,57,62
1590034101,67,57
1590036264,67,66
1590038171,53,72
1590040108,50,51
1590042030,56,51
1590043929,57,55
1590046103,54,59
1590049934,42,54
1590051864,44,40
1590054016,52,42
1590055945,54,52
1590057853,69,58
1590060025,51,72
1590061932,65,49
1590063849,55,65
1590065784,55,55
1590067686,53,54
1590069612,52,53
1590071542,60,51
1590073470,67,63
1590075388,47,64
1590077298,60,47
1590079208,52,58
1590081142,51,53
1590083053,54,54
1590085213,57,47
1590087372,59,62
1590089288,42,62
1590091214,64,40
1590095053,56,61
1590096985,54,56
1590098902,62,53
1590100807,52,63
1590102749,62,53
1590104664,61,61
1590106572,60,62
1590108498,52,60
1590110414,61,55
1590112331,62,58
1590114262,61,61
1590116167,67,64
1590118089,66,62
1590120023,61,66
1590122001,66,63
1590123865,65,64
1590125773,58,68
1590127698,48,56
1590129619,57,51
1590131529,60,60
1590133694,51,58
1590135621,51,49
1590137529,69,53
1590139450,49,68
1590141376,50,48
1590143298,63,51
1590145214,59,63
1590147147,56,59
1590149053,68,58
1590150983,61,62
1590152896,64,60
1590154812,58,68
1590156745,18,61
1590158650,31,20
1590160568,31,30
1590162500,13,31
1590166331,69,12
1590168255,52,71
1590170170,53,49
1590172101,42,54
1590174017,70,42
1590175938,70,69
1590178108,72,69
1590180011,60,72
1590181931,47,58
1590183864,44,46
1590185766,62,47
1590187698,55,60
1590189611,66,58
1590191535,71,66
1590193461,57,69
1590195368,61,61
1590197288,63,58
1590199223,71,64
1590201140,62,69
1590203299,69,61
1590205208,66,69
1590207137,58,67
1590209051,61,59
1590211219,67,62
1590213133,68,65
1590215063,60,70
1590216974,66,60
1590218892,61,66
1590220839,68,63
1590222741,56,68
1590224655,73,55
1590226584,63,72
1590228524,59,60
1590230429,60,61
1590232338,39,62
1590234261,56,38
1590236190,52,55
1590238336,57,52
1590240255,51,60
1590242174,50,49
1590244103,27,50
1590246021,18,27
1590247951,25,19
1590250113,42,22
1590252011,55,42
1590253936,45,53
1590255862,51,48
1590257773,66,53
1590259694,59,61
1590261622,55,59
1590263532,59,59
1590265451,61,60
1590267378,60,60
1590269305,60,62
1590271274,59,56
1590273148,65,61
1590275309,65,66
1590277211,74,64
1590279133,62,71
1590281051,63,62
1590282966,66,68
1590284896,56,65
1590286811,55,56
1590288736,61,54
1590290654,60,57
1590292585,71,61
1590294500,60,73
1590296421,63,62
1590298588,60,60
1590300497,62,61
1590302409,66,62
1590304350,55,67
1590306252,46,56
1590308170,22,45
