DateTime,AddedIPs,RemovedIPs
1589096883,33,36
1589100722,36,39
1589104564,31,32
1589108410,35,37
1589112243,62,52
1589118002,31,39
1589121842,41,24
1589125922,31,35
1589130006,40,33
1589134082,32,37
1589136003,39,40
1589139842,28,41
1589145602,27,38
1589149442,58,65
1589155204,51,33
1589159282,34,48
1589161442,46,57
1589165282,72,56
1589171043,67,75
1589172962,37,47
1589176804,52,43
1589180642,33,36
1589182562,40,31
1589186641,30,46
1589190482,46,30
1589192402,69,67
1589196242,36,45
1589202005,35,32
1589204008,34,25
1589205842,37,41
1589211602,34,26
1589215682,29,42
1589219523,32,39
1589223362,27,33
1589227204,27,38
1589229122,9,4219
1589231284,4204,0
1589233202,26,44
1589237042,42,34
1589238964,57,26
1589244722,32,37
1589248562,45,53
1589252402,55,53
1589254323,71,80
1589258402,51,53
1589262243,44,39
1589266082,38,37
1589269922,29,28
1589273763,29,35
1589277609,31,21
1589279523,35,24
1589285522,25,27
1589287443,29,27
1589289362,27,29
1589291283,41,53
1589295121,31,44
1589298962,46,30
1589302804,30,34
1589306882,26,29
1589308802,24,38
1589312643,41,39
1589316722,31,43
1589322962,51,61
1589326802,50,37
1589330642,30,40
1589334482,49,36
1589338322,52,57
1589342163,79,73
1589346002,48,48
1589347922,48,1228
1589349842,1196,0
1589351763,25,33
1589355603,26,30
1589359442,32,39
1589363521,30,23
1589367362,28,28
1589369282,32,32
1589373123,21,37
1589381042,49,46
1589384882,30,32
1589388722,26,36
1589392562,33,23
1589396404,34,30
1589398322,27,1537
1589400482,1502,0
1589402402,32,38
1589406482,34,35
1589410321,39,32
1589414163,46,24
1589418004,29,36
1589419923,33,2201
1589422082,2191,0
1589424002,47,61
1589430003,64,64
1589431922,40,53
1589435762,47,34
1589439604,28,32
1589441522,24,31
1589443682,30,39
1589449442,29,24
1589451362,24,26
1589457122,27,24
1589460962,32,41
1589464804,42,37
1589468642,53,45
1589474402,34,34
1589478482,27,28
1589480402,23,33
1589486162,28,33
1589490010,29,28
1589491922,28,28
1589496242,33,22
1589500322,46,36
1589504163,29,36
1589509922,95,93
1589513762,62,55
1589515682,44,53
1589521442,41,49
1589525283,34,33
1589529122,1,5
1589531042,35,33
1589532962,35,27
1589536804,24,27
1589538722,29,31
1589542802,32,27
1589546642,41,24
1589550723,20,35
1589554562,31,32
1589556779,22,1026
1589558642,992,0
1589560562,35,29
1589564402,25,33
1589566562,20,25
1589572322,27,32
1589576161,36,27
1589580010,27,22
1589584083,32,54
1589586003,46,31
1589589842,25,32
1589593683,46,37
1589599442,52,65
1589601363,54,57
1589605213,42,47
1589607168,47,36
1589612882,35,48
1589618882,29,23
1589622722,22,28
1589628722,29,22
1589630641,22,24
1589632563,26,16
1589636404,21,29
1589638322,28,18
1589644083,25,25
1589647923,18,50
1589651763,38,29
1589655841,20,34
1589658482,25,24
1589662562,22,42
1589666407,31,26
1589668409,39,32
1589672642,46,37
1589678643,32,28
1589680562,51,32
1589684642,43,53
1589686562,64,68
1589688482,46,52
1589692322,40,33
1589696162,36,24
1589702162,23,37
1589706003,29,40
1589707921,30,27
1589711762,26,20
1589715602,34,30
1589719682,20,37
1589723521,29,31
1589727362,32,27
1589731442,47,31
1589735282,24,29
1589737203,27,33
1589741043,29,30
1589744883,24,54
1589748722,35,32
1589750641,23,36
1589756403,28,33
1589758322,54,32
1589762161,28,28
1589764082,57,41
1589767922,37,56
1589773682,65,73
1589775602,51,44
1589783281,47,47
1589785203,25,34
1589787122,29,26
1589790962,40,28
1589793122,23,24
1589795043,57,71
1589797202,71,57
1589799122,31,24
1589802962,28,34
1589808722,28,1413
1589810642,1385,0
1589812562,28,34
1589816402,39,27
1589820243,30,30
1589824082,27,36
1589827921,26,27
1589833681,23,34
1589835604,26,21
1589837522,32,29
1589841362,26,34
1589845202,51,25
1589849042,26,33
1589852882,48,37
1589856722,49,62
1589860562,61,66
