DateTime,AddedIPs,RemovedIPs
1590082223,1,0
1590084319,1,0
1590085222,1,0
1590087022,22,0
1590087623,52,0
1590088524,1,0
1590089719,2,0
1590090620,1,0
1590091521,3,0
1590093320,1,0
1590093621,1,0
1590094822,1,0
1590095723,1,0
1590098720,2,0
1590100519,1,0
1590100820,11,0
1590101421,1,0
1590105319,1,0
1590106221,12,0
1590108020,1,0
1590113421,0,1
1590114321,2,0
1590117620,1,0
1590120621,1,0
1590123619,0,1
1590129621,1,0
1590132918,1,0
1590135319,13,0
1590143124,1,0
1590143720,1,0
1590144621,1,0
1590144922,1,0
1590145820,1,0
1590146421,1,0
1590148220,1,0
1590149419,1,0
1590149719,3,0
1590153321,1,0
1590154220,1,0
1590156021,1,0
1590156621,2,0
1590157520,1,0
1590160219,1,0
1590163524,1,0
1590163819,12,0
1590168322,1,0
1590169221,1,0
1590176420,0,1
1590177023,1,0
1590178220,1,0
1590179720,0,1
1590181820,4,0
1590192620,15,0
1590202221,1,0
1590207919,0,1
1590216618,1,0
1590221421,10,0
1590221722,1,0
1590227720,2,0
1590229824,1,0
1590231020,1,0
1590231623,1,0
1590231920,1,0
1590234022,1,0
1590235520,1,0
1590237921,1,0
1590239420,1,0
1590244220,1,0
1590248421,1,0
1590250520,15,0
1590250821,1,0
1590252022,1,0
1590252323,1,0
1590256823,0,1
1590258920,1,0
1590264320,1,0
1590275421,0,1
1590276918,1,0
1590279019,13,0
1590281119,4,0
1590285920,1,0
1590289220,1,0
1590290419,1,0
1590300622,3,0
1590300919,13,0
1590301220,1,0
1590307820,9,0
1590330621,3,0
1590334519,1,0
1590334819,1,0
1590336620,6,0
1590339922,1,0
1590341722,1,0
1590342619,1,0
1590342921,1,0
1590347419,1,0
1590356723,1,0
1590362120,0,1
1590365420,12,0
1590366621,1,0
1590372618,0,1
1590377120,0,1
1590386422,8,0
1590392420,3,0
1590394219,18,0
1590409822,1,0
1590411925,1,0
1590414021,0,1
1590423020,7,0
1590429623,0,1
1590451820,19,0
1590480919,6,0
1590501922,0,1
1590509421,9,0
1590520522,1,0
1590523223,0,1
1590525620,1,0
1590526519,5,0
1590527119,1,0
1590528021,1,0
1590528622,1,0
1590528918,1,0
1590529820,2,0
1590530422,1,0
1590530721,1,0
1590531622,1,0
1590531923,1,0
1590533123,1,0
1590534021,3,0
1590534323,1,0
1590538219,13,0
1590540322,0,1
1590557421,0,1
1590561920,1,0
1590562519,2,0
1590562821,1,0
1590563120,1,0
1590563419,2,0
1590567322,16,0
1590568518,1,0
1590571219,1,0
1590574820,1,0
1590578121,1,0
1590591020,1,0
1590591622,2,0
1590592523,1,0
1590592823,1,0
1590593123,1,0
1590594622,1,0
1590595821,3,0
1590596723,1,0
1590597023,1,0
1590597319,1,0
1590601220,1,0
1590605126,1,1
1590606025,1,0
1590616520,1,0
1590616823,1,0
1590617723,2,0
1590618620,3,0
1590618919,1,0
1590619221,1,0
1590619522,15,0
1590620119,1,0
1590624620,10,0
1590646521,0,1
1590646820,1,0
1590651622,1,0
1590651921,3,0
1590652223,1,0
1590652822,1,0
1590653122,2,0
1590653721,11,0
1590654023,1,0
1590654319,1,0
1590654921,1,0
1590655524,2,0
1590656422,1,0
1590658823,1,0
1590659421,1,0
1590661222,1,0
1590662723,1,0
1590663623,1,0
1590663921,1,0
1590665122,2,0
1590666022,2,4
1590666920,2,0
1590667521,2,0
1590667824,2,0
1590669027,1,0
1590673524,1,0
1590673823,1,0
1590674724,0,1
1590676521,2,0
1590676822,1,0
1590677125,2,0
1590677420,3,0
1590678025,278,0
1590678620,3,0
1590679522,2,0
1590680422,1,0
1590681321,2,0
1590681925,876,0
1590682222,7,0
1590683423,19,0
1590684921,1,0
1590685526,1,0
1590686421,2,0
1590687024,2,1
1590687621,2,0
1590688520,1,0
1590689123,1,0
1590689720,2,0
1590690021,23,0
1590691223,2,0
1590692120,2,0
1590693622,1,0
1590693920,1,0
1590694225,1,0
1590694824,1,0
1590695423,1,0
1590695725,1,0
1590696025,1,0
1590696324,1,0
1590697222,1,0
1590697825,1,0
1590698721,1,0
1590699622,1,0
1590700521,1,0
1590701424,2,0
1590701718,2,0
1590702620,1,0
1590702921,5,0
1590705623,2,0
1590706520,2,0
1590707419,1,0
1590708623,2,0
1590709524,4,0
1590709821,2,0
1590710121,3,0
1590711020,11,0
1590711321,1,0
