DateTime,AddedIPs,RemovedIPs
1590149701,411,0
1590150983,28,17
1590152896,20,17
1590154812,21,7
1590156745,5,17
1590156901,288,0
1590158650,7,24
1590160568,11,31
1590162500,5,23
1590166331,139,54
1590168255,13,11
1590170170,738,12
1590172101,12,19
1590174017,39,27
1590175938,322,12
1590178108,41,27
1590179401,121,0
1590180011,29,0
1590181931,17,17
1590183001,138,0
1590183864,14,23
1590185766,24,26
1590187698,15,17
1590189611,27,18
1590190201,235,0
1590191535,39,19
1590192007,36,34
1590193469,800,864
1590195368,29,15
1590197288,17,14
1590197401,204,3596
1590199223,41,24
1590201140,42,23
1590201607,76,82
1590203299,33,24
1590205208,294,13
1590207137,24,20
1590209051,22,22
1590209287,17,39
1590211219,31,32
1590213133,186,19
1590215063,18,12
1590216302,260,0
1590216974,26,19
1590218892,21,20
1590220839,39,15
1590222741,29,18
1590223502,245,0
1590224655,39,25
1590226584,27,17
1590227101,113,0
1590228524,29,17
1590230429,36,16
1590232338,19,18
1590234261,14,27
1590234301,276,0
1590236190,20,23
1590238336,29,28
1590240255,15,20
1590242174,164,16
1590244103,167,4
1590246021,3,8
1590247951,5,11
1590250113,186,4
1590252011,25,0
1590252302,240,0
1590253936,15,31
1590255862,14,9
1590257773,26,23
1590259694,18,8
1590261622,152,37
1590263532,31,33
1590264001,327,0
1590265451,16,38
1590267378,29,28
1590267602,125,0
1590269305,8,18
1590271274,16,9
1590273148,173,27
1590275309,135,11
1590276965,35,0
1590277211,38,24
1590278401,125,4000
1590279133,23,40
1590281051,28,16
1590282001,128,0
1590282966,33,30
1590284904,798,784
1590285601,153,0
1590286332,41,0
1590286811,22,39
1590288736,26,35
1590290171,36,73
1590290654,24,34
1590292585,33,30
1590292801,250,0
1590294010,12,0
1590294500,25,22
1590296421,18,20
1590298588,27,30
1590300497,26,28
1590302409,283,18
1590304350,140,27
1590306252,20,22
1590308170,7,34
1590310098,6,27
1590310801,237,0
1590312009,14,38
1590313935,21,22
1590315861,13,30
1590317767,29,37
1590318902,302,0
1590319688,12,10
1590321624,18,13
1590322501,131,0
1590323541,25,22
1590325453,28,30
1590327381,17,17
1590329298,16,20
1590329702,245,0
1590331211,3,7
1590333386,10,3
1590335289,3,5
1590337213,265,17
1590339143,19,20
1590341054,24,15
1590342969,18,12
1590344101,226,0
1590344886,12,21
1590348833,31,36
1590350907,26,29
1590351301,209,0
1590353053,23,15
1590355213,13,21
1590357133,21,5
1590359059,128,14
1590359402,107,0
1590360970,19,25
1590361927,41,37
1590362889,13,26
1590363002,72,0
1590364824,22,33
1590366741,94,3255
1590368652,24,24
1590370882,32,34
1590371294,34,41
1590372749,24,20
1590373801,214,0
1590374659,20,21
1590375135,36,0
1590376753,18,22
1590377353,777,758
1590377401,139,0
1590378742,23,19
1590380664,24,34
1590382579,19,22
1590382806,6,19
1590384498,16,17
1590384602,210,0
1590386425,18,25
1590389286,17,54
1590391217,14,17
1590391802,248,0
1590393127,17,17
1590395048,8,5
1590396979,10,9
1590398891,9,14
1590400813,167,17
1590402738,24,14
1590403501,278,0
1590404657,15,25
1590408497,20,29
1590410409,29,27
1590410702,243,0
1590412330,26,26
1590414255,12,21
1590416409,6,14
1590418339,248,3
1590420248,7,10
1590422168,14,4
1590424099,18,24
1590426011,129,18
1590427931,29,18
1590428702,270,0
1590429859,30,16
1590431777,23,16
1590433688,23,0
1590435618,13,25
1590436802,256,0
1590437527,12,33
1590439462,25,22
1590440402,90,0
1590441369,25,0
1590443286,24,12
1590444001,123,0
1590445217,26,14
1590447131,26,8
1590449302,23,31
1590450964,35,72
1590451210,18,0
1590453130,215,3112
1590455306,152,34
1590457210,23,0
1590458401,122,0
1590459127,20,24
1590460330,75,114
1590461059,17,23
1590462968,29,19
1590464890,16,17
1590466820,208,26
1590468011,9,0
1590468490,839,785
1590468732,18,26
1590470648,18,17
1590471902,199,0
1590472577,16,14
1590474486,21,14
1590474602,71,0
1590476419,14,14
1590478430,28,10
1590480517,22,17
1590482417,112,6
1590484332,18,9
1590486260,165,9
1590486302,190,0
1590488420,19,13
1590490334,132,22
1590492252,18,16
1590493501,121,0
1590494179,18,0
1590496086,19,17
1590497101,258,0
1590498024,15,26
1590499941,18,22
1590501854,20,10
1590503771,4,6
1590504302,1125,0
1590505718,24,2
1590507609,34,5
1590509531,33,12
1590511464,17,15
1590511501,259,0
1590513369,21,22
1590515290,12,23
1590517220,27,29
1590519132,147,17
1590521052,11,19
1590522978,19,12
1590523201,261,0
1590524891,7,10
1590527058,137,17
1590528985,25,19
1590530402,125,0
1590531153,20,21
