DateTime,AddedIPs,RemovedIPs
1589648691,0,4
1589650211,0,255
1589652241,6635,6637
1589655603,48,47
1589657410,255,0
1589658403,2,3
1589659442,54,49
1589663041,7054,7055
1589667363,80,79
1589669126,2,5
1589673841,7315,7318
1589680083,46,50
1589683923,166,867
1589684641,7604,7773
1589687763,843,140
1589690663,1,5
1589692273,0,1
1589695442,0,1
1589697085,3531,3459
1589701249,1,8
1589706294,4464,4415
1589707202,496,495
1589711043,324,322
1589711992,4,4
1589714882,387,615
1589717094,5554,5523
1589722563,324,579
1589722937,1,8
1589727841,6343,6314
1589732407,49,48
1589733738,3,3
1589734323,190,189
1589738178,0,9
1589738688,6853,6872
1589742003,217,213
1589744232,3,4
1589749441,7190,7168
1589753762,95,91
1589755145,4,5
1589757603,121,120
1589760241,7471,7470
1589761442,86,86
1589764746,255,0
1589766062,4,3
1589769123,897,883
1589771172,7742,7902
1589772963,98,813
1589776802,813,98
1589777000,3,2
1589780166,0,2
1589780643,762,750
1589781841,2814,2755
1589788039,1,2
1589792162,431,439
1589793072,4757,4711
1589798934,3,3
1589800880,50,150
1589803215,1,1
1589803441,5860,5820
1589807088,271,512
1589808003,313,312
1589809844,1,1
1589814289,6583,6561
1589814981,1243,0
1589820253,65,54
1589820952,9,2
1589821487,0,12
1589823362,315,346
1589825170,7055,7038
1589827204,107,100
1589831042,100,107
1589831503,3,2
1589834892,1,0
1589835841,7342,7355
1589838722,142,132
1589842133,3,4
1589845511,0,256
1589846689,7637,7629
1589853072,5,2
1589854323,872,865
1589857441,7961,8175
1589864170,1,0
1589864691,0,2
1589865843,705,687
1589868241,2970,2913
1589874933,2,3
1589877363,404,410
1589879090,3285,3246
1589885969,4,2
1589886022,106,86
1589888882,306,291
1589889841,4278,4261
1589890812,1,1
1589893691,13,0
1589896962,4,4
1589897712,1246,256
1589900402,192,199
1589900641,5067,5052
1589907675,0,12
1589908330,41,48
1589911445,5684,5661
1589912163,131,142
1589918448,1,18
1589922290,6021,6008
1589927523,149,158
1589929310,5,8
1589933091,6357,6345
1589934488,1,0
1589939042,123,121
1589940699,2,5
1589942882,869,863
1589943961,6719,6932
1589951083,0,3
1589951679,0,6
1589954641,2847,2792
1589958483,698,686
1589962752,5,9
1589965441,2897,2852
1589966163,382,397
1589972700,38,58
1589974336,1,12
1589976299,4031,4016
1589979883,12,0
1589982026,55,45
1589982963,289,368
1589985251,4,7
1589987283,4868,5093
1589987712,0,762
1589991313,250,0
1589995683,0,18
1589996095,1,4
1589997893,5180,5175
1589999765,41,49
1590007046,4,11
1590008770,5587,5559
1590012290,1,0
1590016083,2,2
1590017842,2,7
1590019492,5880,5880
1590019922,2,2
1590027603,874,525
1590028682,2,2
1590030241,6229,6395
1590037484,0,1
1590039480,1,3
1590041097,2503,2436
1590042962,607,626
1590050283,3,3
1590050882,297,289
1590051976,2339,2313
1590054723,289,293
1590058563,293,289
1590058821,45,75
1590061099,1,1
1590062403,275,257
1590062641,3466,3436
1590062705,1,0
1590066484,272,274
1590070322,274,256
1590071047,64,60
1590072121,3,2
1590073490,4233,4214
1590081663,0,50
1590082547,0,1
1590084286,4876,4867
1590085922,135,136
1590093603,95,95
1590095041,5303,5290
1590104399,2,3
1590104703,0,256
1590105123,207,215
1590105841,5626,5637
1590109455,2,3
1590116158,1,1
1590116643,880,865
1590116690,5947,6070
1590123956,0,9
1590125628,0,1
1590127494,2545,2473
1590128162,625,619
1590135842,266,269
1590136343,1,10
1590138287,2463,2433
1590139682,268,263
1590143763,263,268
1590145491,50,260
1590147342,3,5
1590147602,250,248
1590149090,3478,3457
1590153137,3,8
1590158895,43,48
1590159122,149,143
1590159841,4373,4355
1590162963,143,149
1590166810,149,143
1590167085,1,0
1590167673,3,24
1590170641,4969,4976
1590174483,160,162
1590178708,17,3
1590181485,5417,5418
1590182403,105,115
1590183013,0,256
1590189731,0,2
1590192295,5784,5771
1590193923,84,92
1590200146,11,6
1590203041,6054,6194
1590205443,852,862
1590210361,1,9
1590210946,1,1
1590220802,425,442
1590221864,3,0
1590228482,406,381
1590232782,72,148
1590235441,3533,3468
1590236172,379,405
1590240242,526,487
1590240612,508,768
1590242701,1,0
1590243691,4,0
1590246287,3516,3482
1590246968,41,39
1590249887,4,0
1590251763,155,156
1590253940,0,23
1590257165,5054,5036
1590265104,3,1
1590267123,113,115
1590267887,5445,5433
1590269411,254,0
1590271488,1,0
1590274802,104,114
1590276252,3,3
1590278688,5764,5739
1590282482,864,845
1590285075,3,7
1590286323,846,864
1590289441,5999,6168
1590290162,864,850
1590294002,684,682
1590296062,1,2
1590296689,0,5
1590297842,682,684
1590300241,2537,2492
1590301683,686,682
1590303890,1,0
1590307200,3,1
1590311090,2710,2672
1590313202,395,412
1590314703,2,0
1590317042,138,148
1590318229,2,5
1590320179,49,58
1590321891,3727,3707
1590324722,341,335
1590328562,229,214
1590329090,7,2
1590332641,4417,4393
1590334817,37,39
1590340083,182,189
1590341466,0,7
1590343441,4876,4873
1590347088,1,0
1590349462,1,1
1590351603,4,6
1590354241,5348,5330
1590357965,1,0
1590359523,430,436
1590361490,1,0
1590361864,1,4
1590363363,96,91
1590365041,5651,5642
1590372888,4,2
1590375123,0,2
1590375841,5952,6067
1590382803,854,841
1590383089,0,3
1590383507,3,3
1590386882,3144,3143
1590390723,716,691
1590394563,302,297
1590397441,2636,2618
1590404719,1,0
1590405060,45,38
1590405599,5,3
1590406083,294,297
1590408241,3751,3732
1590409922,492,499
1590411889,7,0
1590414002,65,65
1590415460,3,4
1590415847,1,0
1590416482,1,5
1590419041,4456,4448
1590421682,683,179
1590426294,0,13
1590427420,3,8
1590429608,283,286
1590429841,5013,4995
1590437308,1,0
1590438050,1,3
1590440689,5397,5405
1590444291,1,0
1590444962,76,74
1590449281,1,5
1590451492,5687,5684
1590452643,74,79
1590460324,25,35
1590462241,5957,6060
1590468003,857,830
1590469494,0,4
1590470539,3,3
1590473092,2487,2464
1590475923,325,333
1590479763,406,405
1590483604,29,37
1590483841,2640,2601
1590487443,284,274
1590491283,206,201
1590491951,48,59
1590494641,3616,3600
1590496211,253,256
1590498297,47,0
1590501890,3,0
1590502826,196,219
1590502980,3,3
1590505553,4296,4299
1590510491,111,116
1590512692,3,0
1590513660,0,18
1590513870,2,5
1590514323,109,115
1590516241,4908,4892
1590519896,1,0
1590523493,3,0
1590524773,2,6
1590525844,123,120
1590527090,5188,5195
1590534287,1,0
1590536758,3,4
1590537363,64,71
1590537889,5544,5533
1590545042,828,821
1590545394,1,4
1590548764,5829,5988
1590555892,2,9
1590556563,622,578
1590559496,2438,2400
1590563459,1,0
1590566697,5,0
1590570298,2640,2609
1590571923,286,271
1590575971,2,3
1590577874,48,67
1590579843,281,271
1590581041,3618,3596
1590581176,7,0
1590583700,0,1
1590584688,8,0
1590586991,1,2
1590587523,1,0
1590588292,1,0
1590590175,1,0
1590591610,0,1
1590591841,4334,4294
1590595444,163,173
1590597915,1,4
1590599176,0,14
1590602780,4426,4450
1590606962,155,134
1590608684,4,5
1590609892,4,0
1590613441,5199,5179
1590615903,250,0
1590617092,1,0
1590619283,0,2
1590622322,115,131
1590624241,5473,5450
1590627894,1,0
1590629860,3,1
1590633845,867,863
1590635092,5683,5825
1590640438,2,0
1590645897,2357,2322
1590649203,646,640
1590649495,1,0
1590650880,1,2
1590653093,1,0
1590656909,2497,2457
1590657362,297,281
1590660311,1,0
1590662799,1,1
1590663621,28,52
1590667580,3483,3465
1590668883,278,291
1590671093,8,0
1590673692,2,3
1590674693,1,0
1590676562,164,187
1590677568,1,0
1590678293,4193,4168
1590684380,3,1
1590685258,0,739
1590685495,0,20
1590686419,154,194
1590689041,4721,4707
1590691922,100,107
1590692694,1,0
1590696294,1,0
1590699894,5080,5080
1590703496,1,0
1590706274,0,3
1590710693,5465,5457
1590711363,228,243
1590716485,3,3
1590719043,804,827
1590721441,5607,5737
1590721497,1,0
1590727144,1,1
1590730340,0,770
1590732295,2338,2301
1590734404,593,568
1590735897,1,0
1590737897,11,2
1590739493,1,0
1590742084,255,233
1590743094,2262,2230
1590746780,1,0
1590748867,3,1
1590750303,41,60
1590753606,293,306
1590753841,3291,3307
1590753900,5,0
1590757683,307,274
1590758551,3,0
1590759610,47,52
1590759622,2,2
1590761522,275,307
1590764894,4020,4000
1590765362,188,207
1590769203,212,189
1590770512,2,4
1590773043,189,226
1590775441,4478,4455
1590776882,126,137
1590779090,1,256
1590781239,0,1
1590786291,4916,4907
1590789890,1,0
1590792242,146,154
1590797091,5246,5251
1590799923,108,113
1590800688,1,0
1590802111,1,1
1590804293,1,0
1590807606,5,8
1590807841,5494,5631
1590811489,4,0
1590812756,0,5
1590815090,1,0
1590815523,840,757
1590818641,2237,2206
1590822293,2,0
1590823203,449,437
1590823811,2,1
1590829490,2121,2093
1590833515,8,1
1590838562,404,418
1590840366,3160,3146
1590843884,11,0
1590844532,4,1
1590847450,93,97
1590847570,3,0
1590850083,503,487
1590851086,3639,3640
1590853923,118,132
1590854870,3,2
1590858653,0,8
1590862089,4216,4182
1590865683,80,82
1590865833,2,4
1590872684,4785,4788
1590876285,1,0
1590877254,1,3
1590881043,92,94
1590883441,5045,5046
1590884882,25,22
1590885360,3,3
1590888723,21,25
1590890685,3,0
1590892562,46,825
1590894241,5343,5431
1590896402,557,3
1590901485,0,1
1590904083,688,435
1590905041,2195,2162
1590911763,315,318
1590915889,1879,1846
1590917769,2,3
