DateTime,Entries,UniqueIPs
1589949139,6434,6434
1589951062,6445,6445
1589952970,6478,6478
1589954909,6487,6487
1589956807,6495,6495
1589958726,6498,6498
1589960663,6483,6483
1589962568,6474,6474
1589964490,6489,6489
1589966416,6522,6522
1589968328,6531,6531
1589970256,3189,3189
1589972459,4842,4842
1589974597,4872,4872
1589977002,4928,4928
1589979386,4940,4940
1589981318,4924,4924
1589983459,4907,4907
1589985398,4916,4916
1589987322,4914,4914
1589989948,4876,4876
1589992105,4848,4848
1589994509,4795,4795
1589996427,4799,4799
1589998594,4810,4810
1590000503,4773,4773
1590002756,4762,4762
1590004587,4763,4763
1590006749,4771,4771
1590008657,4762,4762
1590010570,4756,4756
1590012497,4722,4722
1590014413,4708,4708
1590016575,6198,6198
1590018489,6190,6190
1590020418,6193,6193
1590022332,6193,6193
1590024250,6180,6180
1590026177,6157,6157
1590028092,6159,6159
1590030070,6139,6139
1590032007,6136,6136
1590034100,6121,6121
1590036264,6084,6084
1590038170,6071,6071
1590040107,6063,6063
1590042029,6064,6064
1590043928,6046,6046
1590046102,6061,6061
1590048026,6069,6069
1590049933,6069,6069
1590051863,6053,6053
1590054015,6013,6013
1590055943,3057,3057
1590057852,3058,3058
1590060024,4463,4463
1590061930,4496,4496
1590063848,4474,4474
1590065782,4454,4454
1590067685,4460,4460
1590069610,4483,4483
1590071540,4498,4498
1590073469,4517,4517
1590075386,4513,4513
1590077296,4533,4533
1590079206,4545,4545
1590081140,4576,4576
1590083051,4560,4560
1590085210,4581,4581
1590087370,4609,4609
1590089286,4602,4602
1590091212,4629,4629
1590093135,4631,4631
1590095051,4593,4593
1590096982,4582,4582
1590098899,4572,4572
1590100807,4588,4588
1590102749,5853,5853
1590104664,5848,5848
1590106571,5845,5845
1590108498,5857,5857
1590110413,5854,5854
1590112331,5881,5881
1590114262,5896,5896
1590116167,5882,5882
1590118088,5895,5895
1590120023,5907,5907
1590122000,5892,5892
1590123864,5897,5897
1590125773,5886,5886
1590127697,5888,5888
1590129619,5898,5898
1590131528,5874,5874
1590133694,5868,5868
1590135621,5873,5873
1590137528,5865,5865
1590139449,5846,5846
1590141375,5838,5838
1590143297,3031,3031
1590145213,4348,4348
1590147146,4358,4358
1590149052,4376,4376
1590150982,4378,4378
1590152894,4396,4396
1590154811,4421,4421
1590156743,4431,4431
1590158649,4434,4434
1590160566,4432,4432
1590162498,4432,4432
1590164413,4426,4426
1590166329,4438,4438
1590168253,4454,4454
1590170168,4440,4440
1590172099,4414,4414
1590174015,4400,4400
1590175937,4395,4395
1590178106,4397,4397
1590180009,4412,4412
1590181929,4432,4432
1590183862,4455,4455
1590185763,4468,4468
1590187698,4475,4475
1590189611,5645,5645
1590191534,5652,5652
1590193460,5651,5651
1590195367,5641,5641
1590197288,5639,5639
1590199222,5659,5659
1590201139,5658,5658
1590203299,5657,5657
1590205207,5631,5631
1590207136,5619,5619
1590209050,5605,5605
1590211218,5618,5618
1590213132,5604,5604
1590215062,5592,5592
1590216973,5575,5575
1590218891,5554,5554
1590220838,5532,5532
1590222740,5520,5520
1590224653,5498,5498
1590226583,5489,5489
1590228523,2701,2701
1590230427,2684,2684
1590232336,3984,3984
1590234259,4006,4006
1590236188,4037,4037
1590238334,4034,4034
1590240253,4053,4053
1590242173,4043,4043
1590244101,4049,4049
1590246019,4052,4052
1590247949,4042,4042
1590250111,4031,4031
1590252009,4038,4038
1590253934,4044,4044
1590255859,4066,4066
1590257770,4055,4055
1590259692,4040,4040
1590261620,4071,4071
1590263529,4064,4064
1590265449,4059,4059
1590267376,4072,4072
1590269302,4080,4080
1590271272,4067,4067
1590273149,4054,4054
1590275309,5246,5246
1590277211,5244,5244
1590279133,5243,5243
1590281052,5227,5227
1590282966,5309,5309
1590284896,5305,5305
1590286811,5308,5308
1590288736,5330,5330
1590290654,5343,5343
1590292585,5322,5322
1590294499,5328,5328
1590296421,5323,5323
1590298588,5321,5321
1590300497,5319,5319
1590302409,5325,5325
1590304349,5351,5351
1590306252,5335,5335
1590308169,5332,5332
1590310097,5313,5313
1590312008,5297,5297
1590313934,5302,5302
1590315862,2768,2768
1590317766,2801,2801
1590319687,3881,3881
1590321623,3921,3921
1590323540,3912,3912
1590325453,3909,3909
1590327380,3892,3892
1590329297,3859,3859
1590331210,3844,3844
1590333385,3878,3878
1590335288,3923,3923
1590337212,3945,3945
1590339142,3970,3970
1590341053,3975,3975
1590342967,4009,4009
1590344885,4039,4039
1590346811,4089,4089
1590348832,4104,4104
1590350905,4144,4144
1590353051,4178,4178
1590355211,4246,4246
1590357131,4275,4275
1590359057,4281,4281
1590360971,4296,4296
1590362889,5245,5245
1590364824,5276,5276
1590366741,5315,5315
1590368652,5326,5326
1590370882,5361,5361
1590372749,5363,5363
1590374660,5383,5383
1590376753,5404,5404
1590378742,5434,5434
1590380664,5453,5453
1590382579,5463,5463
1590384498,5478,5478
1590386425,5501,5501
1590388415,5507,5507
1590390250,5537,5537
1590392414,5560,5560
1590394330,5586,5586
1590396263,5599,5599
1590398167,5634,5634
1590400088,5673,5673
1590402018,3128,3128
1590403932,3146,3146
1590405849,4347,4347
1590407782,4347,4347
1590409689,4368,4368
1590411576,4351,4351
1590413602,4383,4383
1590415456,4413,4413
1590417381,4432,4432
1590419293,4432,4432
1590421215,4455,4455
1590423129,4465,4465
1590425050,4465,4465
1590426975,4495,4495
1590429141,4517,4517
1590431048,4509,4509
1590432965,4507,4507
1590434956,4539,4539
1590436814,4550,4550
1590438742,4609,4609
1590440647,4627,4627
1590442566,4648,4648
1590444496,4668,4668
1590446410,4714,4714
1590448351,5745,5745
1590450249,5763,5763
1590452178,5774,5774
1590454087,5768,5768
1590456016,5782,5782
1590457925,5785,5785
1590459847,5793,5793
