DateTime,AddedIPs,RemovedIPs
1590499322,10,0
1590500522,18,33
1590501722,28,79
1590502921,42,52
1590503521,23,4
1590504122,12,21
1590504721,43,0
1590505321,22,10
1590505921,46,0
1590506522,4,5
1590507121,13,57
1590507721,47,2
1590508922,24,0
1590509521,9,17
1590510121,57,0
1590511322,21,78
1590511921,42,0
1590512522,31,21
1590513722,30,44
1590514922,16,0
1590516121,28,45
1590516722,19,53
1590517922,19,6
1590518521,34,29
1590519121,14,0
1590519722,14,26
1590520921,14,68
1590521522,28,0
1590522121,11,0
1590523321,23,109
1590525722,26,46
1590526321,40,0
1590526921,36,0
1590527521,30,34
1590528121,13,0
1590529321,10,11
1590530521,61,18
1590531121,23,2
1590532321,25,28
1590532921,17,19
1590533521,8,0
1590534121,25,1
1590534721,32,0
1590535321,15,18
1590535921,12,0
1590536521,14,6
1590537722,5,25
1590538922,2,21
1590540121,17,118
1590540721,28,0
1590541321,57,0
1590542521,33,51
1590543721,12,29
1590544921,24,6
1590545521,29,22
1590546122,25,0
1590547322,27,67
1590548521,18,58
1590549121,25,0
1590549721,8,0
1590550321,48,31
1590551522,12,5
1590552122,22,21
1590553321,4,52
1590554521,12,37
1590555721,20,24
1590556921,5,0
1590557522,40,11
1590558721,9,16
1590559322,33,0
1590560521,12,26
1590561721,11,0
1590562921,5,24
1590564121,23,23
1590565321,13,13
1590565921,8,21
1590566522,19,17
1590567722,27,23
1590568321,3,0
1590568921,27,0
1590569521,23,23
1590570121,20,0
1590571321,8,56
1590571921,11,26
1590572521,18,27
1590573121,27,0
1590573721,11,36
1590574321,3,34
1590574922,4,52
1590576122,17,33
1590576721,12,0
1590577322,8,29
1590577921,7,21
1590578521,18,0
1590579721,14,23
1590580921,34,18
1590581521,12,2
1590582121,22,0
1590582721,19,25
1590583321,32,22
1590584522,26,16
1590585121,19,15
1590585721,17,0
1590586321,22,12
1590586921,26,0
1590587521,10,0
1590588122,25,2
1590589321,10,42
1590589921,38,0
1590590522,23,28
1590591121,13,7
1590591721,38,8
1590592922,25,26
1590593522,22,0
1590594721,14,40
1590595321,26,0
1590595921,37,18
1590597121,16,26
1590597721,20,53
1590598921,11,1
1590600121,26,0
1590601322,22,47
1590601921,18,21
1590603121,8,43
1590603722,9,14
1590604921,14,25
1590605522,6,28
1590606121,38,9
1590607322,7,33
1590607921,44,0
1590608522,13,0
1590609721,31,20
1590610321,24,0
1590610922,39,0
1590612121,12,56
1590612722,18,31
1590613321,8,18
1590613921,38,62
1590614521,22,0
1590615721,3,16
1590616921,25,56
1590617521,28,7
1590618122,17,24
1590619321,41,42
1590619921,11,0
1590620521,19,0
1590621122,43,44
1590621721,21,0
1590622321,23,25
1590622921,6,0
1590624121,6,59
1590624722,27,52
1590625321,5,0
1590626521,17,62
1590627122,10,0
1590627722,15,23
1590628321,32,38
1590629521,22,24
1590630121,58,21
1590631322,14,0
1590632521,9,63
1590633722,37,52
1590634921,11,18
1590636121,34,15
1590637321,22,84
1590638521,11,6
1590639721,14,65
1590640321,25,0
1590641522,13,136
1590642121,35,22
1590643321,20,0
1590643921,32,16
1590644521,31,0
1590645721,11,42
1590646921,8,39
1590647521,22,0
1590648721,7,31
1590649921,11,22
1590650522,17,0
1590651722,21,39
1590652921,15,52
1590654121,22,26
1590654721,23,40
1590655321,13,32
1590655921,13,33
1590656521,9,48
1590657722,23,0
1590658321,38,20
1590658921,5,0
1590659521,18,5
1590660122,14,49
1590660721,6,14
1590661321,6,0
1590662521,30,53
1590663121,18,23
1590663721,14,7
1590665521,21,26
1590666121,34,0
1590667321,5,17
1590667922,28,36
1590668521,12,0
1590669121,18,51
1590670321,10,12
1590670921,29,0
1590671521,33,19
1590672122,25,9
1590672722,35,6
1590673322,9,0
1590674521,24,37
1590675121,47,21
1590675721,14,12
1590676322,44,0
1590676921,36,41
1590677521,6,29
1590678121,39,23
1590678721,23,0
1590679322,15,15
1590680521,16,0
1590681122,11,35
1590681721,0,9
1590682921,48,24
1590683521,0,59
1590684721,51,18
1590685321,18,9
1590686521,37,13
1590687122,11,0
1590687721,38,18
1590688921,17,18
1590689522,20,25
1590690121,49,0
1590691321,12,21
1590692522,17,29
1590693122,18,20
1590693721,32,16
1590694321,27,31
1590694922,51,8
1590695521,33,58
1590696122,43,0
1590697321,22,27
1590698521,36,59
1590699121,27,5
1590699722,18,0
1590700921,7,66
1590702122,12,41
1590702721,19,0
1590703921,33,92
1590704521,6,56
1590705721,12,29
1590706321,31,29
1590707521,16,0
1590708121,10,3
1590708721,14,12
1590709921,18,28
1590711121,18,36
1590712321,32,71
1590712921,9,4
1590714121,13,0
1590715321,36,36
1590716522,28,35
1590717122,24,34
1590717721,12,0
1590718921,10,31
1590719521,12,0
