DateTime,AddedIPs,RemovedIPs
1590426721,0,1
1590427321,0,2
1590429121,0,1
1590429721,0,4
1590430921,1,0
1590431521,0,4
1590432721,4,4
1590433322,2,3
1590434522,0,9
1590435721,2,17
1590436321,0,28
1590436922,1,3
1590437521,1,4
1590438721,0,2
1590439921,1,2
1590440521,3,0
1590442322,3,6
1590442921,2,0
1590444121,1,4
1590445321,0,22
1590446521,1,9
1590448321,0,5
1590448921,1,1
1590450122,2,0
1590450721,0,1
1590452521,0,17
1590453722,1,0
1590454921,6,0
1590455522,1,0
1590456121,1,4
1590456722,0,1
1590457321,0,1
1590457921,9,1
1590459121,1,2
1590459721,3,0
1590460922,4,1
1590462121,4,2
1590463321,3,0
1590464522,0,3
1590465721,4,0
1590466921,0,7
1590467522,3,0
1590468722,5,0
1590469321,1,4
1590470522,2,3
1590471721,5,1
1590472321,1,0
1590472921,1,0
1590474122,3,4
1590475321,2,0
1590476521,3,2
1590477721,1,0
1590478321,0,3
1590479522,0,1
1590480122,3,3
1590480721,2,1
1590481321,0,1
1590481922,6,0
1590483122,21,1
1590484321,3,1
1590485521,6,4
1590486122,2,4
1590487921,1,0
1590488521,2,0
1590489122,1,0
1590490321,7,2
1590490922,0,3
1590491522,0,1
1590493921,2,2
1590494521,0,3
1590495121,2,2
1590495721,1,0
1590496321,0,3
1590498121,1,0
1590498722,3,0
1590499921,1,0
1590500522,1,1
1590501722,4,0
1590502921,0,5
1590503521,0,4
1590504122,0,1
1590504721,3,1
1590505921,1,0
1590506522,0,2
1590507721,0,5
1590508922,3,0
1590509521,0,1
1590511322,0,4
1590511921,1,0
1590513121,1,0
1590513721,0,2
1590514922,1,0
1590516121,3,2
1590517321,2,0
1590518521,2,0
1590519121,3,0
1590519722,1,2
1590520921,2,5
1590522721,0,1
1590526321,1,6
1590526921,8,2
1590527521,1,0
1590528121,1,2
1590529321,1,0
1590530521,0,4
1590531121,2,0
1590532321,2,6
1590532921,2,0
1590534121,1,0
1590535321,3,28
1590535921,0,12
1590537121,2,0
1590538321,0,6
1590538922,2,0
1590540121,1,4
1590541321,3,2
1590542521,0,5
1590544921,1,2
1590545521,0,1
1590546122,1,0
1590547322,4,2
1590548521,0,3
1590549121,1,4
1590550321,1,0
1590552122,0,3
1590553321,0,6
1590554521,3,5
1590556921,3,0
1590557522,0,3
1590558121,1,0
1590559322,1,4
1590559921,0,36
1590561121,2,16
1590561721,1,0
1590562921,0,2
1590564121,3,2
1590565321,34,2
1590565921,0,1
1590566522,0,2
1590569521,0,1
1590570121,1,1
1590570721,1,0
1590571321,0,1
1590572521,3,14
1590573721,0,3
1590575522,2,3
1590576122,0,2
1590576721,8,0
1590577322,0,3
1590578521,1,3
1590579721,1,1
1590580321,1,1
1590581521,2,5
1590582121,1,0
1590582721,1,1
1590583321,0,1
1590584522,1,0
1590586321,0,1
1590586921,5,2
1590587521,1,0
1590588122,7,0
1590589321,1,1
1590589921,2,0
1590590522,1,2
1590591121,1,1
1590592922,1,2
1590593522,2,0
1590594121,1,2
1590595921,2,1
1590596521,1,4
1590597121,1,43
1590598321,0,11
1590600121,3,6
1590601322,0,5
1590602521,2,1
1590603121,2,0
1590603722,2,1
1590604921,5,0
1590606121,0,2
1590606721,0,2
1590607921,0,2
1590608522,1,0
1590609721,6,0
1590610321,2,2
1590611521,27,2
1590612722,2,3
1590613321,1,1
1590613921,2,1
1590615721,1,1
1590616921,2,3
1590617521,2,1
1590618122,0,2
1590618721,0,4
1590620521,0,29
1590621122,2,0
1590622321,2,11
1590623521,0,1
1590624722,2,1
