DateTime,AddedIPs,RemovedIPs
1590508922,71,71
1590509521,16,16
1590510121,18,18
1590511322,60,60
1590511921,52,52
1590513121,87,87
1590513721,60,60
1590514922,51,51
1590516121,82,82
1590517321,96,96
1590518521,96,96
1590519121,71,71
1590519722,31,31
1590520921,78,78
1590521521,35,35
1590522721,48,48
1590526321,65,65
1590526921,60,60
1590527521,35,35
1590528121,53,53
1590529321,77,77
1590530521,92,92
1590531121,36,36
1590531721,24,24
1590532321,59,59
1590532921,54,54
1590534121,78,78
1590534721,30,30
1590535321,77,77
1590535921,70,70
1590537121,93,93
1590538321,92,92
1590538922,71,71
1590540121,96,96
1590541321,71,71
1590542521,57,57
1590543721,71,71
1590544921,66,66
1590545521,11,11
1590546122,31,31
1590547322,98,98
1590548521,67,67
1590549121,74,74
1590550321,99,99
1590550921,49,49
1590552122,89,89
1590553321,86,86
1590554521,83,83
1590555721,78,78
1590556921,69,69
1590557522,24,24
1590558121,23,23
1590559322,63,63
1590559921,28,28
1590560521,18,18
1590561121,27,27
1590561721,39,39
1590562921,74,74
1590564121,87,87
1590565321,93,93
1590565921,41,41
1590566522,55,55
1590567722,85,85
1590568321,18,18
1590568921,30,30
1590569521,54,55
1590570121,48,48
1590570721,25,24
1590571321,21,21
1590571921,59,59
1590572521,62,62
1590573121,53,53
1590573721,55,55
1590574321,40,40
1590575522,92,92
1590576122,35,35
1590576721,62,62
1590577322,53,53
1590578521,54,54
1590579121,16,16
1590579721,32,32
1590580321,27,27
1590581521,32,32
1590582121,19,19
1590582721,43,43
1590583321,26,26
1590584522,23,23
1590585121,7,7
1590585721,14,14
1590586321,34,34
1590586921,43,43
1590587521,19,19
1590588122,52,52
1590589321,83,83
1590589921,45,45
1590590522,52,52
1590591121,33,33
1590592321,46,46
1590592922,42,42
1590593522,35,35
1590594121,30,30
1590594721,26,26
1590595321,19,19
1590595921,56,56
1590596521,23,23
1590597121,26,26
1590598321,84,84
1590598921,28,28
1590600121,90,90
1590600721,36,36
1590601322,62,62
1590602521,77,77
1590603121,75,75
1590603722,45,45
1590604921,94,94
1590605522,20,20
1590606121,45,45
1590606721,27,27
1590607322,16,16
1590607921,23,23
1590608522,21,21
1590609721,88,88
1590610321,41,41
1590611521,90,90
1590612121,82,82
1590612722,61,61
1590613321,47,47
1590613921,65,65
1590614521,30,30
1590615721,81,81
1590616921,49,49
1590617521,52,52
1590618122,16,16
1590618721,59,59
1590619321,32,32
1590620521,88,88
1590621122,52,52
1590622321,95,95
1590622921,33,33
1590623521,38,38
1590624722,62,62
1590625321,16,16
1590626521,92,92
1590627122,23,23
1590627722,73,73
1590628921,92,92
1590630121,88,88
1590631321,89,89
1590632521,92,93
1590633721,94,93
1590634322,34,34
1590636121,85,85
1590637321,70,70
1590638521,83,83
1590639122,39,39
1590639721,42,42
1590640321,19,19
1590640921,35,35
1590642121,50,50
1590643321,39,39
1590643921,18,18
1590644521,25,25
1590645721,82,82
1590646921,38,38
1590648121,53,53
1590648721,45,45
1590649921,90,90
1590650522,22,22
1590651121,19,19
1590652321,68,68
1590652921,30,30
1590653521,52,52
1590654121,21,21
1590654721,19,19
1590655321,49,49
1590655921,28,28
1590656521,46,46
1590657722,71,71
1590658321,37,37
1590659521,24,24
1590660721,27,27
1590661321,7,7
1590662521,43,43
1590663121,19,19
1590663721,10,10
1590664321,28,28
1590664921,12,12
1590665521,9,9
1590666121,25,25
1590666721,20,20
1590667321,16,16
1590667922,31,31
1590669121,36,36
1590670321,37,37
1590670921,31,31
1590671521,9,9
1590672122,23,23
1590672722,29,29
1590673322,93,93
1590675121,70,70
1590675721,20,20
1590676921,47,47
1590677521,21,21
1590678121,35,35
1590679322,31,31
1590680521,94,94
1590681122,50,50
1590681721,12,12
1590682921,35,35
1590683521,56,56
1590684121,33,33
1590684721,30,30
1590685321,51,51
1590686521,87,87
1590687122,43,43
1590687721,31,31
1590688321,59,59
1590688921,48,48
1590690121,98,98
1590690721,29,29
1590691321,69,69
1590691921,29,29
1590693122,95,95
1590694321,47,47
1590694922,80,80
1590695521,36,36
1590696122,43,43
1590697321,100,100
1590698521,87,87
1590699121,63,63
1590699722,50,50
1590700921,88,88
1590702122,85,85
1590702721,74,74
1590703322,44,44
1590704521,70,70
