DateTime,AddedIPs,RemovedIPs
1588689901,350,0
1588694402,240,0
1588698002,180,1
1588701601,129,0
1588705202,138,0
1588708802,124,0
1588712401,111,0
1588716003,108,0
1588719601,99,0
1588723202,111,3805
1588726801,134,0
1588730402,120,0
1588734001,133,0
1588737602,194,0
1588745702,339,0
1588749302,171,0
1588756502,327,0
1588760101,142,0
1588763701,166,0
1588767301,166,0
1588770902,166,0
1588778102,298,0
1588782601,167,0
1588786201,138,0
1588793402,246,0
1588797002,118,0
1588804201,253,0
1588807802,102,0
1588812302,152,3453
1588815901,154,0
1588819501,131,0
1588826702,279,0
1588833901,360,0
1588837501,217,0
1588841101,230,0
1588844701,180,0
1588851901,291,0
1588855502,144,0
1588863602,322,0
1588867201,150,0
1588870801,162,0
1588874402,160,0
1588878002,103,0
1588881602,126,0
1588885202,120,1
1588888802,106,0
1588896001,271,3353
1588903202,415,1
1588906801,163,0
1588910402,110,0
1588914002,153,0
1588921201,271,0
1588924801,150,0
1588929301,179,0
1588936502,255,0
1588940102,132,0
1588943702,159,0
1588947301,123,0
1588954501,242,0
1588958102,126,0
1588965302,219,0
1588968901,122,0
1588973401,146,0
1588977001,126,0
1588980602,97,0
1588984201,94,3563
1588991401,317,0
1588995001,140,0
1588999502,186,0
1589003102,135,2
1589006701,143,4
1589010302,162,0
1589013902,197,0
1589021101,326,0
1589024701,143,0
1589028301,134,0
1589031901,149,0
1589039101,318,0
1589047201,268,0
1589050802,142,0
1589054402,131,0
1589058001,102,0
1589061602,62,0
1589065202,85,0
1589068802,87,3220
1589076002,250,0
1589079602,134,0
1589083201,143,0
1589086801,105,0
1589090401,104,0
1589094001,113,0
1589102101,256,0
1589105701,108,0
1589112902,209,0
1589116501,113,0
1589123702,218,0
1589127301,100,0
1589134502,194,0
1589139001,102,0
1589142602,97,0
1589149801,182,0
1589153401,86,0
1589157002,68,3280
1589161501,178,0
1589165101,133,0
1589168701,149,0
1589175901,266,0
1589179503,164,0
1589183101,150,0
1589186702,173,0
1589193902,352,0
1589197501,141,0
1589205602,334,0
1589209202,140,0
1589212801,127,0
1589216402,126,0
1589220002,131,0
1589227201,626,0
1589230802,98,0
1589234401,97,0
1589238001,83,0
1589241602,79,2593
1589245201,104,0
1589248801,136,0
1589252401,150,0
1589256902,141,0
1589260501,106,0
1589267701,284,0
1589272201,154,0
1589275802,118,0
1589279402,164,0
1589283001,121,0
1589287502,193,0
1589291102,169,0
1589294701,131,0
1589298302,129,0
1589305502,296,0
1589309102,169,0
1589312702,130,0
1589319902,235,0
1589323501,124,0
1589328001,152,3710
1589331601,166,0
1589335202,138,0
1589338801,131,0
1589342401,155,0
1589346002,124,0
1589353201,305,0
1589360402,324,0
1589364002,195,0
1589367601,181,0
1589372101,250,0
1589375701,206,0
1589379302,174,0
1589386501,297,0
1589390101,145,0
1589397301,292,0
1589401802,170,0
1589405401,141,0
1589409002,103,0
1589412601,121,0
1589416201,86,3193
1589419802,138,0
1589424302,198,0
1589427902,131,0
1589431501,136,0
1589435102,137,0
1589442301,304,0
1589445902,182,0
1589454002,339,0
1589457602,173,0
1589461201,174,0
1589464802,176,0
1589468402,164,0
1589472002,171,0
1589475601,138,0
1589482802,292,0
1589486401,126,0
1589493602,286,0
1589497202,106,0
1589500801,130,3454
1589505301,182,0
1589508901,144,0
1589516102,289,0
1589519701,142,0
1589523301,122,0
1589526902,135,0
1589531402,198,0
1589535001,122,0
1589538602,117,0
1589545802,292,0
1589549401,135,0
1589553001,204,0
1589556601,133,0
1589560201,132,0
1589564701,139,0
1589568302,134,0
1589571901,134,0
1589575501,165,0
1589582701,302,0
1589589901,212,3459
1589597102,263,0
1589600701,143,0
1589607902,245,0
1589611502,113,0
1589616001,147,0
1589619601,106,0
1589623202,123,0
1589626802,125,0
1589630401,110,0
1589634001,121,0
1589637601,207,0
1589641201,94,0
1589648401,215,0
