DateTime,AddedIPs,RemovedIPs
1589074381,6,6
1589077982,5,2
1589081582,2,2
1589085182,3,0
1589088781,8,3
1589092382,1,3
1589095982,3,5
1589099582,3,0
1589103182,0,1
1589106781,3,0
1589110382,5,13
1589113982,1,4
1589117582,1,0
1589121181,2,5
1589124782,1,0
1589128381,2,11
1589131982,1,0
1589135582,2,3
1589139182,4,9
1589142782,6,3
1589146382,4,7
1589149981,2,5
1589153581,5,4
1589157181,1,4
1589160781,3,3
1589167981,1,5
1589171582,5,5
1589175182,3,4
1589178782,7,0
1589182382,5,2
1589185981,0,3
1589189581,3,0
1589193181,4,8
1589196781,5,0
1589200382,0,1
1589203982,5,4
1589207582,1,4
1589211182,5,0
1589214782,2,2
1589218382,2,4
1589221982,5,7
1589225581,5,0
1589229182,0,2
1589232781,1,4
1589236382,8,3
1589239981,3,0
1589243581,1,12
1589247181,0,3
1589250781,2,1
1589254381,7,0
1589257982,3,3
1589261582,6,7
1589265182,5,8
1589268782,5,0
1589272381,3,0
1589275982,3,2
1589279582,3,6
1589283182,4,3
1589286782,3,2
1589290381,5,0
1589293981,0,3
1589297581,4,6
1589301181,5,4
1589304781,4,0
1589308381,6,2
1589311982,1,10
1589315582,5,3
1589319182,6,5
1589322781,2,4
1589326381,4,2
1589329982,6,0
1589333581,9,3
1589337182,5,1
1589340781,2,6
1589344382,1,5
1589351581,0,13
1589358781,5,4
1589362381,0,4
1589365981,7,2
1589369581,6,0
1589373182,3,4
1589376781,5,5
1589380382,0,4
1589383981,5,7
1589387581,2,3
1589391181,6,9
1589394782,3,3
1589398382,5,0
1589401981,3,11
1589405581,3,5
1589409181,9,0
1589412781,7,4
1589416382,4,11
1589419982,2,0
1589423581,4,6
1589427182,0,4
1589430781,5,0
1589434381,7,0
1589437981,2,1
1589441583,6,3
1589445182,2,0
1589448782,3,0
1589452382,2,6
1589455982,5,7
1589459581,0,10
1589463182,5,0
1589466781,3,0
1589470382,4,13
1589473982,7,0
1589477582,6,6
1589481182,4,0
1589484781,4,4
1589488382,5,0
1589491982,5,4
1589495582,3,14
1589499181,8,0
1589506381,3,4
1589509982,4,7
1589513581,1,1
1589517181,4,0
1589520782,6,3
1589524382,0,2
1589527981,2,4
1589531582,3,6
1589535182,2,6
1589538781,4,4
1589542382,0,2
1589545982,3,5
1589549581,4,3
1589553181,2,2
1589556781,2,8
1589560381,2,6
1589563982,5,0
1589567581,4,6
1589571181,2,3
1589574782,3,12
1589578381,6,5
1589581982,6,0
1589585581,0,5
1589589181,4,6
1589592781,3,2
1589596381,3,0
1589599982,3,5
1589603581,5,3
1589607181,3,4
1589610782,1,0
1589614381,3,0
1589617982,5,6
1589621582,4,6
1589625181,4,0
1589628781,2,3
1589632381,3,2
1589635982,1,0
1589639581,1,8
1589643182,5,0
1589646782,4,0
1589650381,6,10
1589653982,2,7
