DateTime,AddedIPs,RemovedIPs
1588980782,14,17
1588984382,12,14
1588987981,16,16
1588991581,6,7
1588995181,12,10
1588998781,21,18
1589002382,10,12
1589005982,15,18
1589013181,22,15
1589016782,13,13
1589023982,18,21
1589027582,17,14
1589031181,17,19
1589038382,14,15
1589041982,16,16
1589045581,16,15
1589049181,14,14
1589052781,16,15
1589056381,12,17
1589059981,16,15
1589063581,14,16
1589067181,14,14
1589070781,7,8
1589074381,17,15
1589077982,17,14
1589081582,10,12
1589085182,12,13
1589088781,12,12
1589092382,7,7
1589095982,12,12
1589099582,10,9
1589106781,14,14
1589110382,15,13
1589113982,13,12
1589117582,9,10
1589121181,12,12
1589124782,9,11
1589128381,8,7
1589131982,12,11
1589135582,8,8
1589139182,14,14
1589142782,9,11
1589146382,12,12
1589149981,11,8
1589153581,17,16
1589157181,9,13
1589160781,19,20
1589164381,14,14
1589167981,6,6
1589171582,9,9
1589175182,18,14
1589178782,21,20
1589182382,16,20
1589185981,10,12
1589189581,12,11
1589193181,15,15
1589196781,15,14
1589203982,12,11
1589207582,11,13
1589211182,16,16
1589214782,13,13
1589218382,9,10
1589221982,16,14
1589225581,12,12
1589229182,13,17
1589232781,7,5
1589236382,19,15
1589239981,11,10
1589243581,9,12
1589247181,10,10
1589250781,9,10
1589254381,12,13
1589257982,15,13
1589261582,17,14
1589265182,18,18
1589268782,14,17
1589272381,14,14
1589275982,16,14
1589279582,13,13
1589283182,15,16
1589286782,9,10
1589290381,21,19
1589297581,15,18
1589301181,14,12
1589304781,14,16
1589308381,18,20
1589311982,6,6
1589315582,15,13
1589319182,15,14
1589322781,12,13
1589326381,12,13
1589329982,17,14
1589333581,17,15
1589337182,15,18
1589340781,13,14
1589344382,1,1
1589355182,4,4
1589358781,14,14
1589365981,22,20
1589369581,14,18
1589373182,16,13
1589376781,15,14
1589383981,16,21
1589387581,14,14
1589391181,13,13
1589394782,13,12
1589398382,11,10
1589401981,11,9
1589405581,13,11
1589409181,16,16
1589412781,16,15
1589416382,6,6
1589419982,11,13
1589423581,9,12
1589427182,11,10
1589430781,10,9
1589434381,14,14
1589437981,14,14
1589441583,17,17
1589445182,12,13
1589448782,13,12
1589452382,11,8
1589455982,9,12
1589463182,19,21
1589466781,10,13
1589470382,11,8
1589473982,15,16
1589477582,19,15
1589481182,16,19
1589484781,17,14
1589488382,17,15
1589491982,14,17
1589495582,14,12
1589499181,13,13
1589502781,13,14
1589506381,12,10
1589509982,10,11
1589513581,8,8
1589517181,9,8
1589520782,15,17
1589527981,6,9
1589531582,12,8
1589535182,11,12
1589538781,9,11
1589545982,12,13
1589549581,16,14
1589553181,9,13
1589556781,6,5
1589560381,9,11
1589563982,15,12
1589567581,17,16
1589571181,15,13
1589574782,12,13
1589578381,16,13
1589581982,17,16
1589585581,7,11
1589589181,13,10
1589592781,11,11
1589596381,8,9
1589599982,8,11
1589603581,10,9
1589607181,7,7
1589610782,10,11
1589614381,10,7
1589617982,13,15
1589621582,14,15
1589625181,7,8
1589628781,13,10
1589632381,13,13
1589635982,9,12
1589639581,12,11
1589643182,10,11
1589646782,14,15
1589650381,9,9
1589653982,10,12
1589657581,13,12
1589661181,14,11
1589664781,12,13
1589668382,13,14
1589671981,12,11
1589675581,13,12
1589679181,8,9
1589682781,7,6
1589686381,12,12
1589689981,14,11
1589693581,10,12
1589697181,13,13
1589704381,19,19
1589707981,19,17
1589711581,12,15
1589715182,12,11
1589718781,9,9
1589722382,9,11
1589725982,10,10
1589729582,7,6
1589733181,12,12
1589736781,15,17
1589740382,10,11
1589743981,12,12
1589747582,12,10
1589751181,15,14
1589754781,9,9
1589758381,13,11
1589761981,5,6
1589765581,13,13
1589769182,16,18
1589772781,12,8
1589776382,20,21
1589779981,13,15
1589783581,16,14
1589787182,18,19
1589790781,13,12
1589794382,4,5
1589797982,19,20
1589801582,14,16
1589805182,15,15
1589808781,16,15
1589812381,8,7
1589819582,15,14
1589823182,17,18
1589826782,18,18
1589830381,5,5
1589833982,16,19
1589837582,12,9
1589841181,4,4
1589844782,15,14
1589848381,11,10
1589851981,15,15
1589855582,8,8
1589859182,13,15
1589862782,12,11
1589866382,13,13
1589869982,15,13
1589873582,13,12
1589877181,8,8
1589880782,9,11
1589884381,10,12
1589887981,12,11
1589891581,14,14
1589895181,8,10
1589898781,10,10
1589902382,8,9
1589905981,7,6
1589909581,8,11
1589913181,11,10
1589916781,7,7
1589920381,11,11
1589923981,11,11
1589927582,10,10
1589931181,12,12
1589934781,13,13
1589938381,19,16
1589941982,11,12
1589945581,8,10
1589949182,9,5
1589952782,9,11
1589956382,15,13
1589959982,8,11
1589963581,11,11
1589967181,7,7
1589970782,10,8
1589974381,10,10
1589977981,16,15
1589981581,14,13
1589985181,11,12
1589988782,15,15
1589992381,10,11
1589995981,19,18
1589999582,7,7
1590003181,18,21
1590006782,7,5
1590010381,10,11
1590013981,14,14
1590017582,14,12
1590021181,10,11
1590024781,12,11
1590028381,13,14
1590031981,7,8
1590035581,12,10
1590039181,11,12
1590042781,8,7
1590046382,12,13
1590049982,12,11
1590053582,10,10
1590057182,19,19
1590060782,13,12
1590064382,12,11
1590067982,13,14
1590071581,17,13
1590075182,15,16
1590078782,12,13
1590082382,15,19
1590085982,21,18
1590089582,15,17
1590093182,8,9
1590096781,14,14
1590100382,17,17
1590103982,17,15
1590107581,16,15
1590111181,12,12
1590118382,12,13
1590121982,15,17
1590129181,14,12
1590132782,21,21
1590136382,9,10
1590139981,14,13
1590143582,14,13
1590147182,11,13
1590154382,12,13
1590157982,18,19
1590161582,9,7
1590165182,8,6
1590168782,13,10
1590172381,11,12
1590175982,16,13
1590179582,8,11
1590183182,12,13
1590186781,10,10
1590190382,10,10
1590193982,16,15
1590197582,13,12
1590204782,12,13
1590208382,11,10
1590215581,13,15
1590219182,8,8
1590226381,16,16
1590229981,16,19
1590237181,13,11
1590240781,13,13
1590247982,12,13
1590251581,12,12
1590258782,14,15
1590262381,12,13
1590265982,8,11
1590269582,9,7
1590273181,11,10
1590276781,18,18
1590280382,16,13
1590283982,17,15
1590287582,5,8
1590291181,18,16
1590294782,16,13
1590298382,11,14
1590305581,23,24
1590312781,13,12
1590316381,9,11
1590319982,23,22
1590323582,16,14
1590327181,15,16
1590330781,11,12
1590337981,13,16
1590341581,12,11
1590345182,16,16
1590348781,15,15
1590352381,18,17
1590355982,18,17
1590359582,15,17
1590363181,13,13
1590366781,12,14
1590370381,16,17
1590373982,19,17
1590377582,7,7
1590381181,17,18
1590388382,22,22
1590391981,14,14
1590395581,11,13
1590399181,16,14
1590402781,16,16
1590406382,10,11
1590409982,14,15
1590413581,4,4
1590417181,18,16
1590420781,11,10
1590424381,10,10
1590427982,10,11
1590431581,21,19
1590435181,11,13
1590438782,13,13
1590442381,8,7
1590445982,17,15
1590449581,15,16
1590453182,15,12
1590456781,6,10
1590460382,13,12
1590463982,11,11
1590467581,8,8
1590471182,11,10
1590474781,14,14
1590478382,16,17
1590481981,14,12
1590485581,16,17
1590489181,13,13
1590492781,13,14
1590496382,9,9
1590499982,11,11
1590507181,19,19
1590510781,14,12
1590514382,16,14
1590517982,13,11
1590521581,13,14
1590525182,10,11
1590528782,11,14
1590535981,17,15
1590539582,10,9
1590546782,9,9
1590550382,14,14
1590553982,12,12
1590561182,15,14
1590564782,11,11
1590571982,13,14
1590575582,10,10
1590579182,4,6
1590582781,17,18
1590589981,23,26
1590593581,12,12
1590597182,19,16
1590600782,12,13
1590604381,12,14
1590607981,13,11
1590611582,9,13
1590615181,16,12
1590618782,16,11
1590622381,11,12
1590625982,11,15
1590629581,14,12
1590633182,11,11
1590636781,14,16
1590640382,12,12
1590643981,6,6
1590647581,7,5
1590651181,7,10
1590654781,14,16
1590661982,15,13
1590665582,20,20
1590669182,15,16
1590672782,22,23
1590676382,12,9
1590679981,19,21
1590683582,21,21
1590687182,15,14
1590690782,12,11
1590694382,13,12
1590697982,17,16
1590701582,11,11
1590705181,5,7
1590708782,18,16
1590712381,16,14
1590715981,11,12
1590719582,16,18
1590723181,14,11
1590726781,18,20
1590733982,7,10
1590737581,11,10
1590741181,9,9
1590744781,15,13
1590751982,12,12
1590755582,18,20
1590759181,16,18
1590762781,10,13
1590766382,15,13
1590769982,12,13
1590773582,13,11
1590777182,4,4
1590780781,12,11
1590784382,14,14
1590787982,7,6
1590791582,17,19
1590795181,10,9
1590798782,12,10
1590802382,13,15
1590805981,18,17
1590809581,14,15
1590813181,16,15
1590816782,15,16
1590820381,18,17
1590823982,12,13
1590827581,14,16
1590831181,13,11
1590834781,13,14
1590838381,16,14
1590841981,15,15
1590845582,9,11
1590849182,14,15
1590852782,14,12
1590856381,17,19
1590859981,11,13
1590863582,16,13
1590867181,11,13
1590870782,16,14
1590874382,12,12
1590877982,13,14
1590881581,15,14
1590885182,10,11
1590888782,13,12
1590892381,12,12
1590895982,15,15
1590899581,19,13
1590903182,16,19
1590906782,18,19
1590913982,21,20
